test_id,A0_hex,A1_hex,A2_hex,A3_hex,B0_hex,B1_hex,B2_hex,B3_hex,C0_hex,A0_real,A1_real,A2_real,A3_real,B0_real,B1_real,B2_real,B3_real,C0_real,reference_real
72,2D,37,99,B4,11,36,27,AB,B5,0.40625,0.9375,-0.0703125,-0.75,0.03515625,0.875,0.234375,-0.34375,-0.8125,0.263427734375
73,B4,B4,2D,AB,A0,37,AB,2A,AA,-0.75,-0.75,0.40625,-0.34375,-0.125,0.9375,-0.34375,0.3125,-0.3125,-1.1689453125
74,A7,A1,9E,B4,29,1E,B4,37,38,-0.234375,-0.140625,-0.109375,-0.75,0.28125,0.109375,-0.75,0.9375,1.0,0.297607421875
75,AE,AA,31,06,21,30,30,AF,8D,-0.4375,-0.3125,0.5625,0.01171875,0.140625,0.5,0.5,-0.46875,-0.025390625,0.0325927734375
76,32,34,34,32,2A,B7,A9,2D,B0,0.625,0.75,0.75,0.625,0.3125,-0.9375,-0.28125,0.40625,-0.5,-0.96484375
77,B6,24,31,38,2F,9D,B7,2C,35,-0.875,0.1875,0.5625,1.0,0.46875,-0.1015625,-0.9375,0.375,0.8125,0.23095703125
78,11,20,B5,AB,24,32,AB,33,23,0.03515625,0.125,-0.8125,-0.34375,0.1875,0.625,-0.34375,0.6875,0.171875,0.299560546875
79,1E,B2,2C,B4,A2,34,34,36,B2,0.109375,-0.625,0.375,-0.75,-0.15625,0.75,0.75,0.875,-0.625,-1.48583984375
80,35,98,B3,35,36,37,A9,B1,36,0.8125,-0.0625,-0.6875,0.8125,0.875,0.9375,-0.28125,-0.5625,0.875,1.263671875
81,2E,36,2F,38,2F,32,36,A1,35,0.4375,0.875,0.46875,1.0,0.46875,0.625,0.875,-0.140625,0.8125,1.833984375
82,A3,37,1B,29,B8,AA,AE,B8,AC,-0.171875,0.9375,0.0859375,0.28125,-1.0,-0.3125,-0.4375,-1.0,-0.375,-0.81494140625
83,B0,B5,B0,34,B1,2D,38,B8,2E,-0.5,-0.8125,-0.5,0.75,-0.5625,0.40625,1.0,-1.0,0.4375,-0.861328125
84,B4,B2,AC,35,34,B5,31,B5,A9,-0.75,-0.625,-0.375,0.8125,0.75,-0.8125,0.5625,-0.8125,-0.28125,-1.20703125
85,38,34,B4,21,A2,2B,33,1F,36,1.0,0.75,-0.75,0.140625,-0.15625,0.34375,0.6875,0.1171875,0.875,0.4774169921875
86,35,B3,B6,B2,08,2C,33,2F,2A,0.8125,-0.6875,-0.875,-0.625,0.015625,0.375,0.6875,0.46875,0.3125,-0.8271484375
87,25,2A,A5,2A,33,33,2E,2B,B6,0.203125,0.3125,-0.203125,0.3125,0.6875,0.6875,0.4375,0.34375,-0.875,-0.501953125
88,AB,9B,AC,B2,A8,33,AF,36,B8,-0.34375,-0.0859375,-0.375,-0.625,-0.25,0.6875,-0.46875,0.875,-1.0,-1.34423828125
89,A2,2E,30,B8,B4,B6,20,B5,A5,-0.15625,0.4375,0.5,-1.0,-0.75,-0.875,0.125,-0.8125,-0.203125,0.40625
90,AE,B5,A8,A0,22,AA,B6,AB,2C,-0.4375,-0.8125,-0.25,-0.125,0.15625,-0.3125,-0.875,-0.34375,0.375,0.822265625
91,B8,13,B7,34,B2,19,B5,1C,31,-1.0,0.04296875,-0.9375,0.75,-0.625,0.0703125,-0.8125,0.09375,0.5625,2.022552490234375
92,35,31,35,B8,32,B6,34,38,2E,0.8125,0.5625,0.8125,-1.0,0.625,-0.875,0.75,1.0,0.4375,0.0625
93,26,2F,B5,34,B5,B0,AF,2C,A6,0.21875,0.46875,-0.8125,0.75,-0.8125,-0.5,-0.46875,0.375,-0.21875,0.03125
94,A7,02,30,33,33,AE,B6,B5,B4,-0.234375,0.00390625,0.5,0.6875,0.6875,-0.4375,-0.875,-0.8125,-0.75,-1.908935546875
95,30,B5,30,B8,2C,B0,29,30,2A,0.5,-0.8125,0.5,-1.0,0.375,-0.5,0.28125,0.5,0.3125,0.546875
96,B6,B7,A7,35,99,AF,97,32,B1,-0.875,-0.9375,-0.234375,0.8125,-0.0703125,-0.46875,-0.05859375,0.625,-0.5625,0.46002197265625
97,B4,35,A2,9E,AC,B0,34,32,B0,-0.75,0.8125,-0.15625,-0.109375,-0.375,-0.5,0.75,0.625,-0.5,-0.810546875
98,2E,35,A3,37,B5,33,33,B0,AE,0.4375,0.8125,-0.171875,0.9375,-0.8125,0.6875,0.6875,-0.5,-0.4375,-0.8212890625
99,AF,B4,32,2D,31,29,AF,B5,AF,-0.46875,-0.75,0.625,0.40625,0.5625,0.28125,-0.46875,-0.8125,-0.46875,-1.56640625
100,31,B7,19,AB,AE,AB,24,B3,B3,0.5625,-0.9375,0.0703125,-0.34375,-0.4375,-0.34375,0.1875,-0.6875,-0.6875,-0.36181640625
101,33,30,A9,B0,23,36,31,9F,29,0.6875,0.5,-0.28125,-0.5,0.171875,0.875,0.5625,-0.1171875,0.28125,0.7373046875
102,A9,2D,11,B7,2B,34,90,B3,AD,-0.28125,0.40625,0.03515625,-0.9375,0.34375,0.75,-0.03125,-0.6875,-0.40625,0.4451904296875
103,B2,33,2F,AD,AD,B4,9F,37,30,-0.625,0.6875,0.46875,-0.40625,-0.40625,-0.75,-0.1171875,0.9375,0.5,-0.197509765625
104,36,B6,36,35,32,B4,34,37,2F,0.875,-0.875,0.875,0.8125,0.625,-0.75,0.75,0.9375,0.46875,3.08984375
105,0F,AA,34,25,AB,B5,B7,2D,AD,0.029296875,-0.3125,0.75,0.203125,-0.34375,-0.8125,-0.9375,0.40625,-0.40625,-0.78302001953125
106,B4,AC,9A,33,95,B4,33,2B,1C,-0.75,-0.375,-0.078125,0.6875,-0.05078125,-0.75,0.6875,0.34375,0.09375,0.595703125
107,35,A4,A6,B6,2D,28,36,B8,A3,0.8125,-0.1875,-0.21875,-0.875,0.40625,0.25,0.875,-1.0,-0.171875,0.794921875
108,A0,A3,B7,32,B7,29,AC,A2,33,-0.125,-0.171875,-0.9375,0.625,-0.9375,0.28125,-0.375,-0.15625,0.6875,1.01025390625
109,B1,0C,AF,26,1B,2B,B5,28,2A,-0.5625,0.0234375,-0.46875,0.21875,0.0859375,0.34375,-0.8125,0.25,0.3125,0.707763671875
110,B6,37,33,31,31,00,35,B3,30,-0.875,0.9375,0.6875,0.5625,0.5625,0.0,0.8125,-0.6875,0.5,0.1796875
111,37,B6,2A,37,B3,1F,35,AF,B1,0.9375,-0.875,0.3125,0.9375,-0.6875,0.1171875,0.8125,-0.46875,-0.5625,-1.4951171875
112,2E,31,36,2A,B6,32,AE,20,2E,0.4375,0.5625,0.875,0.3125,-0.875,0.625,-0.4375,0.125,0.4375,0.0625
113,37,1D,B3,0C,1E,30,B2,1D,B6,0.9375,0.1015625,-0.6875,0.0234375,0.109375,0.5,-0.625,0.1015625,-0.875,-0.28961181640625
114,38,B7,1B,B2,AE,A5,B0,AF,AC,1.0,-0.9375,0.0859375,-0.625,-0.4375,-0.203125,-0.5,-0.46875,-0.375,-0.3720703125
115,81,37,B1,B2,B7,35,31,33,B3,-0.001953125,0.9375,-0.5625,-0.625,-0.9375,0.8125,0.5625,0.6875,-0.6875,-0.6700439453125
116,9F,2B,18,2F,B2,35,24,26,23,-0.1171875,0.34375,0.0625,0.46875,-0.625,0.8125,0.1875,0.21875,0.171875,0.638671875
117,9F,B8,B3,92,B5,24,B2,2C,A4,-0.1171875,-1.0,-0.6875,-0.0390625,-0.8125,0.1875,-0.625,0.375,-0.1875,0.13525390625
118,2A,AF,B4,2B,32,B1,B7,34,30,0.3125,-0.46875,-0.75,0.34375,0.625,-0.5625,-0.9375,0.75,0.5,1.919921875
119,31,31,A3,36,32,30,36,35,20,0.5625,0.5625,-0.171875,0.875,0.625,0.5,0.875,0.8125,0.125,1.318359375
120,B6,24,84,B7,AC,32,28,36,30,-0.875,0.1875,-0.0078125,-0.9375,-0.375,0.625,0.25,0.875,0.5,0.123046875
121,B2,2E,B6,34,AD,37,B6,30,B5,-0.625,0.4375,-0.875,0.75,-0.40625,0.9375,-0.875,0.5,-0.8125,0.9921875
122,34,32,0D,20,B1,A9,B3,A6,B4,0.75,0.625,0.025390625,0.125,-0.5625,-0.28125,-0.6875,-0.21875,-0.75,-1.3924560546875
123,29,87,A9,AA,36,36,37,A9,B5,0.28125,-0.013671875,-0.28125,-0.3125,0.875,0.875,0.9375,-0.28125,-0.8125,-0.754150390625
124,B3,34,AA,B3,37,B1,1F,A3,B4,-0.6875,0.75,-0.3125,-0.6875,0.9375,-0.5625,0.1171875,-0.171875,-0.75,-1.73486328125
125,A8,31,1B,33,B7,B5,A1,29,A3,-0.25,0.5625,0.0859375,0.6875,-0.9375,-0.8125,-0.140625,0.28125,-0.171875,-0.2132568359375
126,AE,32,33,2A,B4,2F,26,2F,2F,-0.4375,0.625,0.6875,0.3125,-0.75,0.46875,0.21875,0.46875,0.46875,1.38671875
127,20,A7,33,36,36,AD,B1,B2,2C,0.125,-0.234375,0.6875,0.875,0.875,-0.40625,-0.5625,-0.625,0.375,-0.35400390625
128,37,B0,9D,1C,A3,1C,A8,23,37,0.9375,-0.5,-0.1015625,0.09375,-0.171875,0.09375,-0.25,0.171875,0.9375,0.77099609375
129,30,37,A2,B3,B2,B1,31,B1,20,0.5,0.9375,-0.15625,-0.6875,-0.625,-0.5625,0.5625,-0.5625,0.125,-0.416015625
130,36,A2,B0,34,37,B6,32,37,AD,0.875,-0.15625,-0.5,0.75,0.9375,-0.875,0.625,0.9375,-0.40625,0.94140625
131,A9,B2,B1,31,9F,AC,A9,35,38,-0.28125,-0.625,-0.5625,0.5625,-0.1171875,-0.375,-0.28125,0.8125,1.0,1.882568359375
132,AC,AF,AF,31,35,B2,B5,AB,33,-0.375,-0.46875,-0.46875,0.5625,0.8125,-0.625,-0.8125,-0.34375,0.6875,0.86328125
133,33,36,A2,B7,B7,32,A8,B3,AE,0.6875,0.875,-0.15625,-0.9375,-0.9375,0.625,-0.25,-0.6875,-0.4375,0.1484375
134,B5,35,A1,05,B2,14,B0,36,34,-0.8125,0.8125,-0.140625,0.009765625,-0.625,0.046875,-0.5,0.875,0.75,1.374755859375
135,2E,20,2F,B5,A9,34,31,AC,A7,0.4375,0.125,0.46875,-0.8125,-0.28125,0.75,0.5625,-0.375,-0.234375,0.3046875
136,B4,B8,36,B2,32,B2,9B,1B,B2,-0.75,-1.0,0.875,-0.625,0.625,-0.625,-0.0859375,0.0859375,-0.625,-0.59765625
137,AE,B4,B8,A8,33,B1,A1,A6,0F,-0.4375,-0.75,-1.0,-0.25,0.6875,-0.5625,-0.140625,-0.21875,0.029296875,0.345703125
138,B1,B6,AB,37,22,9C,AD,2E,B3,-0.5625,-0.875,-0.34375,0.9375,0.15625,-0.09375,-0.40625,0.4375,-0.6875,-0.1435546875
139,27,80,B6,01,AA,B8,9D,B1,B5,0.234375,-0.0,-0.875,0.001953125,-0.3125,-1.0,-0.1015625,-0.5625,-0.8125,-0.7979736328125
140,2C,1E,A6,2D,34,A9,15,35,AF,0.375,0.109375,-0.21875,0.40625,0.75,-0.28125,0.05078125,0.8125,-0.46875,0.1007080078125
141,9C,8E,A9,1F,31,34,A3,AE,31,-0.09375,-0.02734375,-0.28125,0.1171875,0.5625,0.75,-0.171875,-0.4375,0.5625,0.486328125
142,2D,AE,9F,B0,14,B1,B6,AF,B5,0.40625,-0.4375,-0.1171875,-0.5,0.046875,-0.5625,-0.875,-0.46875,-0.8125,-0.21044921875
143,AD,AB,AC,36,30,AF,35,91,B8,-0.40625,-0.34375,-0.375,0.875,0.5,-0.46875,0.8125,-0.03515625,-1.0,-1.37744140625
144,98,B5,AE,37,18,38,9F,AB,B1,-0.0625,-0.8125,-0.4375,0.9375,0.0625,1.0,-0.1171875,-0.34375,-0.5625,-1.64990234375
145,B0,31,24,34,92,34,35,B6,2B,-0.5,0.5625,0.1875,0.75,-0.0390625,0.75,0.8125,-0.875,0.34375,0.28125
146,B6,A9,B4,28,B4,B5,2F,2B,33,-0.875,-0.28125,-0.75,0.25,-0.75,-0.8125,0.46875,0.34375,0.6875,1.306640625
147,35,2E,33,AE,9B,1C,A5,9A,91,0.8125,0.4375,0.6875,-0.4375,-0.0859375,0.09375,-0.203125,-0.078125,-0.03515625,-0.16943359375
148,11,B7,B3,31,34,B1,B4,B1,34,0.03515625,-0.9375,-0.6875,0.5625,0.75,-0.5625,-0.75,-0.5625,0.75,1.5029296875
149,9F,37,84,B4,30,B4,2D,38,30,-0.1171875,0.9375,-0.0078125,-0.75,0.5,-0.75,0.40625,1.0,0.5,-1.014892578125
150,32,A2,B6,B1,33,31,22,B2,93,0.625,-0.15625,-0.875,-0.5625,0.6875,0.5625,0.15625,-0.625,-0.04296875,0.513671875
151,32,B5,35,B5,2E,B7,33,AC,1D,0.625,-0.8125,0.8125,-0.8125,0.4375,-0.9375,0.6875,-0.375,0.1015625,2.0
152,B7,2B,38,AD,33,B3,B7,2B,AF,-0.9375,0.34375,1.0,-0.40625,0.6875,-0.6875,-0.9375,0.34375,-0.46875,-2.4267578125
153,2E,B6,B4,AC,12,B0,B4,B4,A9,0.4375,-0.875,-0.75,-0.375,0.0390625,-0.5,-0.75,-0.75,-0.28125,1.01708984375
154,B6,1B,B7,12,AC,B7,B7,23,2E,-0.875,0.0859375,-0.9375,0.0390625,-0.375,-0.9375,-0.9375,0.171875,0.4375,1.5706787109375
155,B2,21,B5,99,32,B2,99,35,AF,-0.625,0.140625,-0.8125,-0.0703125,0.625,-0.625,-0.0703125,0.8125,-0.46875,-0.947265625
156,31,B6,AE,31,34,AD,A3,AB,B2,0.5625,-0.875,-0.4375,0.5625,0.75,-0.40625,-0.171875,-0.34375,-0.625,0.0341796875
157,AB,33,21,33,21,2B,1E,B1,8A,-0.34375,0.6875,0.140625,0.6875,0.140625,0.34375,0.109375,-0.5625,-0.01953125,-0.202880859375
158,AA,B1,AC,35,37,37,1B,AE,A9,-0.3125,-0.5625,-0.375,0.8125,0.9375,0.9375,0.0859375,-0.4375,-0.28125,-1.4892578125
159,AD,37,34,31,12,8F,2F,34,2E,-0.40625,0.9375,0.75,0.5625,0.0390625,-0.029296875,0.46875,0.75,0.4375,1.1676025390625
160,36,25,33,26,1D,32,9E,33,B0,0.875,0.203125,0.6875,0.21875,0.1015625,0.625,-0.109375,0.6875,-0.5,-0.208984375
161,37,2F,B2,2C,AE,B5,B4,A1,36,0.9375,0.46875,-0.625,0.375,-0.4375,-0.8125,-0.75,-0.140625,0.875,0.5
162,B0,1B,9F,B3,2C,AD,B7,33,30,-0.5,0.0859375,-0.1171875,-0.6875,0.375,-0.40625,-0.9375,0.6875,0.5,-0.085205078125
163,B7,9C,AC,2A,AC,2D,B7,35,29,-0.9375,-0.09375,-0.375,0.3125,-0.375,0.40625,-0.9375,0.8125,0.28125,1.2001953125
164,A5,32,2F,AC,B5,29,A2,34,B3,-0.203125,0.625,0.46875,-0.375,-0.8125,0.28125,-0.15625,0.75,-0.6875,-0.701171875
165,33,33,B1,B0,27,AE,8E,18,A6,0.6875,0.6875,-0.5625,-0.5,0.234375,-0.4375,-0.02734375,0.0625,-0.21875,-0.374267578125
166,B4,AE,32,32,B5,2C,34,26,37,-0.75,-0.4375,0.625,0.625,-0.8125,0.375,0.75,0.21875,0.9375,1.98828125
167,23,98,A5,23,2A,38,B3,AB,35,0.171875,-0.0625,-0.203125,0.171875,0.3125,1.0,-0.6875,-0.34375,0.8125,0.88427734375
168,2C,AC,20,B6,B3,B7,33,B4,A8,0.375,-0.375,0.125,-0.875,-0.6875,-0.9375,0.6875,-0.75,-0.25,0.5859375
169,AB,2D,B6,B8,B2,21,A9,B6,AE,-0.34375,0.40625,-0.875,-1.0,-0.625,0.140625,-0.28125,-0.875,-0.4375,0.95556640625
170,AF,2F,2E,B7,33,B5,A5,A2,B7,-0.46875,0.46875,0.4375,-0.9375,0.6875,-0.8125,-0.203125,-0.15625,-0.9375,-1.5830078125
171,B5,2F,2C,31,37,34,AD,2A,2A,-0.8125,0.46875,0.375,0.5625,0.9375,0.75,-0.40625,0.3125,0.3125,-0.07421875
