test_id,A0_hex,A1_hex,A2_hex,A3_hex,B0_hex,B1_hex,B2_hex,B3_hex,C0_hex,A0_int,A1_int,A2_int,A3_int,B0_int,B1_int,B2_int,B3_int,C0_int,reference_int,input_width,output_width,operand_range,c_range
31,01,07,09,F6,00,05,04,F7,FFED,1,7,9,-10,0,5,4,-9,-19,142,8,16,10,100
32,00,02,FF,FA,02,08,09,F7,002D,0,2,-1,-6,2,8,9,-9,45,106,8,16,10,100
33,F9,05,F9,F9,09,FB,F7,F7,FFEB,-7,5,-7,-7,9,-5,-9,-9,-21,17,8,16,10,100
34,FC,06,F9,04,05,05,F7,03,FFD4,-4,6,-7,4,5,5,-9,3,-44,41,8,16,10,100
35,FD,00,FB,02,08,07,FD,05,FFCA,-3,0,-5,2,8,7,-3,5,-54,-53,8,16,10,100
36,FC,07,08,07,0A,FC,FB,04,005E,-4,7,8,7,10,-4,-5,4,94,14,8,16,10,100
37,F6,0A,FC,F8,F8,07,F9,F9,FFDF,-10,10,-4,-8,-8,7,-7,-7,-33,201,8,16,10,100
38,08,FD,FC,FE,FD,05,01,04,0045,8,-3,-4,-2,-3,5,1,4,69,18,8,16,10,100
39,02,07,FD,0A,04,06,F9,06,FFA3,2,7,-3,10,4,6,-7,6,-93,38,8,16,10,100
40,06,07,01,FD,02,05,F8,03,0013,6,7,1,-3,2,5,-8,3,19,49,8,16,10,100
41,F9,00,FD,04,FF,03,08,F9,FFC7,-7,0,-3,4,-1,3,8,-7,-57,-102,8,16,10,100
42,FC,09,02,FE,08,0A,FB,0A,FF9D,-4,9,2,-2,8,10,-5,10,-99,-71,8,16,10,100
43,06,FE,F6,05,00,0A,FC,0A,FFE9,6,-2,-10,5,0,10,-4,10,-23,47,8,16,10,100
44,F6,02,01,FC,07,FE,FD,F8,FFD0,-10,2,1,-4,7,-2,-3,-8,-48,-93,8,16,10,100
45,FE,07,F6,F6,FA,08,08,FA,FFF0,-2,7,-10,-10,-6,8,8,-6,-16,32,8,16,10,100
46,FC,FA,09,09,FF,06,FF,F6,FFD1,-4,-6,9,9,-1,6,-1,-10,-47,-178,8,16,10,100
47,03,02,08,02,0A,0A,04,08,002B,3,2,8,2,10,10,4,8,43,141,8,16,10,100
48,FE,06,FF,07,F8,05,05,0A,FFC4,-2,6,-1,7,-8,5,5,10,-60,51,8,16,10,100
49,03,F7,F9,F9,FE,00,03,02,0016,3,-9,-7,-7,-2,0,3,2,22,-19,8,16,10,100
50,F8,02,0A,F9,03,FD,09,F6,005C,-8,2,10,-7,3,-3,9,-10,92,222,8,16,10,100
51,04,FA,0A,F6,01,FB,FE,FA,FFFF,4,-6,10,-10,1,-5,-2,-6,-1,73,8,16,10,100
52,FB,FF,00,0A,09,00,03,F7,FFF6,-5,-1,0,10,9,0,3,-9,-10,-145,8,16,10,100
53,FD,09,04,F6,01,02,05,FA,0037,-3,9,4,-10,1,2,5,-6,55,150,8,16,10,100
54,01,08,FF,07,FA,05,04,F6,0013,1,8,-1,7,-6,5,4,-10,19,-21,8,16,10,100
55,01,FD,03,05,FD,09,06,00,0019,1,-3,3,5,-3,9,6,0,25,13,8,16,10,100
56,FF,09,FD,03,00,F9,FA,FB,0024,-1,9,-3,3,0,-7,-6,-5,36,-24,8,16,10,100
57,F7,F9,02,FA,01,F8,FC,FC,FF9C,-9,-7,2,-6,1,-8,-4,-4,-100,-37,8,16,10,100
58,F9,00,FE,08,FD,0A,07,09,FFE2,-7,0,-2,8,-3,10,7,9,-30,49,8,16,10,100
59,09,08,FF,01,00,02,F6,08,FFBA,9,8,-1,1,0,2,-10,8,-70,-36,8,16,10,100
60,08,04,04,0A,00,FD,FE,F9,FFC7,8,4,4,10,0,-3,-2,-7,-57,-147,8,16,10,100
61,FF,F7,06,FA,FA,06,FC,FE,FFD2,-1,-9,6,-6,-6,6,-4,-2,-46,-106,8,16,10,100
62,FE,01,F7,F8,FA,FD,F7,FA,FFA1,-2,1,-9,-8,-6,-3,-9,-6,-95,43,8,16,10,100
63,F7,FA,02,03,08,03,F6,FB,FFC3,-9,-6,2,3,8,3,-10,-5,-61,-186,8,16,10,100
64,06,06,FA,05,F9,01,F8,FA,FFA1,6,6,-6,5,-7,1,-8,-6,-95,-113,8,16,10,100
65,F8,01,FA,01,00,FC,FF,FC,0026,-8,1,-6,1,0,-4,-1,-4,38,36,8,16,10,100
66,00,02,F8,00,FB,FE,05,07,FFC7,0,2,-8,0,-5,-2,5,7,-57,-101,8,16,10,100
67,07,FA,02,F6,04,FA,FE,FA,0061,7,-6,2,-10,4,-6,-2,-6,97,217,8,16,10,100
68,FA,07,09,FE,FE,FF,F6,06,002C,-6,7,9,-2,-2,-1,-10,6,44,-53,8,16,10,100
69,01,02,07,FC,02,F9,F9,0A,0026,1,2,7,-4,2,-7,-7,10,38,-63,8,16,10,100
70,FB,04,06,FB,F8,08,F9,F9,0005,-5,4,6,-5,-8,8,-7,-7,5,70,8,16,10,100
71,FA,F7,04,0A,F9,02,FE,FF,FFBD,-6,-9,4,10,-7,2,-2,-1,-67,-61,8,16,10,100
72,06,06,FD,FB,0A,F9,03,FA,FFE3,6,6,-3,-5,10,-7,3,-6,-29,10,8,16,10,100
73,FD,F9,00,02,07,08,FE,FC,FFFB,-3,-7,0,2,7,8,-2,-4,-5,-90,8,16,10,100
74,02,FF,F6,FF,09,03,04,03,0018,2,-1,-10,-1,9,3,4,3,24,-4,8,16,10,100
75,F9,05,05,FD,08,F7,01,FB,001D,-7,5,5,-3,8,-9,1,-5,29,-52,8,16,10,100
76,FC,FD,F8,08,07,FC,FB,FA,FFC8,-4,-3,-8,8,7,-4,-5,-6,-56,-80,8,16,10,100
77,0A,F6,F9,FA,F6,F7,FE,F9,0024,10,-10,-7,-6,-10,-9,-2,-7,36,82,8,16,10,100
78,FF,F6,05,09,08,FD,00,0A,FFB3,-1,-10,5,9,8,-3,0,10,-77,35,8,16,10,100
79,F6,F6,0A,03,F9,FF,04,F8,FFAE,-10,-10,10,3,-7,-1,4,-8,-82,14,8,16,10,100
80,02,FA,04,00,05,FA,0A,06,FFFC,2,-6,4,0,5,-6,10,6,-4,82,8,16,10,100
81,FD,03,FA,03,01,FD,02,F6,0012,-3,3,-6,3,1,-3,2,-10,18,-36,8,16,10,100
82,01,F9,05,01,F9,09,FE,F8,0022,1,-7,5,1,-7,9,-2,-8,34,-54,8,16,10,100
83,FC,F6,F9,02,0A,00,07,05,0042,-4,-10,-7,2,10,0,7,5,66,-13,8,16,10,100
84,FB,FD,FE,03,F6,FA,F9,FB,FFFD,-5,-3,-2,3,-10,-6,-7,-5,-3,64,8,16,10,100
85,FD,F9,FC,03,F6,FC,08,04,0007,-3,-7,-4,3,-10,-4,8,4,7,45,8,16,10,100
86,06,00,08,02,03,FE,03,F7,FFCB,6,0,8,2,3,-2,3,-9,-53,-29,8,16,10,100
87,0A,F9,01,04,F6,FF,F7,04,0045,10,-7,1,4,-10,-1,-9,4,69,-17,8,16,10,100
88,07,0A,F9,06,04,03,FA,F7,FFB1,7,10,-7,6,4,3,-6,-9,-79,-33,8,16,10,100
89,FB,FA,04,08,04,F6,00,03,FFEF,-5,-6,4,8,4,-10,0,3,-17,47,8,16,10,100
90,00,03,07,07,05,FE,0A,00,0008,0,3,7,7,5,-2,10,0,8,72,8,16,10,100
91,F8,FB,FD,05,05,08,07,F8,FFF2,-8,-5,-3,5,5,8,7,-8,-14,-155,8,16,10,100
92,FE,07,00,05,01,07,FF,07,FFF6,-2,7,0,5,1,7,-1,7,-10,72,8,16,10,100
93,FB,00,F8,F9,04,03,04,04,0057,-5,0,-8,-7,4,3,4,4,87,7,8,16,10,100
94,08,FC,03,FD,FD,01,04,00,000B,8,-4,3,-3,-3,1,4,0,11,-5,8,16,10,100
95,03,06,F9,F6,01,04,F6,FD,0046,3,6,-7,-10,1,4,-10,-3,70,197,8,16,10,100
96,F7,FA,01,08,0A,F6,FC,F6,FFE6,-9,-6,1,8,10,-10,-4,-10,-26,-140,8,16,10,100
97,02,06,0A,FB,FC,00,00,00,0008,2,6,10,-5,-4,0,0,0,8,0,8,16,10,100
98,FD,FC,04,F6,FD,FD,08,FD,000D,-3,-4,4,-10,-3,-3,8,-3,13,96,8,16,10,100
99,FB,F7,04,FA,FA,04,06,01,0039,-5,-9,4,-6,-6,4,6,1,57,69,8,16,10,100
100,FD,00,F6,F9,FB,FA,F9,F9,FFF0,-3,0,-10,-7,-5,-6,-7,-7,-16,118,8,16,10,100
101,09,03,08,00,0A,06,01,FC,FFFE,9,3,8,0,10,6,1,-4,-2,114,8,16,10,100
102,F8,03,FC,04,FC,F9,FB,0A,FFC9,-8,3,-4,4,-4,-7,-5,10,-55,16,8,16,10,100
103,07,01,F9,F9,0A,FE,FA,00,0063,7,1,-7,-7,10,-2,-6,0,99,209,8,16,10,100
104,FD,06,08,05,F6,FE,FE,05,FFF1,-3,6,8,5,-10,-2,-2,5,-15,12,8,16,10,100
105,F6,00,06,07,F6,01,09,FD,FFA1,-10,0,6,7,-10,1,9,-3,-95,38,8,16,10,100
106,F8,09,FB,FD,01,FF,04,04,FFA4,-8,9,-5,-3,1,-1,4,4,-92,-141,8,16,10,100
107,F7,06,F8,08,08,F8,00,FC,0033,-9,6,-8,8,8,-8,0,-4,51,-101,8,16,10,100
108,03,00,06,F6,08,F9,07,FC,003A,3,0,6,-10,8,-7,7,-4,58,164,8,16,10,100
109,FF,FA,FA,03,08,FC,04,00,FFC6,-1,-6,-6,3,8,-4,4,0,-58,-66,8,16,10,100
110,03,01,FA,01,FD,04,03,05,0056,3,1,-6,1,-3,4,3,5,86,68,8,16,10,100
111,FF,FD,03,F8,FD,03,FB,07,0031,-1,-3,3,-8,-3,3,-5,7,49,-28,8,16,10,100
112,0A,06,F6,09,00,FE,05,F6,004A,10,6,-10,9,0,-2,5,-10,74,-78,8,16,10,100
113,00,03,FE,05,F9,FE,00,FC,0027,0,3,-2,5,-7,-2,0,-4,39,13,8,16,10,100
114,F6,F6,0A,01,FA,FB,FB,FF,0003,-10,-10,10,1,-6,-5,-5,-1,3,62,8,16,10,100
115,06,F8,04,08,F8,01,02,F9,002C,6,-8,4,8,-8,1,2,-7,44,-60,8,16,10,100
116,08,03,F8,F9,07,FB,F7,FB,FFEC,8,3,-8,-7,7,-5,-9,-5,-20,128,8,16,10,100
117,F7,FC,FD,06,09,FC,0A,0A,0035,-9,-4,-3,6,9,-4,10,10,53,18,8,16,10,100
118,F9,0A,02,FA,01,02,FF,F8,FFA2,-7,10,2,-6,1,2,-1,-8,-94,-35,8,16,10,100
119,00,00,04,F9,FF,F6,FC,FE,FFFB,0,0,4,-7,-1,-10,-4,-2,-5,-7,8,16,10,100
120,F6,FE,01,0A,F6,04,03,06,005D,-10,-2,1,10,-10,4,3,6,93,248,8,16,10,100
121,05,F6,06,F9,F8,06,08,F9,0001,5,-10,6,-7,-8,6,8,-7,1,-2,8,16,10,100
122,FF,F9,0A,01,03,F8,08,01,0006,-1,-7,10,1,3,-8,8,1,6,140,8,16,10,100
123,F8,00,07,F6,09,06,00,F6,FFCE,-8,0,7,-10,9,6,0,-10,-50,-22,8,16,10,100
124,03,07,F8,00,07,FE,00,FF,FF9D,3,7,-8,0,7,-2,0,-1,-99,-92,8,16,10,100
125,05,FB,F7,02,FF,FB,09,F8,FFB2,5,-5,-9,2,-1,-5,9,-8,-78,-155,8,16,10,100
126,FD,06,FE,02,F6,02,06,02,FFE4,-3,6,-2,2,-10,2,6,2,-28,6,8,16,10,100
127,F8,F7,F9,F9,0A,F8,FD,FA,FF9C,-8,-9,-7,-7,10,-8,-3,-6,-100,-45,8,16,10,100
128,FD,FC,0A,FB,01,0A,00,F8,FFD8,-3,-4,10,-5,1,10,0,-8,-40,-43,8,16,10,100
129,F6,02,01,F8,04,FC,FE,07,0014,-10,2,1,-8,4,-4,-2,7,20,-86,8,16,10,100
130,0A,FC,03,F9,FC,03,04,08,FFEB,10,-4,3,-7,-4,3,4,8,-21,-117,8,16,10,100
131,04,FD,02,01,06,FE,09,02,0006,4,-3,2,1,6,-2,9,2,6,56,8,16,10,100
132,07,0A,F8,F6,00,F9,FE,FE,001F,7,10,-8,-10,0,-7,-2,-2,31,-3,8,16,10,100
133,FE,0A,FA,06,03,04,0A,FE,FFB2,-2,10,-6,6,3,4,10,-2,-78,-116,8,16,10,100
134,02,FE,FE,03,F6,06,07,06,FFEE,2,-2,-2,3,-10,6,7,6,-18,-46,8,16,10,100
135,02,FF,FB,00,08,FB,FD,FB,FFF9,2,-1,-5,0,8,-5,-3,-5,-7,29,8,16,10,100
136,F9,01,FC,FD,03,08,FA,01,FFAA,-7,1,-4,-3,3,8,-6,1,-86,-78,8,16,10,100
137,04,0A,09,01,F8,06,F6,05,0048,4,10,9,1,-8,6,-10,5,72,15,8,16,10,100
138,05,F8,FB,FF,09,FC,07,FF,FFD4,5,-8,-5,-1,9,-4,7,-1,-44,-1,8,16,10,100
139,FF,FA,07,04,FA,F8,01,F8,FFA1,-1,-6,7,4,-6,-8,1,-8,-95,-66,8,16,10,100
140,FB,08,FA,F7,F8,06,FB,00,005B,-5,8,-6,-9,-8,6,-5,0,91,209,8,16,10,100
141,09,00,F8,F6,F8,FF,02,FA,000C,9,0,-8,-10,-8,-1,2,-6,12,-16,8,16,10,100
142,FF,04,03,FE,05,FB,FA,F8,0048,-1,4,3,-2,5,-5,-6,-8,72,45,8,16,10,100
143,02,07,02,00,02,02,F7,F6,004E,2,7,2,0,2,2,-9,-10,78,78,8,16,10,100
144,FE,09,FE,FE,F6,FB,03,03,0006,-2,9,-2,-2,-10,-5,3,3,6,-31,8,16,10,100
145,FB,F7,F7,0A,00,07,03,05,0014,-5,-9,-9,10,0,7,3,5,20,-20,8,16,10,100
146,FC,FD,06,FE,09,02,07,0A,0046,-4,-3,6,-2,9,2,7,10,70,50,8,16,10,100
147,FF,F9,0A,03,F8,00,08,F9,001C,-1,-7,10,3,-8,0,8,-7,28,95,8,16,10,100
148,FA,02,F8,FE,0A,FA,01,FA,FFA8,-6,2,-8,-2,10,-6,1,-6,-88,-156,8,16,10,100
149,07,F9,FF,FE,FC,03,08,0A,FFA9,7,-7,-1,-2,-4,3,8,10,-87,-164,8,16,10,100
150,FF,01,08,FB,FC,FF,07,05,FFC1,-1,1,8,-5,-4,-1,7,5,-63,-29,8,16,10,100
151,00,06,07,01,FC,07,06,F7,0009,0,6,7,1,-4,7,6,-9,9,84,8,16,10,100
152,F7,F6,07,F7,FB,0A,FE,02,005A,-9,-10,7,-9,-5,10,-2,2,90,3,8,16,10,100
153,FE,FE,FF,F8,05,02,FC,FD,FFC8,-2,-2,-1,-8,5,2,-4,-3,-56,-42,8,16,10,100
154,FE,F7,06,FA,00,04,0A,03,0024,-2,-9,6,-6,0,4,10,3,36,42,8,16,10,100
155,F7,F7,FC,F8,08,09,06,08,FFE4,-9,-9,-4,-8,8,9,6,8,-28,-269,8,16,10,100
156,04,06,F6,FB,05,F7,F8,08,0034,4,6,-10,-5,5,-9,-8,8,52,58,8,16,10,100
157,F8,FC,F7,02,F9,FE,00,F9,FFEE,-8,-4,-9,2,-7,-2,0,-7,-18,32,8,16,10,100
158,F7,FC,F7,F9,06,02,03,FB,FFA1,-9,-4,-9,-7,6,2,3,-5,-95,-149,8,16,10,100
159,08,F7,08,07,05,0A,F6,04,FFEC,8,-9,8,7,5,10,-10,4,-20,-122,8,16,10,100
160,09,00,08,FB,0A,F7,05,FF,0003,9,0,8,-5,10,-9,5,-1,3,138,8,16,10,100
161,F7,04,F9,06,06,06,08,FE,FFD4,-9,4,-7,6,6,6,8,-2,-44,-142,8,16,10,100
162,01,F8,FA,02,FA,F8,0A,05,FFF6,1,-8,-6,2,-6,-8,10,5,-10,-2,8,16,10,100
163,01,04,09,05,FF,01,FA,F8,FFD9,1,4,9,5,-1,1,-6,-8,-39,-130,8,16,10,100
164,FB,FE,01,F7,FA,FD,FE,07,004E,-5,-2,1,-9,-6,-3,-2,7,78,49,8,16,10,100
165,03,FA,05,01,F8,07,07,09,004A,3,-6,5,1,-8,7,7,9,74,52,8,16,10,100
166,F6,F6,F9,03,FE,0A,F6,03,0051,-10,-10,-7,3,-2,10,-10,3,81,80,8,16,10,100
167,FE,F7,08,0A,0A,FA,08,09,0058,-2,-9,8,10,10,-6,8,9,88,276,8,16,10,100
168,F9,08,08,0A,02,06,00,F8,FF9E,-7,8,8,10,2,6,0,-8,-98,-144,8,16,10,100
169,FF,F7,FC,FC,FF,FD,0A,04,FF9D,-1,-9,-4,-4,-1,-3,10,4,-99,-127,8,16,10,100
170,07,03,FA,07,FB,01,08,F6,005F,7,3,-6,7,-5,1,8,-10,95,-55,8,16,10,100
171,FD,09,03,FA,FC,FD,0A,FD,002B,-3,9,3,-6,-4,-3,10,-3,43,76,8,16,10,100
172,09,F7,03,0A,FD,02,FA,FC,FFAD,9,-9,3,10,-3,2,-6,-4,-83,-186,8,16,10,100
173,F8,02,08,FF,01,FB,FC,08,FFD3,-8,2,8,-1,1,-5,-4,8,-45,-103,8,16,10,100
174,04,04,FF,05,01,05,F7,00,0026,4,4,-1,5,1,5,-9,0,38,71,8,16,10,100
175,FE,FB,FE,FD,01,05,FC,04,FFB6,-2,-5,-2,-3,1,5,-4,4,-74,-105,8,16,10,100
176,FA,00,FB,FD,0A,FC,03,F7,FFE4,-6,0,-5,-3,10,-4,3,-9,-28,-76,8,16,10,100
177,F7,FA,01,FB,02,FF,05,F9,FFE7,-9,-6,1,-5,2,-1,5,-7,-25,3,8,16,10,100
178,03,06,03,FC,04,06,FE,05,004C,3,6,3,-4,4,6,-2,5,76,98,8,16,10,100
179,F6,08,F7,F7,F8,01,FB,F8,005E,-10,8,-9,-9,-8,1,-5,-8,94,299,8,16,10,100
180,00,F9,02,09,FA,F6,F9,FB,005D,0,-7,2,9,-6,-10,-7,-5,93,104,8,16,10,100
181,FB,04,07,FB,FA,FE,00,FA,005E,-5,4,7,-5,-6,-2,0,-6,94,146,8,16,10,100
182,F6,F6,01,07,FD,03,FF,02,FFCB,-10,-10,1,7,-3,3,-1,2,-53,-40,8,16,10,100
183,06,FC,09,F7,04,00,09,0A,0030,6,-4,9,-9,4,0,9,10,48,63,8,16,10,100
184,FA,04,02,FF,FA,FA,03,09,FFED,-6,4,2,-1,-6,-6,3,9,-19,-10,8,16,10,100
185,05,FE,F8,FE,06,FD,00,F7,FF9E,5,-2,-8,-2,6,-3,0,-9,-98,-44,8,16,10,100
186,F8,04,00,FC,F7,F9,FC,05,0029,-8,4,0,-4,-9,-7,-4,5,41,65,8,16,10,100
187,08,02,05,F8,01,06,F8,FD,FFE0,8,2,5,-8,1,6,-8,-3,-32,-28,8,16,10,100
188,FC,04,05,FA,01,FE,07,08,0005,-4,4,5,-6,1,-2,7,8,5,-20,8,16,10,100
189,F7,FF,08,F9,FE,F9,04,05,FFDB,-9,-1,8,-7,-2,-7,4,5,-37,-15,8,16,10,100
190,06,09,FC,FE,F8,FE,F8,FF,FFCE,6,9,-4,-2,-8,-2,-8,-1,-50,-82,8,16,10,100
191,00,F7,FF,07,F8,FF,FE,05,FFED,0,-9,-1,7,-8,-1,-2,5,-19,27,8,16,10,100
192,F6,05,06,F8,F6,FE,04,F6,0024,-10,5,6,-8,-10,-2,4,-10,36,230,8,16,10,100
193,F7,F9,04,03,00,FD,02,FD,0006,-9,-7,4,3,0,-3,2,-3,6,26,8,16,10,100
194,FE,08,FD,05,06,FE,F8,06,0047,-2,8,-3,5,6,-2,-8,6,71,97,8,16,10,100
195,04,F8,F6,01,03,FA,0A,0A,FFBB,4,-8,-10,1,3,-6,10,10,-69,-99,8,16,10,100
196,09,F8,FE,06,FA,F9,FF,04,FFAC,9,-8,-2,6,-6,-7,-1,4,-84,-56,8,16,10,100
197,07,05,02,0A,04,05,08,06,FFA5,7,5,2,10,4,5,8,6,-91,38,8,16,10,100
198,02,FA,F9,08,FF,FC,06,F9,FFD7,2,-6,-7,8,-1,-4,6,-7,-41,-117,8,16,10,100
199,01,03,04,F9,05,05,F9,07,005F,1,3,4,-7,5,5,-7,7,95,38,8,16,10,100
200,03,F9,03,FD,F7,05,FD,08,002C,3,-7,3,-3,-9,5,-3,8,44,-51,8,16,10,100
201,08,FC,05,F9,00,04,F8,F6,0054,8,-4,5,-7,0,4,-8,-10,84,98,8,16,10,100
202,F6,03,09,00,FF,07,09,F7,FFE8,-10,3,9,0,-1,7,9,-9,-24,88,8,16,10,100
203,FA,00,FF,09,FF,FA,FA,F7,002C,-6,0,-1,9,-1,-6,-6,-9,44,-25,8,16,10,100
204,FE,03,05,F8,00,FA,00,06,000E,-2,3,5,-8,0,-6,0,6,14,-52,8,16,10,100
205,FD,FE,FA,F9,08,01,F7,07,001A,-3,-2,-6,-7,8,1,-9,7,26,5,8,16,10,100
206,F6,06,00,FD,F7,FE,F6,08,FFB9,-10,6,0,-3,-9,-2,-10,8,-71,-17,8,16,10,100
207,06,FB,06,08,07,F8,04,F7,FFAD,6,-5,6,8,7,-8,4,-9,-83,-49,8,16,10,100
208,FC,05,04,0A,01,FE,F7,05,FFAF,-4,5,4,10,1,-2,-9,5,-81,-81,8,16,10,100
209,07,FE,F6,F8,FF,03,00,FC,001A,7,-2,-10,-8,-1,3,0,-4,26,45,8,16,10,100
210,00,08,06,08,07,FC,FE,05,FFCC,0,8,6,8,7,-4,-2,5,-52,-56,8,16,10,100
211,01,08,FD,00,F6,FD,FF,07,FFE2,1,8,-3,0,-10,-3,-1,7,-30,-61,8,16,10,100
212,01,FF,07,00,06,05,FE,02,0053,1,-1,7,0,6,5,-2,2,83,70,8,16,10,100
213,00,09,F7,F6,09,07,04,00,000E,0,9,-9,-10,9,7,4,0,14,41,8,16,10,100
214,FE,FC,FD,07,FF,05,F9,FA,0002,-2,-4,-3,7,-1,5,-7,-6,2,-37,8,16,10,100
215,03,FD,FB,07,0A,04,FB,03,FFE9,3,-3,-5,7,10,4,-5,3,-23,41,8,16,10,100
216,06,F7,FD,F9,F7,04,00,00,004F,6,-9,-3,-7,-9,4,0,0,79,-11,8,16,10,100
217,02,F7,00,0A,0A,02,02,FA,FFEC,2,-9,0,10,10,2,2,-6,-20,-78,8,16,10,100
218,F8,FC,0A,FF,03,01,FA,FC,FFD0,-8,-4,10,-1,3,1,-6,-4,-48,-132,8,16,10,100
219,04,FE,09,F6,FF,F8,05,F8,0024,4,-2,9,-10,-1,-8,5,-8,36,173,8,16,10,100
220,02,F9,FF,F9,F7,04,F9,02,004D,2,-7,-1,-7,-9,4,-7,2,77,24,8,16,10,100
221,06,F8,09,F6,01,08,02,04,003D,6,-8,9,-10,1,8,2,4,61,-19,8,16,10,100
222,02,FD,08,FA,0A,FA,00,05,004B,2,-3,8,-6,10,-6,0,5,75,83,8,16,10,100
223,0A,FF,FC,08,F7,F8,FA,05,FFA5,10,-1,-4,8,-9,-8,-6,5,-91,-109,8,16,10,100
224,F6,FA,01,09,00,09,07,F8,FF9E,-10,-6,1,9,0,9,7,-8,-98,-217,8,16,10,100
225,FA,FB,FF,08,F9,01,F8,FF,FFB5,-6,-5,-1,8,-7,1,-8,-1,-75,-38,8,16,10,100
226,FE,F7,F6,F9,FF,02,0A,03,FFA3,-2,-9,-10,-7,-1,2,10,3,-93,-230,8,16,10,100
227,F9,F6,F7,04,FF,FF,FE,FB,FFD6,-7,-10,-9,4,-1,-1,-2,-5,-42,-27,8,16,10,100
228,FF,07,08,04,FE,FC,F7,00,FFE9,-1,7,8,4,-2,-4,-9,0,-23,-121,8,16,10,100
229,FC,08,F8,09,04,F8,06,06,FFF0,-4,8,-8,9,4,-8,6,6,-16,-90,8,16,10,100
230,02,F7,02,05,00,00,FA,09,FFF5,2,-9,2,5,0,0,-6,9,-11,22,8,16,10,100
