test_id,A0_hex,A1_hex,A2_hex,A3_hex,B0_hex,B1_hex,B2_hex,B3_hex,C0_hex,A0_real,A1_real,A2_real,A3_real,B0_real,B1_real,B2_real,B3_real,C0_real,reference_real
25,0B,DF,3F,3F,36,33,07,37,12,0.171875,-0.515625,0.984375,0.984375,0.84375,0.796875,0.109375,0.859375,0.28125,0.968994140625
26,D4,1E,2D,C2,D9,24,22,08,D0,-0.6875,0.46875,0.703125,-0.96875,-0.609375,0.5625,0.53125,0.125,-0.75,0.18505859375
27,E2,DE,3E,DD,EF,18,15,08,13,-0.46875,-0.53125,0.96875,-0.546875,-0.265625,0.375,0.328125,0.125,0.296875,0.4716796875
28,2F,35,CE,C4,35,35,EF,F3,18,0.734375,0.828125,-0.78125,-0.9375,0.828125,0.828125,-0.265625,-0.203125,0.375,2.06689453125
29,F6,CE,E0,E7,08,D6,1D,3C,F1,-0.15625,-0.78125,-0.5,-0.390625,0.125,-0.65625,0.453125,0.9375,-0.234375,-0.333984375
30,09,11,26,11,02,1C,C3,38,33,0.140625,0.265625,0.59375,0.265625,0.03125,0.4375,-0.953125,0.875,0.796875,0.583984375
31,19,DA,10,C4,F3,DC,08,E0,CC,0.390625,-0.59375,0.25,-0.9375,-0.203125,-0.5625,0.125,-0.5,-0.8125,-0.057861328125
32,26,E0,08,C2,08,25,24,EA,D0,0.59375,-0.5,0.125,-0.96875,0.125,0.578125,0.5625,-0.34375,-0.75,-0.5615234375
33,0E,E7,E5,DB,F2,17,F3,13,1D,0.21875,-0.390625,-0.421875,-0.578125,-0.21875,0.359375,-0.203125,0.296875,0.453125,0.178955078125
34,28,09,3F,01,05,14,3C,1A,35,0.625,0.140625,0.984375,0.015625,0.078125,0.3125,0.9375,0.40625,0.828125,1.85009765625
35,D4,F6,1A,1E,2A,E2,E8,F5,F2,-0.6875,-0.15625,0.40625,0.46875,0.65625,-0.46875,-0.375,-0.171875,-0.21875,-0.82958984375
36,CC,F2,12,1F,DD,0F,20,D4,C2,-0.8125,-0.21875,0.28125,0.484375,-0.546875,0.234375,0.5,-0.6875,-0.96875,-0.76806640625
37,D4,17,35,F2,E8,10,E8,C5,DF,-0.6875,0.359375,0.828125,-0.21875,-0.375,0.25,-0.375,-0.921875,-0.515625,-0.27685546875
38,0D,FB,EC,F2,D2,22,F0,18,09,0.203125,-0.078125,-0.3125,-0.21875,-0.71875,0.53125,-0.25,0.375,0.140625,-0.05078125
39,33,26,D1,FA,C1,21,DE,3D,DD,0.796875,0.59375,-0.734375,-0.09375,-0.984375,0.515625,-0.53125,0.953125,-0.546875,-0.724365234375
40,01,FF,2A,0C,31,E9,CC,D8,C6,0.015625,-0.015625,0.65625,0.1875,0.765625,-0.359375,-0.8125,-0.625,-0.90625,-1.5390625
41,1B,18,21,24,D0,C8,14,C0,EB,0.421875,0.375,0.515625,0.5625,-0.75,-0.875,0.3125,-1.0,-0.328125,-1.3740234375
42,0B,14,0F,3A,3D,E8,E8,C3,CF,0.171875,0.3125,0.234375,0.90625,0.953125,-0.375,-0.375,-0.953125,-0.765625,-1.670654296875
43,F8,12,DE,CD,18,16,01,D2,D9,-0.125,0.28125,-0.53125,-0.796875,0.375,0.34375,0.015625,-0.71875,-0.609375,0.0048828125
44,E2,2D,37,C6,38,35,25,DE,3C,-0.46875,0.703125,0.859375,-0.90625,0.875,0.828125,0.578125,-0.53125,0.9375,2.087890625
45,28,D2,C5,F0,0A,C3,3A,16,02,0.625,-0.71875,-0.921875,-0.25,0.15625,-0.953125,0.90625,0.34375,0.03125,-0.107421875
46,FF,CD,20,1F,C3,27,ED,37,EC,-0.015625,-0.796875,0.5,0.484375,-0.953125,0.609375,-0.296875,0.859375,-0.3125,-0.515380859375
47,DB,D9,EA,C9,D5,FC,07,07,D1,-0.578125,-0.609375,-0.34375,-0.859375,-0.671875,-0.0625,0.109375,0.109375,-0.734375,-0.439453125
48,C3,D3,33,D1,18,07,0D,38,E1,-0.953125,-0.703125,0.796875,-0.734375,0.375,0.109375,0.203125,0.875,-0.484375,-1.3994140625
49,1A,02,EF,F3,DA,CD,36,12,D6,0.40625,0.03125,-0.265625,-0.203125,-0.59375,-0.796875,0.84375,0.28125,-0.65625,-1.20361328125
50,27,D8,15,0B,26,F5,3A,1C,F9,0.609375,-0.625,0.328125,0.171875,0.59375,-0.171875,0.90625,0.4375,-0.109375,0.732421875
51,CF,E1,D1,03,27,1F,12,F7,E4,-0.765625,-0.484375,-0.734375,0.046875,0.609375,0.484375,0.28125,-0.140625,-0.4375,-1.351806640625
52,27,16,15,07,25,0B,E2,F0,E8,0.609375,0.34375,0.328125,0.109375,0.578125,0.171875,-0.46875,-0.25,-0.375,-0.144775390625
53,E5,33,1B,0F,FA,FE,CD,FD,0B,-0.421875,0.796875,0.421875,0.234375,-0.09375,-0.03125,-0.796875,-0.046875,0.171875,-0.16064453125
54,ED,01,40,35,CA,39,26,28,27,-0.296875,0.015625,1.0,0.828125,-0.84375,0.890625,0.59375,0.625,0.609375,1.985107421875
55,DB,D1,12,2A,CD,C2,39,34,E1,-0.578125,-0.734375,0.28125,0.65625,-0.796875,-0.96875,0.890625,0.8125,-0.484375,1.471435546875
56,2A,E6,2C,C2,0E,DD,11,C3,13,0.65625,-0.40625,0.6875,-0.96875,0.21875,-0.546875,0.265625,-0.953125,0.296875,1.7685546875
57,CD,F9,C9,F1,D4,EA,FC,14,11,-0.796875,-0.109375,-0.859375,-0.234375,-0.6875,-0.34375,-0.0625,0.3125,0.265625,0.83154296875
58,03,2D,F5,D2,18,EE,38,F2,C2,0.046875,0.703125,-0.171875,-0.71875,0.375,-0.28125,0.875,-0.21875,-0.96875,-1.14208984375
59,EC,3B,FD,29,EF,0E,CA,DA,CD,-0.3125,0.921875,-0.046875,0.640625,-0.265625,0.21875,-0.84375,-0.59375,-0.796875,-0.85302734375
60,F4,E9,07,13,DF,E2,C3,D0,F1,-0.1875,-0.359375,0.109375,0.296875,-0.515625,-0.46875,-0.953125,-0.75,-0.234375,-0.296142578125
61,33,D8,F4,C2,0B,F6,EA,F2,E3,0.796875,-0.625,-0.1875,-0.96875,0.171875,-0.15625,-0.34375,-0.21875,-0.453125,0.057861328125
62,F4,D8,1B,37,34,EF,C1,22,FB,-0.1875,-0.625,0.421875,0.859375,0.8125,-0.265625,-0.984375,0.53125,-0.078125,-0.023193359375
63,06,14,28,02,F8,D1,C5,D5,D4,0.09375,0.3125,0.625,0.03125,-0.125,-0.734375,-0.921875,-0.671875,-0.6875,-1.52587890625
64,38,09,C4,E9,F5,2B,F5,06,E2,0.875,0.140625,-0.9375,-0.359375,-0.171875,0.671875,-0.171875,0.09375,-0.46875,-0.397216796875
65,E9,CA,24,FF,1E,09,CB,E2,E9,-0.359375,-0.84375,0.5625,-0.015625,0.46875,0.140625,-0.828125,-0.46875,-0.359375,-1.10498046875
66,24,EC,3C,26,18,04,19,EB,CD,0.5625,-0.3125,0.9375,0.59375,0.375,0.0625,0.390625,-0.328125,-0.796875,-0.43408203125
67,2E,FB,3B,1E,0A,F7,18,DF,ED,0.71875,-0.078125,0.921875,0.46875,0.15625,-0.140625,0.375,-0.515625,-0.296875,-0.069580078125
68,E9,29,3A,CC,C3,ED,17,F8,21,-0.359375,0.640625,0.90625,-0.8125,-0.953125,-0.296875,0.359375,-0.125,0.515625,1.09521484375
69,3C,15,15,D2,0B,10,D9,C3,17,0.9375,0.328125,0.328125,-0.71875,0.171875,0.25,-0.609375,-0.953125,0.359375,1.087646484375
70,3F,13,DA,2F,E9,EC,28,26,37,0.984375,0.296875,-0.59375,0.734375,-0.359375,-0.3125,0.625,0.59375,0.859375,0.477783203125
71,31,C0,DD,0B,DE,2D,1E,21,39,0.765625,-1.0,-0.546875,0.171875,-0.53125,0.703125,0.46875,0.515625,0.890625,-0.386962890625
72,1B,3B,FC,D1,02,39,0F,E9,CD,0.421875,0.921875,-0.0625,-0.734375,0.03125,0.890625,0.234375,-0.359375,-0.796875,0.28662109375
73,D1,D0,1B,EA,F8,3D,EB,14,ED,-0.734375,-0.75,0.421875,-0.34375,-0.125,0.953125,-0.328125,0.3125,-0.296875,-1.165771484375
74,F1,F7,F9,CF,12,07,CE,3D,3E,-0.234375,-0.140625,-0.109375,-0.765625,0.28125,0.109375,-0.78125,0.953125,0.96875,0.2431640625
75,E3,EC,24,01,09,22,20,E2,FE,-0.453125,-0.3125,0.5625,0.015625,0.140625,0.53125,0.5,-0.46875,-0.03125,0.012939453125
76,28,31,2F,26,14,C3,EF,1B,DF,0.625,0.765625,0.734375,0.59375,0.3125,-0.953125,-0.265625,0.421875,-0.515625,-0.99462890625
77,C8,0C,22,40,1D,F9,C4,17,32,-0.875,0.1875,0.53125,1.0,0.453125,-0.109375,-0.9375,0.359375,0.78125,0.2255859375
78,02,08,CC,E9,0C,27,EA,2A,0B,0.03125,0.125,-0.8125,-0.359375,0.1875,0.609375,-0.34375,0.65625,0.171875,0.29736328125
79,07,DA,19,D2,F6,31,2F,39,D9,0.109375,-0.59375,0.390625,-0.71875,-0.15625,0.765625,0.734375,0.890625,-0.609375,-1.434326171875
80,34,FC,D5,33,3A,3D,EE,DD,36,0.8125,-0.0625,-0.671875,0.796875,0.90625,0.953125,-0.28125,-0.546875,0.84375,1.273681640625
81,1B,36,1D,3E,1D,29,36,F7,36,0.421875,0.84375,0.453125,0.96875,0.453125,0.640625,0.84375,-0.140625,0.84375,1.821533203125
82,F5,3B,05,12,C1,EB,E3,C2,E8,-0.171875,0.921875,0.078125,0.28125,-0.984375,-0.328125,-0.453125,-0.96875,-0.375,-0.816162109375
83,E1,CE,E1,2E,DC,1A,3F,C1,1B,-0.484375,-0.78125,-0.484375,0.71875,-0.5625,0.40625,0.984375,-0.984375,0.421875,-0.807373046875
84,D1,D8,E7,35,30,CC,25,CB,EE,-0.734375,-0.625,-0.390625,0.828125,0.75,-0.8125,0.578125,-0.828125,-0.28125,-1.23583984375
85,40,31,CE,09,F6,16,2E,07,37,1.0,0.765625,-0.78125,0.140625,-0.15625,0.34375,0.71875,0.109375,0.859375,0.420166015625
86,33,D5,C7,D9,01,19,2D,1E,14,0.796875,-0.671875,-0.890625,-0.609375,0.015625,0.390625,0.703125,0.46875,0.3125,-0.849365234375
87,0D,14,F3,15,2B,2E,1C,16,C9,0.203125,0.3125,-0.203125,0.328125,0.671875,0.71875,0.4375,0.34375,-0.859375,-0.474365234375
88,EA,FA,E7,D9,F0,2B,E2,38,C1,-0.34375,-0.09375,-0.390625,-0.609375,-0.25,0.671875,-0.46875,0.875,-0.984375,-1.3115234375
89,F6,1C,21,C2,CF,C9,08,CC,F3,-0.15625,0.4375,0.515625,-0.96875,-0.765625,-0.859375,0.125,-0.8125,-0.203125,0.39208984375
90,E4,CD,F0,F8,0A,EC,C9,EA,19,-0.4375,-0.796875,-0.25,-0.125,0.15625,-0.3125,-0.859375,-0.34375,0.390625,0.8291015625
91,C0,03,C2,2F,D9,04,CC,06,25,-1.0,0.046875,-0.96875,0.734375,-0.609375,0.0625,-0.8125,0.09375,0.578125,2.04638671875
92,35,25,32,C1,27,C6,2F,40,1C,0.828125,0.578125,0.78125,-0.984375,0.609375,-0.90625,0.734375,1.0,0.4375,0.007568359375
93,0E,1E,CB,2F,CB,DF,E3,18,F2,0.21875,0.46875,-0.828125,0.734375,-0.828125,-0.515625,-0.453125,0.375,-0.21875,0.009033203125
94,F1,01,20,2B,2C,E4,C7,CC,CF,-0.234375,0.015625,0.5,0.671875,0.6875,-0.4375,-0.890625,-0.8125,-0.765625,-1.9248046875
95,1F,CB,21,C0,18,E0,13,21,14,0.484375,-0.828125,0.515625,-1.0,0.375,-0.5,0.296875,0.515625,0.3125,0.545654296875
96,C9,C3,F1,34,FB,E2,FC,29,DB,-0.859375,-0.953125,-0.234375,0.8125,-0.078125,-0.46875,-0.0625,0.640625,-0.578125,0.470947265625
97,D0,36,F6,F9,E8,DF,2E,27,E1,-0.75,0.84375,-0.15625,-0.109375,-0.375,-0.515625,0.71875,0.609375,-0.484375,-0.817138671875
98,1D,36,F5,3E,CC,2B,2D,E0,E3,0.453125,0.84375,-0.171875,0.96875,-0.8125,0.671875,0.703125,-0.5,-0.453125,-0.859619140625
99,E3,D1,28,19,25,12,E1,CB,E1,-0.453125,-0.734375,0.625,0.390625,0.578125,0.28125,-0.484375,-0.828125,-0.484375,-1.5791015625
100,25,C3,04,E9,E5,EB,0C,D6,D4,0.578125,-0.953125,0.0625,-0.359375,-0.421875,-0.328125,0.1875,-0.65625,-0.6875,-0.37109375
101,2D,21,EE,E0,0B,37,25,F9,11,0.703125,0.515625,-0.28125,-0.5,0.171875,0.859375,0.578125,-0.109375,0.265625,0.7216796875
102,EE,1B,02,C3,16,30,FE,D4,E7,-0.28125,0.421875,0.03125,-0.953125,0.34375,0.75,-0.03125,-0.6875,-0.390625,0.4833984375
103,D9,2C,1E,E6,E7,D0,F8,3D,21,-0.609375,0.6875,0.46875,-0.40625,-0.390625,-0.75,-0.125,0.953125,0.515625,-0.207763671875
104,38,CA,36,35,28,D0,2F,3D,1F,0.875,-0.84375,0.84375,0.828125,0.625,-0.75,0.734375,0.953125,0.484375,3.072998046875
105,02,EC,30,0D,E9,CB,C2,1A,E6,0.03125,-0.3125,0.75,0.203125,-0.359375,-0.828125,-0.96875,0.40625,-0.40625,-0.802734375
106,D1,E7,FB,2C,FD,D0,2A,16,06,-0.734375,-0.390625,-0.078125,0.6875,-0.046875,-0.75,0.65625,0.34375,0.09375,0.606201171875
107,33,F4,F2,C7,19,10,39,C1,F5,0.796875,-0.1875,-0.21875,-0.890625,0.390625,0.25,0.890625,-0.984375,-0.171875,0.7744140625
108,F8,F5,C6,28,C6,12,E8,F6,2B,-0.125,-0.171875,-0.90625,0.625,-0.90625,0.28125,-0.375,-0.15625,0.671875,0.97900390625
109,DA,01,E2,0E,06,15,CC,11,15,-0.59375,0.015625,-0.46875,0.21875,0.09375,0.328125,-0.8125,0.265625,0.328125,0.716552734375
110,C9,3C,2D,26,25,01,35,D4,1F,-0.859375,0.9375,0.703125,0.59375,0.578125,0.015625,0.828125,-0.6875,0.484375,0.17626953125
111,3D,C8,13,3D,D2,08,33,E2,DB,0.953125,-0.875,0.296875,0.953125,-0.71875,0.125,0.796875,-0.46875,-0.578125,-1.582763671875
112,1C,26,39,14,C7,29,E5,08,1C,0.4375,0.59375,0.890625,0.3125,-0.890625,0.640625,-0.421875,0.125,0.4375,0.091552734375
113,3D,07,D3,02,07,20,D8,07,C6,0.953125,0.109375,-0.703125,0.03125,0.109375,0.5,-0.625,0.109375,-0.90625,-0.304443359375
114,3E,C3,05,D6,E3,F3,E0,E1,E8,0.96875,-0.953125,0.078125,-0.65625,-0.453125,-0.203125,-0.5,-0.484375,-0.375,-0.341552734375
115,FF,3A,DB,D6,C5,35,24,2A,D3,-0.015625,0.90625,-0.578125,-0.65625,-0.921875,0.828125,0.5625,0.65625,-0.703125,-0.694091796875
116,F9,16,04,1E,D9,34,0C,0E,0B,-0.109375,0.34375,0.0625,0.46875,-0.609375,0.8125,0.1875,0.21875,0.171875,0.632080078125
117,F9,C2,D5,FE,CA,0C,D8,18,F4,-0.109375,-0.96875,-0.671875,-0.03125,-0.84375,0.1875,-0.625,0.375,-0.1875,0.13134765625
118,14,E2,D0,15,2A,DB,C5,2F,20,0.3125,-0.46875,-0.75,0.328125,0.65625,-0.578125,-0.921875,0.734375,0.5,1.908447265625
119,22,25,F5,3A,27,21,38,34,08,0.53125,0.578125,-0.171875,0.90625,0.609375,0.515625,0.875,0.8125,0.125,1.332763671875
120,C7,0C,FF,C2,E8,29,10,37,21,-0.890625,0.1875,-0.015625,-0.96875,-0.375,0.640625,0.25,0.859375,0.515625,0.13330078125
121,D8,1B,C6,2F,E6,3C,C6,1F,CD,-0.625,0.421875,-0.90625,0.734375,-0.40625,0.9375,-0.90625,0.484375,-0.796875,1.029541015625
122,2E,29,02,08,DC,EF,D3,F2,D2,0.71875,0.640625,0.03125,0.125,-0.5625,-0.265625,-0.703125,-0.21875,-0.71875,-1.342529296875
123,11,FF,ED,EC,3A,39,3D,EE,CA,0.265625,-0.015625,-0.296875,-0.3125,0.90625,0.890625,0.953125,-0.28125,-0.84375,-0.81201171875
124,D5,2E,ED,D3,3A,DD,08,F5,D2,-0.671875,0.71875,-0.296875,-0.703125,0.90625,-0.546875,0.125,-0.171875,-0.71875,-1.636962890625
125,F0,25,06,2E,C2,CE,F7,12,F5,-0.25,0.578125,0.09375,0.71875,-0.96875,-0.78125,-0.140625,0.28125,-0.171875,-0.1923828125
126,E3,28,2D,13,D1,1F,0E,1E,1E,-0.453125,0.625,0.703125,0.296875,-0.734375,0.484375,0.21875,0.46875,0.46875,1.397216796875
127,08,F1,2B,36,3A,E7,DB,D9,17,0.125,-0.234375,0.671875,0.84375,0.90625,-0.390625,-0.578125,-0.609375,0.359375,-0.33837890625
128,3B,DF,FA,06,F5,06,EF,0B,3D,0.921875,-0.515625,-0.09375,0.09375,-0.171875,0.09375,-0.265625,0.171875,0.953125,0.787353515625
129,22,3B,F6,D3,DA,DE,23,DD,08,0.53125,0.921875,-0.15625,-0.703125,-0.59375,-0.53125,0.546875,-0.546875,0.125,-0.381103515625
130,37,F6,DE,32,3D,C9,29,3D,E6,0.859375,-0.15625,-0.53125,0.78125,0.953125,-0.859375,0.640625,0.953125,-0.40625,0.951416015625
131,EE,D9,DC,22,F9,E8,EF,34,40,-0.28125,-0.609375,-0.5625,0.53125,-0.109375,-0.375,-0.265625,0.8125,1.0,1.84033203125
132,E9,E2,E2,24,34,D9,CD,EB,2A,-0.359375,-0.46875,-0.46875,0.5625,0.8125,-0.609375,-0.796875,-0.328125,0.65625,0.8388671875
133,2C,3A,F6,C6,C6,27,F0,D6,E4,0.6875,0.90625,-0.15625,-0.90625,-0.90625,0.609375,-0.25,-0.65625,-0.4375,0.12548828125
134,CD,35,F7,01,DA,03,E0,38,2F,-0.796875,0.828125,-0.140625,0.015625,-0.59375,0.046875,-0.5,0.875,0.734375,1.330322265625
135,1C,08,1E,CB,EE,31,25,E8,F1,0.4375,0.125,0.46875,-0.828125,-0.28125,0.765625,0.578125,-0.375,-0.234375,0.31982421875
136,D2,C0,3A,D8,27,D7,FA,06,D8,-0.71875,-1.0,0.90625,-0.625,0.609375,-0.640625,-0.09375,0.09375,-0.625,-0.56591796875
137,E4,D2,C0,EF,2B,DC,F7,F2,02,-0.4375,-0.71875,-1.0,-0.265625,0.671875,-0.5625,-0.140625,-0.21875,0.03125,0.34033203125
138,DB,C6,EA,3D,0A,FA,E6,1C,D3,-0.578125,-0.90625,-0.34375,0.953125,0.15625,-0.09375,-0.40625,0.4375,-0.703125,-0.15185546875
139,0F,FF,C9,01,EB,C1,FA,DA,CE,0.234375,-0.015625,-0.859375,0.015625,-0.328125,-0.984375,-0.09375,-0.59375,-0.78125,-0.771484375
140,18,07,F2,1A,30,EF,03,32,E2,0.375,0.109375,-0.21875,0.40625,0.75,-0.265625,0.046875,0.78125,-0.46875,0.090576171875
141,FA,FE,EE,08,25,30,F5,E4,22,-0.09375,-0.03125,-0.28125,0.125,0.578125,0.75,-0.171875,-0.4375,0.53125,0.447265625
142,1A,E3,F9,E0,03,DB,C9,E2,CB,0.40625,-0.453125,-0.109375,-0.5,0.046875,-0.578125,-0.859375,-0.46875,-0.828125,-0.21875
143,E6,EA,E8,37,22,E1,34,FE,C2,-0.40625,-0.34375,-0.375,0.859375,0.53125,-0.484375,0.8125,-0.03125,-0.96875,-1.349609375
144,FC,CB,E3,3B,04,3E,F9,EB,DD,-0.0625,-0.828125,-0.453125,0.921875,0.0625,0.96875,-0.109375,-0.328125,-0.546875,-1.60595703125
145,E0,23,0C,2E,FD,2F,33,C9,16,-0.5,0.546875,0.1875,0.71875,-0.046875,0.734375,0.796875,-0.859375,0.34375,0.300537109375
146,CA,ED,D0,11,D0,CB,1E,17,2C,-0.84375,-0.296875,-0.75,0.265625,-0.75,-0.828125,0.46875,0.359375,0.6875,1.31005859375
147,34,1B,2A,E5,FB,06,F3,FB,FE,0.8125,0.421875,0.65625,-0.421875,-0.078125,0.09375,-0.203125,-0.078125,-0.03125,-0.155517578125
148,02,C5,D3,23,2F,DB,CE,DE,30,0.03125,-0.921875,-0.703125,0.546875,0.734375,-0.578125,-0.78125,-0.53125,0.75,1.564697265625
149,F9,3D,FF,CF,22,CF,19,40,1F,-0.109375,0.953125,-0.015625,-0.765625,0.53125,-0.765625,0.390625,1.0,0.484375,-1.0751953125
150,28,F6,C8,DD,2E,25,0A,DA,FD,0.625,-0.15625,-0.875,-0.546875,0.71875,0.578125,0.15625,-0.59375,-0.046875,0.5
151,29,CE,34,CA,1C,C2,2D,E8,07,0.640625,-0.78125,0.8125,-0.84375,0.4375,-0.96875,0.703125,-0.375,0.109375,2.0341796875
152,C6,15,40,E7,2B,D3,C5,15,E3,-0.90625,0.328125,1.0,-0.390625,0.671875,-0.703125,-0.921875,0.328125,-0.453125,-2.3427734375
153,1C,C8,D1,E8,02,DF,D0,CE,EF,0.4375,-0.875,-0.734375,-0.375,0.03125,-0.515625,-0.75,-0.78125,-0.265625,1.04296875
154,C8,05,C4,03,E9,C5,C3,0B,1B,-0.875,0.078125,-0.9375,0.046875,-0.359375,-0.921875,-0.953125,0.171875,0.421875,1.56591796875
155,D7,09,CB,FC,29,D8,FB,34,E2,-0.640625,0.140625,-0.828125,-0.0625,0.640625,-0.625,-0.078125,0.8125,-0.46875,-0.953125
156,24,CA,E3,23,2F,E5,F5,EA,D9,0.5625,-0.84375,-0.453125,0.546875,0.734375,-0.421875,-0.171875,-0.34375,-0.609375,0.049560546875
157,EA,2B,09,2C,09,17,07,DB,FF,-0.34375,0.671875,0.140625,0.6875,0.140625,0.359375,0.109375,-0.578125,-0.015625,-0.20458984375
158,EC,DD,E8,36,3B,3C,06,E3,EF,-0.3125,-0.546875,-0.375,0.84375,0.921875,0.9375,0.09375,-0.453125,-0.265625,-1.48388671875
159,E6,3B,2F,25,03,FE,1E,32,1C,-0.40625,0.921875,0.734375,0.578125,0.046875,-0.03125,0.46875,0.78125,0.4375,1.185546875
160,39,0D,2B,0E,06,29,F9,2C,E1,0.890625,0.203125,0.671875,0.21875,0.09375,0.640625,-0.109375,0.6875,-0.484375,-0.19384765625
161,3D,1E,D9,18,E5,CC,D1,F7,39,0.953125,0.46875,-0.609375,0.375,-0.421875,-0.8125,-0.734375,-0.140625,0.890625,0.50244140625
162,DE,06,F8,D6,19,E7,C6,2D,22,-0.53125,0.09375,-0.125,-0.65625,0.390625,-0.390625,-0.90625,0.703125,0.53125,-0.06103515625
163,C6,FA,E9,14,E8,1A,C6,34,13,-0.90625,-0.09375,-0.359375,0.3125,-0.375,0.40625,-0.90625,0.8125,0.296875,1.17822265625
164,F3,29,1F,E8,CC,12,F6,2F,D3,-0.203125,0.640625,0.484375,-0.375,-0.8125,0.28125,-0.15625,0.734375,-0.703125,-0.708984375
165,2A,2C,DA,E1,0F,E4,FE,04,F2,0.65625,0.6875,-0.59375,-0.484375,0.234375,-0.4375,-0.03125,0.0625,-0.21875,-0.37744140625
166,D0,E4,28,26,CD,19,31,0E,3B,-0.75,-0.4375,0.625,0.59375,-0.796875,0.390625,0.765625,0.21875,0.921875,1.95703125
167,0B,FC,F3,0B,15,3F,D3,EA,32,0.171875,-0.0625,-0.203125,0.171875,0.328125,0.984375,-0.703125,-0.34375,0.78125,0.85986328125
