# vector_id a_hex b_hex golden_hex delta sign_case
16544 5000 509E 5253 158 same_sign
16545 5000 509F 5254 159 same_sign
16546 5000 50A0 5254 160 same_sign
16547 5000 50A1 5255 161 same_sign
16548 5000 50A2 5255 162 same_sign
16549 5000 50A3 5256 163 same_sign
16550 5000 50A4 5257 164 same_sign
16551 5000 50A5 5257 165 same_sign
16552 5000 50A6 5258 166 same_sign
16553 5000 50A7 5258 167 same_sign
16554 5000 50A8 5259 168 same_sign
16555 5000 50A9 5259 169 same_sign
16556 5000 50AA 525A 170 same_sign
16557 5000 50AB 525A 171 same_sign
16558 5000 50AC 525B 172 same_sign
16559 5000 50AD 525C 173 same_sign
16560 5000 50AE 525C 174 same_sign
16561 5000 50AF 525D 175 same_sign
16562 5000 50B0 525D 176 same_sign
16563 5000 50B1 525E 177 same_sign
16564 5000 50B2 525E 178 same_sign
16565 5000 50B3 525F 179 same_sign
16566 5000 50B4 525F 180 same_sign
16567 5000 50B5 5260 181 same_sign
16568 5000 50B6 5261 182 same_sign
16569 5000 50B7 5261 183 same_sign
16570 5000 50B8 5262 184 same_sign
16571 5000 50B9 5262 185 same_sign
16572 5000 50BA 5263 186 same_sign
16573 5000 50BB 5263 187 same_sign
16574 5000 50BC 5264 188 same_sign
16575 5000 50BD 5265 189 same_sign
16576 5000 50BE 5265 190 same_sign
16577 5000 50BF 5266 191 same_sign
16578 5000 50C0 5266 192 same_sign
16579 5000 50C1 5267 193 same_sign
16580 5000 50C2 5267 194 same_sign
16581 5000 50C3 5268 195 same_sign
16582 5000 50C4 5268 196 same_sign
16583 5000 50C5 5269 197 same_sign
16584 5000 50C6 526A 198 same_sign
16585 5000 50C7 526A 199 same_sign
16586 5000 50C8 526B 200 same_sign
16587 5000 50C9 526B 201 same_sign
16588 5000 50CA 526C 202 same_sign
16589 5000 50CB 526C 203 same_sign
16590 5000 50CC 526D 204 same_sign
16591 5000 50CD 526E 205 same_sign
16592 5000 50CE 526E 206 same_sign
16593 5000 50CF 526F 207 same_sign
16594 5000 50D0 526F 208 same_sign
16595 5000 50D1 5270 209 same_sign
16596 5000 50D2 5270 210 same_sign
16597 5000 50D3 5271 211 same_sign
16598 5000 50D4 5272 212 same_sign
16599 5000 50D5 5272 213 same_sign
16600 5000 50D6 5273 214 same_sign
16601 5000 50D7 5273 215 same_sign
16602 5000 50D8 5274 216 same_sign
16603 5000 50D9 5274 217 same_sign
16604 5000 50DA 5275 218 same_sign
16605 5000 50DB 5276 219 same_sign
16606 5000 50DC 5276 220 same_sign
16607 5000 50DD 5277 221 same_sign
16608 5000 50DE 5277 222 same_sign
16609 5000 50DF 5278 223 same_sign
16610 5000 50E0 5278 224 same_sign
16611 5000 50E1 5279 225 same_sign
16612 5000 50E2 527A 226 same_sign
16613 5000 50E3 527A 227 same_sign
16614 5000 50E4 527B 228 same_sign
16615 5000 50E5 527B 229 same_sign
16616 5000 50E6 527C 230 same_sign
16617 5000 50E7 527C 231 same_sign
16618 5000 50E8 527D 232 same_sign
16619 5000 50E9 527E 233 same_sign
16620 5000 50EA 527E 234 same_sign
16621 5000 50EB 527F 235 same_sign
16622 5000 50EC 527F 236 same_sign
16623 5000 50ED 5280 237 same_sign
16624 5000 50EE 5281 238 same_sign
16625 5000 50EF 5281 239 same_sign
16626 5000 50F0 5282 240 same_sign
16627 5000 50F1 5282 241 same_sign
16628 5000 50F2 5283 242 same_sign
16629 5000 50F3 5283 243 same_sign
16630 5000 50F4 5284 244 same_sign
16631 5000 50F5 5285 245 same_sign
16632 5000 50F6 5285 246 same_sign
16633 5000 50F7 5286 247 same_sign
16634 5000 50F8 5286 248 same_sign
16635 5000 50F9 5287 249 same_sign
16636 5000 50FA 5288 250 same_sign
16637 5000 50FB 5288 251 same_sign
16638 5000 50FC 5289 252 same_sign
16639 5000 50FD 5289 253 same_sign
16640 5000 50FE 528A 254 same_sign
16641 5000 50FF 528A 255 same_sign
16642 5000 5100 528B 256 same_sign
16643 5000 5101 528C 257 same_sign
16644 5000 5102 528C 258 same_sign
16645 5000 5103 528D 259 same_sign
16646 5000 5104 528D 260 same_sign
16647 5000 5105 528E 261 same_sign
16648 5000 5106 528F 262 same_sign
16649 5000 5107 528F 263 same_sign
16650 5000 5108 5290 264 same_sign
16651 5000 5109 5290 265 same_sign
16652 5000 510A 5291 266 same_sign
16653 5000 510B 5291 267 same_sign
16654 5000 510C 5292 268 same_sign
16655 5000 510D 5293 269 same_sign
16656 5000 510E 5293 270 same_sign
16657 5000 510F 5294 271 same_sign
16658 5000 5110 5294 272 same_sign
16659 5000 5111 5295 273 same_sign
16660 5000 5112 5296 274 same_sign
16661 5000 5113 5296 275 same_sign
16662 5000 5114 5297 276 same_sign
16663 5000 5115 5297 277 same_sign
16664 5000 5116 5298 278 same_sign
16665 5000 5117 5299 279 same_sign
16666 5000 5118 5299 280 same_sign
16667 5000 5119 529A 281 same_sign
16668 5000 511A 529A 282 same_sign
16669 5000 511B 529B 283 same_sign
16670 5000 511C 529C 284 same_sign
16671 5000 511D 529C 285 same_sign
16672 5000 511E 529D 286 same_sign
16673 5000 511F 529D 287 same_sign
16674 5000 5120 529E 288 same_sign
16675 5000 5121 529F 289 same_sign
16676 5000 5122 529F 290 same_sign
16677 5000 5123 52A0 291 same_sign
16678 5000 5124 52A0 292 same_sign
16679 5000 5125 52A1 293 same_sign
16680 5000 5126 52A2 294 same_sign
16681 5000 5127 52A2 295 same_sign
16682 5000 5128 52A3 296 same_sign
16683 5000 5129 52A3 297 same_sign
16684 5000 512A 52A4 298 same_sign
16685 5000 512B 52A5 299 same_sign
16686 5000 512C 52A5 300 same_sign
16687 5000 512D 52A6 301 same_sign
16688 5000 512E 52A6 302 same_sign
16689 5000 512F 52A7 303 same_sign
16690 5000 5130 52A8 304 same_sign
16691 5000 5131 52A8 305 same_sign
16692 5000 5132 52A9 306 same_sign
16693 5000 5133 52A9 307 same_sign
16694 5000 5134 52AA 308 same_sign
16695 5000 5135 52AB 309 same_sign
16696 5000 5136 52AB 310 same_sign
16697 5000 5137 52AC 311 same_sign
16698 5000 5138 52AC 312 same_sign
16699 5000 5139 52AD 313 same_sign
16700 5000 513A 52AE 314 same_sign
16701 5000 513B 52AE 315 same_sign
16702 5000 513C 52AF 316 same_sign
16703 5000 513D 52AF 317 same_sign
16704 5000 513E 52B0 318 same_sign
16705 5000 513F 52B1 319 same_sign
16706 5000 5140 52B1 320 same_sign
16707 5000 5141 52B2 321 same_sign
16708 5000 5142 52B2 322 same_sign
16709 5000 5143 52B3 323 same_sign
16710 5000 5144 52B4 324 same_sign
16711 5000 5145 52B4 325 same_sign
16712 5000 5146 52B5 326 same_sign
16713 5000 5147 52B5 327 same_sign
16714 5000 5148 52B6 328 same_sign
16715 5000 5149 52B7 329 same_sign
16716 5000 514A 52B7 330 same_sign
16717 5000 514B 52B8 331 same_sign
16718 5000 514C 52B8 332 same_sign
16719 5000 514D 52B9 333 same_sign
16720 5000 514E 52BA 334 same_sign
16721 5000 514F 52BA 335 same_sign
16722 5000 5150 52BB 336 same_sign
16723 5000 5151 52BC 337 same_sign
16724 5000 5152 52BC 338 same_sign
16725 5000 5153 52BD 339 same_sign
16726 5000 5154 52BD 340 same_sign
16727 5000 5155 52BE 341 same_sign
16728 5000 5156 52BF 342 same_sign
16729 5000 5157 52BF 343 same_sign
16730 5000 5158 52C0 344 same_sign
16731 5000 5159 52C0 345 same_sign
16732 5000 515A 52C1 346 same_sign
16733 5000 515B 52C2 347 same_sign
16734 5000 515C 52C2 348 same_sign
16735 5000 515D 52C3 349 same_sign
16736 5000 515E 52C4 350 same_sign
16737 5000 515F 52C4 351 same_sign
16738 5000 5160 52C5 352 same_sign
16739 5000 5161 52C5 353 same_sign
16740 5000 5162 52C6 354 same_sign
16741 5000 5163 52C7 355 same_sign
16742 5000 5164 52C7 356 same_sign
16743 5000 5165 52C8 357 same_sign
16744 5000 5166 52C8 358 same_sign
16745 5000 5167 52C9 359 same_sign
16746 5000 5168 52CA 360 same_sign
16747 5000 5169 52CA 361 same_sign
16748 5000 516A 52CB 362 same_sign
16749 5000 516B 52CC 363 same_sign
16750 5000 516C 52CC 364 same_sign
16751 5000 516D 52CD 365 same_sign
16752 5000 516E 52CD 366 same_sign
16753 5000 516F 52CE 367 same_sign
16754 5000 5170 52CF 368 same_sign
16755 5000 5171 52CF 369 same_sign
16756 5000 5172 52D0 370 same_sign
16757 5000 5173 52D1 371 same_sign
16758 5000 5174 52D1 372 same_sign
16759 5000 5175 52D2 373 same_sign
16760 5000 5176 52D2 374 same_sign
16761 5000 5177 52D3 375 same_sign
16762 5000 5178 52D4 376 same_sign
16763 5000 5179 52D4 377 same_sign
16764 5000 517A 52D5 378 same_sign
16765 5000 517B 52D6 379 same_sign
16766 5000 517C 52D6 380 same_sign
16767 5000 517D 52D7 381 same_sign
16768 5000 517E 52D7 382 same_sign
16769 5000 517F 52D8 383 same_sign
16770 5000 5180 52D9 384 same_sign
16771 5000 5181 52D9 385 same_sign
16772 5000 5182 52DA 386 same_sign
16773 5000 5183 52DB 387 same_sign
16774 5000 5184 52DB 388 same_sign
16775 5000 5185 52DC 389 same_sign
16776 5000 5186 52DC 390 same_sign
16777 5000 5187 52DD 391 same_sign
16778 5000 5188 52DE 392 same_sign
16779 5000 5189 52DE 393 same_sign
16780 5000 518A 52DF 394 same_sign
16781 5000 518B 52E0 395 same_sign
16782 5000 518C 52E0 396 same_sign
16783 5000 518D 52E1 397 same_sign
16784 5000 518E 52E1 398 same_sign
16785 5000 518F 52E2 399 same_sign
16786 5000 5190 52E3 400 same_sign
16787 5000 5191 52E3 401 same_sign
16788 5000 5192 52E4 402 same_sign
16789 5000 5193 52E5 403 same_sign
16790 5000 5194 52E5 404 same_sign
16791 5000 5195 52E6 405 same_sign
16792 5000 5196 52E7 406 same_sign
16793 5000 5197 52E7 407 same_sign
16794 5000 5198 52E8 408 same_sign
16795 5000 5199 52E8 409 same_sign
16796 5000 519A 52E9 410 same_sign
16797 5000 519B 52EA 411 same_sign
16798 5000 519C 52EA 412 same_sign
16799 5000 519D 52EB 413 same_sign
16800 5000 519E 52EC 414 same_sign
16801 5000 519F 52EC 415 same_sign
16802 5000 51A0 52ED 416 same_sign
16803 5000 51A1 52EE 417 same_sign
16804 5000 51A2 52EE 418 same_sign
16805 5000 51A3 52EF 419 same_sign
16806 5000 51A4 52EF 420 same_sign
16807 5000 51A5 52F0 421 same_sign
16808 5000 51A6 52F1 422 same_sign
16809 5000 51A7 52F1 423 same_sign
16810 5000 51A8 52F2 424 same_sign
16811 5000 51A9 52F3 425 same_sign
16812 5000 51AA 52F3 426 same_sign
16813 5000 51AB 52F4 427 same_sign
16814 5000 51AC 52F5 428 same_sign
16815 5000 51AD 52F5 429 same_sign
16816 5000 51AE 52F6 430 same_sign
16817 5000 51AF 52F6 431 same_sign
16818 5000 51B0 52F7 432 same_sign
16819 5000 51B1 52F8 433 same_sign
16820 5000 51B2 52F8 434 same_sign
16821 5000 51B3 52F9 435 same_sign
16822 5000 51B4 52FA 436 same_sign
16823 5000 51B5 52FA 437 same_sign
16824 5000 51B6 52FB 438 same_sign
16825 5000 51B7 52FC 439 same_sign
16826 5000 51B8 52FC 440 same_sign
16827 5000 51B9 52FD 441 same_sign
16828 5000 51BA 52FE 442 same_sign
16829 5000 51BB 52FE 443 same_sign
16830 5000 51BC 52FF 444 same_sign
16831 5000 51BD 5300 445 same_sign
16832 5000 51BE 5300 446 same_sign
16833 5000 51BF 5301 447 same_sign
16834 5000 51C0 5301 448 same_sign
16835 5000 51C1 5302 449 same_sign
16836 5000 51C2 5303 450 same_sign
16837 5000 51C3 5303 451 same_sign
16838 5000 51C4 5304 452 same_sign
16839 5000 51C5 5305 453 same_sign
16840 5000 51C6 5305 454 same_sign
16841 5000 51C7 5306 455 same_sign
16842 5000 51C8 5307 456 same_sign
16843 5000 51C9 5307 457 same_sign
16844 5000 51CA 5308 458 same_sign
16845 5000 51CB 5309 459 same_sign
16846 5000 51CC 5309 460 same_sign
16847 5000 51CD 530A 461 same_sign
16848 5000 51CE 530B 462 same_sign
16849 5000 51CF 530B 463 same_sign
16850 5000 51D0 530C 464 same_sign
16851 5000 51D1 530D 465 same_sign
16852 5000 51D2 530D 466 same_sign
16853 5000 51D3 530E 467 same_sign
16854 5000 51D4 530E 468 same_sign
16855 5000 51D5 530F 469 same_sign
16856 5000 51D6 5310 470 same_sign
16857 5000 51D7 5310 471 same_sign
16858 5000 51D8 5311 472 same_sign
16859 5000 51D9 5312 473 same_sign
16860 5000 51DA 5312 474 same_sign
16861 5000 51DB 5313 475 same_sign
16862 5000 51DC 5314 476 same_sign
16863 5000 51DD 5314 477 same_sign
16864 5000 51DE 5315 478 same_sign
16865 5000 51DF 5316 479 same_sign
16866 5000 51E0 5316 480 same_sign
16867 5000 51E1 5317 481 same_sign
16868 5000 51E2 5318 482 same_sign
16869 5000 51E3 5318 483 same_sign
16870 5000 51E4 5319 484 same_sign
16871 5000 51E5 531A 485 same_sign
16872 5000 51E6 531A 486 same_sign
16873 5000 51E7 531B 487 same_sign
16874 5000 51E8 531C 488 same_sign
16875 5000 51E9 531C 489 same_sign
16876 5000 51EA 531D 490 same_sign
16877 5000 51EB 531E 491 same_sign
16878 5000 51EC 531E 492 same_sign
16879 5000 51ED 531F 493 same_sign
16880 5000 51EE 5320 494 same_sign
16881 5000 51EF 5320 495 same_sign
16882 5000 51F0 5321 496 same_sign
16883 5000 51F1 5322 497 same_sign
16884 5000 51F2 5322 498 same_sign
16885 5000 51F3 5323 499 same_sign
16886 5000 51F4 5324 500 same_sign
16887 5000 51F5 5324 501 same_sign
16888 5000 51F6 5325 502 same_sign
16889 5000 51F7 5326 503 same_sign
16890 5000 51F8 5326 504 same_sign
16891 5000 51F9 5327 505 same_sign
16892 5000 51FA 5328 506 same_sign
16893 5000 51FB 5328 507 same_sign
16894 5000 51FC 5329 508 same_sign
16895 5000 51FD 532A 509 same_sign
16896 5000 51FE 532A 510 same_sign
16897 5000 51FF 532B 511 same_sign
16898 5000 5200 532C 512 same_sign
16899 5000 5201 532C 513 same_sign
16900 5000 5202 532D 514 same_sign
16901 5000 5203 532E 515 same_sign
16902 5000 5204 532E 516 same_sign
16903 5000 5205 532F 517 same_sign
16904 5000 5206 5330 518 same_sign
16905 5000 5207 5330 519 same_sign
16906 5000 5208 5331 520 same_sign
16907 5000 5209 5332 521 same_sign
16908 5000 520A 5332 522 same_sign
16909 5000 520B 5333 523 same_sign
16910 5000 520C 5334 524 same_sign
16911 5000 520D 5334 525 same_sign
16912 5000 520E 5335 526 same_sign
16913 5000 520F 5336 527 same_sign
16914 5000 5210 5336 528 same_sign
16915 5000 5211 5337 529 same_sign
16916 5000 5212 5338 530 same_sign
16917 5000 5213 5338 531 same_sign
16918 5000 5214 5339 532 same_sign
16919 5000 5215 533A 533 same_sign
16920 5000 5216 533A 534 same_sign
16921 5000 5217 533B 535 same_sign
16922 5000 5218 533C 536 same_sign
16923 5000 5219 533C 537 same_sign
16924 5000 521A 533D 538 same_sign
16925 5000 521B 533E 539 same_sign
16926 5000 521C 533E 540 same_sign
16927 5000 521D 533F 541 same_sign
16928 5000 521E 5340 542 same_sign
16929 5000 521F 5340 543 same_sign
16930 5000 5220 5341 544 same_sign
16931 5000 5221 5342 545 same_sign
16932 5000 5222 5342 546 same_sign
16933 5000 5223 5343 547 same_sign
16934 5000 5224 5344 548 same_sign
16935 5000 5225 5344 549 same_sign
16936 5000 5226 5345 550 same_sign
16937 5000 5227 5346 551 same_sign
16938 5000 5228 5346 552 same_sign
16939 5000 5229 5347 553 same_sign
16940 5000 522A 5348 554 same_sign
16941 5000 522B 5348 555 same_sign
16942 5000 522C 5349 556 same_sign
16943 5000 522D 534A 557 same_sign
16944 5000 522E 534A 558 same_sign
16945 5000 522F 534B 559 same_sign
16946 5000 5230 534C 560 same_sign
16947 5000 5231 534D 561 same_sign
16948 5000 5232 534D 562 same_sign
16949 5000 5233 534E 563 same_sign
16950 5000 5234 534F 564 same_sign
16951 5000 5235 534F 565 same_sign
16952 5000 5236 5350 566 same_sign
16953 5000 5237 5351 567 same_sign
16954 5000 5238 5351 568 same_sign
16955 5000 5239 5352 569 same_sign
16956 5000 523A 5353 570 same_sign
16957 5000 523B 5353 571 same_sign
16958 5000 523C 5354 572 same_sign
16959 5000 523D 5355 573 same_sign
16960 5000 523E 5355 574 same_sign
16961 5000 523F 5356 575 same_sign
16962 5000 5240 5357 576 same_sign
16963 5000 5241 5357 577 same_sign
16964 5000 5242 5358 578 same_sign
16965 5000 5243 5359 579 same_sign
16966 5000 5244 535A 580 same_sign
16967 5000 5245 535A 581 same_sign
16968 5000 5246 535B 582 same_sign
16969 5000 5247 535C 583 same_sign
16970 5000 5248 535C 584 same_sign
16971 5000 5249 535D 585 same_sign
16972 5000 524A 535E 586 same_sign
16973 5000 524B 535E 587 same_sign
16974 5000 524C 535F 588 same_sign
16975 5000 524D 5360 589 same_sign
16976 5000 524E 5360 590 same_sign
16977 5000 524F 5361 591 same_sign
16978 5000 5250 5362 592 same_sign
16979 5000 5251 5362 593 same_sign
16980 5000 5252 5363 594 same_sign
16981 5000 5253 5364 595 same_sign
16982 5000 5254 5365 596 same_sign
16983 5000 5255 5365 597 same_sign
16984 5000 5256 5366 598 same_sign
16985 5000 5257 5367 599 same_sign
16986 5000 5258 5367 600 same_sign
16987 5000 5259 5368 601 same_sign
16988 5000 525A 5369 602 same_sign
16989 5000 525B 5369 603 same_sign
16990 5000 525C 536A 604 same_sign
16991 5000 525D 536B 605 same_sign
16992 5000 525E 536B 606 same_sign
16993 5000 525F 536C 607 same_sign
16994 5000 5260 536D 608 same_sign
16995 5000 5261 536E 609 same_sign
16996 5000 5262 536E 610 same_sign
16997 5000 5263 536F 611 same_sign
16998 5000 5264 5370 612 same_sign
16999 5000 5265 5370 613 same_sign
17000 5000 5266 5371 614 same_sign
17001 5000 5267 5372 615 same_sign
17002 5000 5268 5372 616 same_sign
17003 5000 5269 5373 617 same_sign
17004 5000 526A 5374 618 same_sign
17005 5000 526B 5375 619 same_sign
17006 5000 526C 5375 620 same_sign
17007 5000 526D 5376 621 same_sign
17008 5000 526E 5377 622 same_sign
17009 5000 526F 5377 623 same_sign
17010 5000 5270 5378 624 same_sign
17011 5000 5271 5379 625 same_sign
17012 5000 5272 5379 626 same_sign
17013 5000 5273 537A 627 same_sign
17014 5000 5274 537B 628 same_sign
17015 5000 5275 537C 629 same_sign
17016 5000 5276 537C 630 same_sign
17017 5000 5277 537D 631 same_sign
17018 5000 5278 537E 632 same_sign
17019 5000 5279 537E 633 same_sign
17020 5000 527A 537F 634 same_sign
17021 5000 527B 5380 635 same_sign
17022 5000 527C 5380 636 same_sign
17023 5000 527D 5381 637 same_sign
17024 5000 527E 5382 638 same_sign
17025 5000 527F 5383 639 same_sign
17026 5000 5280 5383 640 same_sign
17027 5000 5281 5384 641 same_sign
17028 5000 5282 5385 642 same_sign
17029 5000 5283 5385 643 same_sign
17030 5000 5284 5386 644 same_sign
17031 5000 5285 5387 645 same_sign
17032 5000 5286 5387 646 same_sign
17033 5000 5287 5388 647 same_sign
17034 5000 5288 5389 648 same_sign
17035 5000 5289 538A 649 same_sign
17036 5000 528A 538A 650 same_sign
17037 5000 528B 538B 651 same_sign
17038 5000 528C 538C 652 same_sign
17039 5000 528D 538C 653 same_sign
17040 5000 528E 538D 654 same_sign
17041 5000 528F 538E 655 same_sign
17042 5000 5290 538F 656 same_sign
17043 5000 5291 538F 657 same_sign
17044 5000 5292 5390 658 same_sign
17045 5000 5293 5391 659 same_sign
17046 5000 5294 5391 660 same_sign
17047 5000 5295 5392 661 same_sign
17048 5000 5296 5393 662 same_sign
17049 5000 5297 5394 663 same_sign
17050 5000 5298 5394 664 same_sign
17051 5000 5299 5395 665 same_sign
17052 5000 529A 5396 666 same_sign
17053 5000 529B 5396 667 same_sign
17054 5000 529C 5397 668 same_sign
17055 5000 529D 5398 669 same_sign
17056 5000 529E 5398 670 same_sign
17057 5000 529F 5399 671 same_sign
17058 5000 52A0 539A 672 same_sign
17059 5000 52A1 539B 673 same_sign
17060 5000 52A2 539B 674 same_sign
17061 5000 52A3 539C 675 same_sign
17062 5000 52A4 539D 676 same_sign
17063 5000 52A5 539D 677 same_sign
17064 5000 52A6 539E 678 same_sign
17065 5000 52A7 539F 679 same_sign
17066 5000 52A8 53A0 680 same_sign
17067 5000 52A9 53A0 681 same_sign
17068 5000 52AA 53A1 682 same_sign
17069 5000 52AB 53A2 683 same_sign
17070 5000 52AC 53A2 684 same_sign
17071 5000 52AD 53A3 685 same_sign
17072 5000 52AE 53A4 686 same_sign
17073 5000 52AF 53A5 687 same_sign
17074 5000 52B0 53A5 688 same_sign
17075 5000 52B1 53A6 689 same_sign
17076 5000 52B2 53A7 690 same_sign
17077 5000 52B3 53A8 691 same_sign
17078 5000 52B4 53A8 692 same_sign
17079 5000 52B5 53A9 693 same_sign
17080 5000 52B6 53AA 694 same_sign
17081 5000 52B7 53AA 695 same_sign
17082 5000 52B8 53AB 696 same_sign
17083 5000 52B9 53AC 697 same_sign
17084 5000 52BA 53AD 698 same_sign
17085 5000 52BB 53AD 699 same_sign
17086 5000 52BC 53AE 700 same_sign
17087 5000 52BD 53AF 701 same_sign
17088 5000 52BE 53AF 702 same_sign
17089 5000 52BF 53B0 703 same_sign
17090 5000 52C0 53B1 704 same_sign
17091 5000 52C1 53B2 705 same_sign
17092 5000 52C2 53B2 706 same_sign
17093 5000 52C3 53B3 707 same_sign
17094 5000 52C4 53B4 708 same_sign
17095 5000 52C5 53B4 709 same_sign
17096 5000 52C6 53B5 710 same_sign
