#SET 0 results
#STEP0_D00
0056 003B FF20 0149
0272 FDC8 FE45 FFA6
FFF3 00F4 0156 FE1D
FEB1 FFAB FFD0 013A
#STEP1_D01
0131 FD92 01FE 011D
FF92 0107 0028 000D
0082 FF63 0096 0060
FF12 FE8A 00D1 0103
#STEP1_D11
0094 0052 FE8A FEFC
FF37 FF40 0199 01A2
FFF5 02E4 0026 FF3D
FE94 FF1D 005F FEB4
#STEP0_D20
FECF FD88 FDEA FFAC
FFB2 FF9C FE88 0090
023D FEF5 FF81 001C
00AE FFB3 00F4 00FB
#STEP0_D30
FFC9 002F 01B3 011F
FDC3 028F FFAA FF61
FF5C 00A5 0041 01C3
FEDC 000E 0106 FF84
#STEP1_D21
0030 FEC1 0077 FF62
FFCD 00B4 FE73 FE25
0074 0006 020D 0191
00C1 FDCC FE28 0068
#STEP1_D31
00A5 00B2 FFFA 00BF
FDA2 FF5B 00F2 FFDB
007E FDD2 FFF1 002F
FEEB 00B2 00A6 00E3
#STEP0_D02
0274 FF3E 0294 0134
00FC FDED 0050 010B
00B2 0038 FDC0 014A
005D FF0E FE9C 0082
#STEP0_D12
FE12 FF1D FFF3 00C6
0348 FDA9 0171 03B9
005D 013D 0025 0132
FF0F FF6B FE6E FF60
#STEP1_D03
FFC1 00AD FF69 FDA0
FF40 0122 FDDA 00C4
00D1 00B0 FEB4 FF68
00CE 0088 001E 000F
#STEP1_D13
FFAF 00A3 01DF 0179
0144 FF59 FE9C FD89
FEA1 FDB4 FFAB 0142
FDE6 01ED 0295 FEBE
#STEP0_D22
004B 0153 0038 023F
FF44 015C FFD7 FE67
013D FE3D FEFC 00FE
028B FFE9 FE51 FF4D
#STEP0_D32
FEAA FFCC FFA0 0135
FF8B FFE7 00EF FFC6
01C8 0019 FFA5 02A2
FF39 FFA3 0027 FF50
#STEP1_D23
00CC FF92 FE70 FE51
FF3C FF21 FEA7 011C
FF72 0036 FE44 FF46
01D3 01AA 0077 009E
#STEP1_D33
00C3 FE9F 0105 00D5
FF85 FFD5 008E FDFC
028F 0095 FFAA FDB2
FEEA FFA0 0120 0177

#SET 3 results
#STEP0_D00
029C 0172 FEBC FFF5
0072 FE7E FE12 FF6F
0016 FFF5 FFAD FE65
FFA3 FF80 008A 0095
#STEP0_D10
00CF FE5A FFCC 0037
0266 FE4A FDCB FED8
0008 FFF1 022D FF3C
FE56 0000 FFB1 007D
#STEP1_D01
0177 FD19 0143 00CF
000B 00B0 FFFD 0032
00C5 FEFE FFCD 0006
FE6F FF07 011A 00DA
#STEP1_D11
00E4 0005 FE2F FEEE
FFC3 FEB6 010B 0194
FFC6 02E7 0069 FF51
FF7F FDFB FF53 FE8D
#STEP0_D20
FEE8 FD39 FDEB 0053
FF5F FEAB FECF 00D1
029A 0033 FFA5 FFC0
007D FDCE 016F 023C
#STEP0_D30
007B FF68 0196 0208
FDDA 02C5 FF92 FECD
004F 0095 005F 0205
FEC6 0056 014E FEF0
#STEP1_D21
FF59 FFD5 0179 FF8D
00EF FF54 FDA7 FE46
FF52 012B 0274 0133
0177 FD00 FE30 00D3
#STEP1_D31
FFE9 01C9 013B 0120
FE69 FE6A 001D FFC3
0018 FE4B 005C 003B
FFD3 FF6A FF6E 00A1
#STEP0_D02
01B3 FED5 0259 00DB
012A FDB3 00D7 00AD
0016 FF7D FE33 0115
009F FF40 FE31 0154
#STEP0_D12
FD47 FEF4 0000 0009
0312 FD31 01DB 0345
00AB 01E2 FECE 0185
FF22 FED7 FE27 FF14
#STEP1_D03
FF04 015B FFA5 FD19
FEF6 0121 FD9D 0086
FF96 0132 FEF7 FEB9
0102 0045 0095 0043
#STEP1_D13
FF7A 0121 0191 015E
0088 FFAF FE90 FD01
FF90 FDB8 FFF0 0185
FCDB 0294 030A FDA3
#STEP0_D22
008A 01C1 00C5 02B5
FFF8 015A FE9E FE27
0022 FE2D FF8E 0146
03BB 0089 FCEC FF53
#STEP0_D32
FE89 00A0 FFE5 010F
FF2F FF99 0075 FF2A
00B9 00A1 FF39 0206
FEDD FF3D FF17 FEDE
#STEP1_D23
0199 FEC7 FE13 FF42
FF15 FFB0 FF21 0027
FF5F 0018 FE26 FFF7
02C2 01A7 00A9 0067
#STEP1_D33
024D FDF2 0021 0235
FEF8 0091 00B3 FD45
0382 00CD FF10 FE85
FE18 00AA 01B4 005D

#FINAL_16x16_RESULT
029C 0172 FEBC FFF5 0177 FD19 0143 00CF 01B3 FED5 0259 00DB FF04 015B FFA5 FD19
0072 FE7E FE12 FF6F 000B 00B0 FFFD 0032 012A FDB3 00D7 00AD FEF6 0121 FD9D 0086
0016 FFF5 FFAD FE65 00C5 FEFE FFCD 0006 0016 FF7D FE33 0115 FF96 0132 FEF7 FEB9
FFA3 FF80 008A 0095 FE6F FF07 011A 00DA 009F FF40 FE31 0154 0102 0045 0095 0043
00CF FE5A FFCC 0037 00E4 0005 FE2F FEEE FD47 FEF4 0000 0009 FF7A 0121 0191 015E
0266 FE4A FDCB FED8 FFC3 FEB6 010B 0194 0312 FD31 01DB 0345 0088 FFAF FE90 FD01
0008 FFF1 022D FF3C FFC6 02E7 0069 FF51 00AB 01E2 FECE 0185 FF90 FDB8 FFF0 0185
FE56 0000 FFB1 007D FF7F FDFB FF53 FE8D FF22 FED7 FE27 FF14 FCDB 0294 030A FDA3
FEE8 FD39 FDEB 0053 FF59 FFD5 0179 FF8D 008A 01C1 00C5 02B5 0199 FEC7 FE13 FF42
FF5F FEAB FECF 00D1 00EF FF54 FDA7 FE46 FFF8 015A FE9E FE27 FF15 FFB0 FF21 0027
029A 0033 FFA5 FFC0 FF52 012B 0274 0133 0022 FE2D FF8E 0146 FF5F 0018 FE26 FFF7
007D FDCE 016F 023C 0177 FD00 FE30 00D3 03BB 0089 FCEC FF53 02C2 01A7 00A9 0067
007B FF68 0196 0208 FFE9 01C9 013B 0120 FE89 00A0 FFE5 010F 024D FDF2 0021 0235
FDDA 02C5 FF92 FECD FE69 FE6A 001D FFC3 FF2F FF99 0075 FF2A FEF8 0091 00B3 FD45
004F 0095 005F 0205 0018 FE4B 005C 003B 00B9 00A1 FF39 0206 0382 00CD FF10 FE85
FEC6 0056 014E FEF0 FFD3 FF6A FF6E 00A1 FEDD FF3D FF17 FEDE FE18 00AA 01B4 005D

