<a0> <a1> <a2> <a3> <b0> <b1> <b2> <b3> <c0> <r> <r_gold>
-6 0.75 -5 2 6 -6.5 -7.5 -4.5 6.5 -7.5 -6.5
7.5 -4 7 9 7 8 7.5 -4.5 9 40 40
7.5 -5 -4.5 5.5 -0.8125 -7.5 -4.5 6 5.5 88 88
-4 6 -10 8 -3.5 -1.75 -2.25 -3.25 -4 -4 -4
3.25 -6.5 7 9 6 5.5 -6 3.75 -5.5 -30 -30
7 8 -9 -6 4 -4.5 6.5 -8 -10 -32 -26
-9 -2.5 7.5 1.5 0.8125 -1.75 -0.0703125 -9 2.25 -15 -16
-0.875 9 -6.5 -6.5 -8 2.25 2.5 -0.40625 -9 4.5 6
-1 -1.75 -7.5 10 -7.5 -6.5 -9 5 -8 128 120
7.5 -10 5 -6 1.5 2.5 -0.34375 -2.75 1 1.5 2
0.5 5.5 -3.75 2.5 7.5 -3.75 6.5 -5 -0.75 -56 -52
5 -6 1.125 7.5 5 -2.75 0.9375 -2.25 -3.25 24 20
-4.5 -6 7 9 -7.5 -6 -3.5 8 -2.5 112 112
7 -7 -3.25 10 7 -4.5 7.5 -2.25 7 40 40
-10 3.25 -10 3.75 -6.5 3 -8 5 4.5 176 176
7.5 -6.5 8 5.5 -2.25 2 4 6.5 -7.5 32 32
1.375 5.5 1.625 -10 8 -0.75 8 -5 -6.5 64 56
9 -0.00585938 2.5 6 1.375 10 -9 -6.5 -2.25 -52 -52
-2.5 -2.5 8 9 9 -6 -1.25 -10 2 -104 -104
5.5 6.5 -5 -8 8 5.5 -9 0.875 -1.375 120 120
-9 -7 -2.5 -8 5 -4.5 3.5 8 -5 -88 -88
-6 0.21875 5 1.125 -9 -5 -7.5 -4.5 -6 5 9
-4.5 -10 4 6 -0.875 2.25 -9 4 -9 -40 -40
5.5 -2.25 3.75 -1.5 10 3.25 2.25 4.5 6.5 52 56
9 6.5 6.5 7 4.5 -8 -8 5.5 -4 -26 -28
9 1.25 4 2.75 10 9 -3.25 1.75 -4.5 88 80
-0.3125 -1.5 9 -7 -8 -0.6875 3 5.5 0.6875 -6.5 -7.5
1.875 7 -6 1 3.25 -4.5 3.5 0.5625 -6 -52 -56
9 -7 -3.5 3 -0.25 2 1.875 0.3125 0.171875 -22 -22
-9 0.5625 -8 -7 -7.5 -6 4 -7 10 96 88
-5 0.3125 -1.375 -9 6.5 0.875 -5.5 -10 -2 64 64
-2.5 -7.5 4 -0.34375 4.5 -8 -3.75 8 5.5 36 36
-1 1.25 6.5 -9 3.75 2.75 5 4 10 4 6
-3.75 8 2.25 1.5 6 3.25 0.234375 0.8125 7.5 13 14
-1.375 3.5 -4 -9 -4.5 -1.75 -1.75 -5.5 3.25 60 60
0.078125 -7 6.5 2.5 0.75 -7.5 -0.0625 4 -5 56 60
8 -1.5 -3 -8 5 -3.75 4.5 6.5 6 -12 -16
-4 5 -0.101562 -1.25 -2.75 8 -4 3 1.875 48 48
6 -2.5 -0.1875 -2.75 6.5 5 -7 -5 3 44 48
9 5 9 6.5 -8 -0.078125 8 -4.5 9 -22 -20
-3.75 6 1.5 8 8 -8 10 0.5 -5 -60 -64
-2 5.5 -10 8 -6 -7.5 -0.625 4 1.125 10 11
-3 4 2 -8 -9 8 -0.75 6.5 9 12 16
-3 -8 -1.25 -5.5 -6.5 2.75 2.25 -7 -8 26 28
-5 -3.75 -6 -2.5 -0.0429688 -7 -5 9 -0.109375 32 32
-7.5 -9 -6 6.5 -2.5 -8 -10 7.5 2.25 208 192
-5 0.078125 -4.5 -1.75 -0.5625 8 5 -9 -1 -4 -3
8 8 -5.5 3.25 -1.375 5.5 -8 -6.5 6.5 60 64
0.28125 -9 -1.375 2.75 7.5 0.6875 -3.25 -7.5 4 -16 -16
-8 -3.75 -4 -10 3.25 -6 6.5 4 -9 -80 -80
-7.5 2.25 -9 -6.5 3.5 -6.5 -2.75 -0.3125 6.5 -9 -7.5
3.5 10 -0.21875 -10 1.5 4 1.25 -0.75 -5 48 48
10 -4.5 -6 -6 6.5 -8 3.25 -9 -5 128 120
7.5 6 8 8 7.5 10 -0.6875 -5.5 4 64 64
0.40625 5 -5.5 -7.5 6.5 1.75 -2 -6 -0.8125 64 64
1.875 -5 8 0.5625 1.375 -1.5 -8 -3.5 -4.5 -60 -60
-0.5625 4.5 -1.125 -8 -1.25 -1.75 -2.75 1.75 -3 -20 -20
7 6.5 7 3 0.75 -8 3.5 -4.5 0.375 -36 -40
8 10 -10 -1.375 3.25 -3 9 -2.75 9 -80 -88
5.5 -8 4 -3 10 -0.0292969 -6.5 6 -6 4 6
-4 5.5 -7 1.875 -5 -2.5 -0.101562 2.25 1.625 13 12
4.5 9 -1.375 -9 9 3.25 8 -2 -2.75 72 80
-5 -7.5 -5.5 -7 -5 -5 -3.5 9 -10 9 6
-6 -8 -1.75 -4.5 1.75 -5.5 -3.75 0.125 1.5 44 40
9 8 5.5 -4.5 -0.4375 -8 9 -5.5 4 11 12
-8 -5 0.5 9 -9 1.625 8 -9 9 -1 -7
9 1.75 2.25 8 1.5 2.25 10 -1.125 -3.25 28 28
-3 -6 5 8 8 -8 -5 -2.25 -7.5 -28 -26
-4.5 3 8 4 -1.5 -5 -8 -4.5 2.25 -88 -88
-2.5 -7 6.5 9 -2.75 -3.75 -8 -9 -2 -104 -96
8 -2.5 7.5 -2.5 -5.5 9 -7.5 9 2 -144 -144
-0.5625 -7.5 -3.25 6 6 6.5 -9 1.125 -4.5 -20 -20
6 6.5 -7 -8 -5 -3 -4 -0.117188 -0.9375 -20 -20
-7.5 8 -3.25 10 -4 1.125 -4.5 -7 5.5 -10 -10
-9 6.5 2 -8 -6 0.28125 7 -7.5 -8 128 120
-4.5 -7.5 7 0.5625 -1.75 -5 1.375 2.5 -4.5 48 52
7.5 4.5 -7 3.5 -6 -1.375 -9 -4 -9 -15 -7
-2 10 4.5 -0.6875 -1.625 -6 6 8 -1.5 -36 -32
4.5 -4 5 -5 0.875 -2.5 3 -10 5.5 88 88
-3.25 2.75 -9 -2 -6 0.0390625 -5.5 3 -7.5 56 48
1.375 -0.28125 5 -6.5 -4.5 -3.5 4 8 -6.5 -44 -44
-2 -3.5 -9 -3.25 8 10 0.109375 -4.5 7.5 -30 -28
-5 -3.5 -5.5 5 9 5.5 7.5 7.5 9 -60 -56
6 4 -6.5 -8 -0.101562 2 -3.25 2.25 7.5 18 20
-6 -9 6 -6.5 5 -4 -5.5 -7.5 -10 13 12
-4 -5 7.5 -2.5 -7 -4 -4.5 7 -2.25 -3.5 -4
0.1875 -10 8 -0.15625 4 1.5 -6 4 5 -56 -60
6.5 -3 8 -6.5 -2.75 -2 -0.75 2.5 -7.5 -44 -40
-2.25 -9 -5.5 -5.5 8 -4.5 -1.75 -10 6 88 96
6 -1.75 -3.5 8 4 1.75 -2 0.9375 2.5 36 40
-3.5 -3.75 1 0.3125 -1.5 -7.5 -4.5 8 3.75 36 32
9 -6 -1.25 -2.75 4.5 1.375 -1.5 -1.625 8 44 44
8 6.5 -3.25 -3.5 -5.5 -3.25 0.75 7 -5.5 -96 -96
-3.5 4.5 -9 -7.5 -5 -2.25 9 -9 0.1875 -4.5 -8
1.375 -6.5 -8 5.5 -0.75 -3.25 6.5 1.375 -2.75 -24 -26
4 3.5 0.203125 -2.25 9 -2.25 -0.75 7 -8 4 4
-0.28125 -1.625 1.25 5.5 -7.5 7.5 -1.625 6 2.5 24 22
3.75 -8 -4.5 -0.28125 -1.375 8 -9 -7.5 0.34375 -30 -30
10 -8 -2.5 -7.5 2 4 -10 -4.5 8 52 52
0.140625 -3 2.75 6 -6.5 8 -4.5 -4 -5 -64 -64
4 3 -4.5 -1.75 -4.5 0.09375 4.5 -8 -7.5 -32 -32
-10 3.25 -10 2.25 0.0078125 8 3 8 -4 10 10
4.5 -1.125 -8 -7.5 -3.5 -5 1.125 9 6.5 -80 -72
-2.75 0.203125 -7.5 1.625 -3.5 -8 3 -6.5 0.8125 -24 -24
4 -6.5 7.5 -7 -7 -5.5 -9 -9 -2.5 3 5.5
-0.9375 -8 -4.5 7.5 5 1.375 -1.5 1.375 -8 -7.5 -7
-3.25 -3.25 9 3.5 -9 -4.5 5.5 -2.5 -4 80 80
-2.25 6.5 -4 -2.5 5 9 4 -5 9 52 52
-5 -9 6 -5 5.5 -0.75 -8 7 -6 -104 -104
-0.75 -10 2.5 -9 -1.25 6 10 -6 7 26 28
6 -3.5 5.5 6.5 -6 0.6875 -5 -7 -1.875 -112 -112
4 5.5 4 -2 -3.75 -10 -0.5625 -2.75 3 -60 -60
9 5 6.5 -3.75 4 9 -3.75 1 0.625 52 52
0.625 0.4375 -3.5 5 -0.46875 4.5 4.5 0.9375 3.25 -6.5 -7
-7.5 4.5 -2 9 -1.75 -10 3 0.46875 1.75 -32 -36
1.625 6.5 6 -6.5 8 10 8 3 -8 104 104
-3.75 -0.00195312 7.5 -10 9 7.5 3.5 -7 -7 56 56
-5 -8 9 -8 7 6.5 7 1.5 5 -28 -32
-8 5 -3.75 -2.5 5.5 1.875 -2.25 5 -5.5 -44 -44
4 9 -0.75 1.375 -1.375 6.5 -0.0234375 -2.5 -1.875 48 52
-5 -1.875 7.5 -7 -3 -5 -7.5 10 4 -96 -96
-6 -2.75 2.5 3.75 -9 6 1.125 4 -8 52 52
-9 8 5 0.875 9 -9 5 -4 -5 -128 -128
-9 4.5 7.5 -9 -6.5 2.25 -2.25 1.875 6.5 40 48
-6.5 7 1.625 0.5 -4 3.25 -8 0.234375 -6 32 30
2.5 -6 0.75 -0.5625 -9 5 -2 5 -1.25 -60 -56
2.25 -3.75 -0.875 -8 1 5.5 1 -9 -6.5 48 48
9 -8 7 9 -10 6 8 -9 9 -160 -144
6 -1.375 -5.5 -1.125 -5 -5.5 -6 -3.5 -7 9 7
2.5 2.25 2 6 -2.5 -6 -9 2.5 3.75 -16 -20
-5.5 9 2 -3 -2 -4.5 -9 -0.4375 7.5 -40 -40
4.5 5.5 -7 8 5 2.25 -6.5 -5 1.875 40 40
4 6 1 3.25 5.5 -0.34375 4 -4 -2.25 9 9
-8 -4.5 -9 2.5 -7 -4.5 3.75 -5 -3.75 28 32
1.125 -5.5 0.8125 -7 2 -7.5 -9 -9 0.4375 96 96
0.9375 -2.25 -3 1 5 10 -2.75 -1.875 7.5 -3.5 -4.5
-8 9 8 5 -2 5.5 -0.875 -1.625 -7.5 40 40
5 -8 -3 7.5 -3.25 6 8 -5 5.5 -120 -120
4.5 7 -6.5 9 -6.5 -8 7.5 -2.5 -9 -160 -160
-4 10 -5 7 -3.75 5.5 1.125 -3 -2.25 40 40
-3.25 9 -2.25 6.5 -7 3.75 4.5 -9 -5.5 -18 -18
2.75 3.75 10 7.5 -0.75 -8 -10 0.5 5 -128 -120
-8 4 1.5 9 -0.375 9 10 8 -2 128 128
10 -7 7 6.5 -7.5 -5.5 5 0.625 10 13 18
10 -5 -5 -6.5 -10 -2.5 -5.5 -4 -0.0429688 -32 -26
5.5 -6 8 4.5 -0.40625 -5.5 1.75 5 6 72 72
-5.5 1 0.3125 -5 -10 3.25 6.5 2.25 8 52 60
7.5 -6 6.5 5.5 9 0.875 4.5 -8 3.5 52 48
2.25 -0.0117188 -2.25 -5.5 1.875 9 1.25 6.5 4.5 -30 -32
7.5 4 7.5 4.5 -5.5 -6.5 -6 -3.5 6.5 -128 -120
-8 1.125 -9 4 5 4.5 -2.5 6 -10 2 0
0.28125 -1 -1.75 -8 3.25 7 -6 6 -10 -52 -56
-1 0.117188 6 9 2 -9 9 -2.25 6.5 36 40
5 3.5 -4.5 -2.5 5 1.75 -1.125 9 4 18 18
-0.9375 -4.5 6.5 -8 -9 0.00585938 -1.375 -4 -5.5 26 26
-5 -5.5 5 0.6875 -10 3.5 9 1.125 7.5 80 80
-1.375 1.625 2.5 1.875 -1.375 2.25 4.5 6 -0.6875 28 28
6.5 -0.0703125 1.5 0.40625 7.5 3.25 -4 0.09375 -2.5 40 36
-6.5 9 8 -10 6.5 -0.0273438 8 -6 -0.875 80 80
-5 4.5 4 -4 -0.75 3.25 2 -4.5 -1.25 44 44
2 -8 -2.5 0.5 5 -4.5 9 4 1.125 28 30
-0.3125 -2.75 4 3.5 8 -6 -6 3.75 -5.5 -3 -2.5
9 5 8 -7 -9 -1.25 -5.5 0.40625 -3.75 -144 -128
-6.5 4.5 -10 -0.6875 -3.25 -1 2.25 2.75 -3.25 -10 -9
9 1.75 8 4 -3 -2.75 -3.75 -3.25 4 -72 -80
5.5 -6.5 -5.5 -2.5 -6 -1.75 -4 0.8125 5 4 5
-5.5 -9 -3.5 8 1.375 -9 4 -8 -7.5 -16 -16
8 -6 -1.375 -7.5 9 1.375 3 -0.875 -10 60 56
-10 -2 0.0390625 3.25 -8 5.5 -7 -2 3.75 64 64
1.875 -0.8125 2 9 9 -4 -9 9 9 96 88
-3.25 -1.875 9 7.5 -5.5 -8 -1.875 -1 -0.625 7.5 7.5
-1.875 -8 0.875 -3.75 -1.625 -2.5 2.25 8 -9 -14 -13
7 -2.25 -5.5 0.34375 9 7.5 3.75 -7.5 6 32 32
-6 -6.5 -0.46875 10 1 9 0.9375 -3.25 -5.5 -104 -104
-2.5 3.5 -3 -0.9375 0.140625 0.171875 -2.5 3 0.3125 5 5.5
-0.0859375 -6.5 1.875 -1 4 -5 -5 1.875 0.8125 20 22
10 -2.5 -1.5 2.75 -9 6.5 -7 7.5 -4 -80 -80
-6 -1.625 0.28125 5 9 1.75 10 -1 5.5 -52 -56
2.25 5 7.5 -6 0.125 1.75 7.5 3.5 -3 44 40
7.5 1.25 -6 1 -9 0.9375 5.5 4 4.5 -96 -88
6 -6.5 -1.75 5.5 4.5 6 -3.25 -0.875 0.9375 -10 -11
-1.375 7.5 -4 5.5 5 -10 2.75 -9 2.25 -144 -128
1.25 -4 2 -2.5 -0.3125 1.375 8 -9 7 40 40
-6.5 1.5 -6.5 9 -0.9375 7 -9 0.6875 -9 72 80
6 3.5 6.5 -6.5 8 -1.5 -10 3.5 4 -40 -36
9 9 1.125 7 6 9 -0.9375 -1 7.5 144 128
-1.75 2.25 -6 1.375 -1.25 -8 -8 8 -1.5 40 44
-7.5 -9 5 -6 -3.75 6 10 -2.75 -9 36 28
-1.25 4 9 -4 0.101562 -6.5 -5 -6 -0.0546875 -48 -48
-10 1.25 -9 5 3.75 0.28125 7 -6 0.0234375 -128 -128
9 8 4 1.5 -8 -8 -2.25 -0.0546875 6.5 -144 -144
3 -2.75 4 -0.3125 -0.8125 -1.25 -1.875 6.5 -4.5 -13 -12
-2.75 1.25 4.5 -7 -7 0.25 3.5 -3.5 -9 52 52
-9 5.5 -0.109375 5 -10 1.125 -2.75 -5 -3.75 72 72
7 10 -5 -10 2 -5 -2.75 10 1.5 -120 -112
-6.5 9 6.5 -2.75 -4.5 0.9375 3.75 9 4 40 44
0.5625 4 8 -10 2.5 8 9 5 -4 56 52
8 -4 3 8 1.125 1.125 2.5 10 -2 88 96
8 9 7.5 0.1875 -3 5 -7 -5 -7.5 -40 -40
-4.5 -4.5 -2 6.5 7.5 -7 9 -8 6 -64 -64
2 -7 -7 -7.5 6 -8 9 -1.125 -8 5.5 0
2.5 -5 -3.25 7.5 2.25 -7.5 0.171875 -10 -7 -40 -40
5.5 -9 6.5 0.75 -10 -8 0.28125 -1.75 -8 9 8
6.5 -9 -6.5 7.5 4 5.5 -1.25 -8 4.5 -72 -64
-1.5 -5 2.75 2 4 -2.5 -0.8125 7 8 26 26
-9 0.46875 -5 2.75 -5.5 -5 2.25 6.5 -8 40 40
0.0195312 -8 10 -5 1.125 -3.75 -9 -0.28125 8 -48 -48
-1 2.25 1.375 9 -2.5 0.625 -9 -10 0.34375 -96 -96
3.25 9 -4.5 -9 8 -4.5 -5.5 -9 -10 80 80
1.375 7.5 -6 0.40625 5 3.25 -1.875 -5 -6.5 32 32
-0.46875 2.25 -5 -9 -0.34375 8 5 6 3.25 -56 -60
-1.25 -8 -0.25 -6 8 8 -8 -3.75 1.625 -48 -48
0.3125 3.75 9 6.5 3 -2 9 10 7 144 128
4 3.25 3.75 1.625 -7 0.6875 -6.5 3.25 1.75 -44 -44
1.375 -4.5 -7 7.5 -2.5 -4.5 -7.5 1.5 9 88 80
-3 -9 0.234375 8 7.5 4 -9 -2.5 -7.5 -80 -88
2.75 -10 -7.5 2 6.5 7.5 -4 -0.875 9 -20 -20
-7 3 9 6.5 -0.46875 2 -4.5 4 -5 -10 -11
3.25 -6 5.5 -2 -10 -4.5 0.0195312 -4.5 0.625 4 5.5
10 -4 8 -8 4.5 7 -0.5625 -5 8 60 60
9 -10 -4.5 -7.5 -8 -5.5 -5 -5 6 52 48
4.5 -9 -7 -7.5 7 2.5 8 0.5 2.5 -52 -48
-4.5 -0.6875 8 -10 -1.125 -4 -5 5.5 -6 -96 -96
9 -2.75 -9 3 -2 -4.5 5.5 6.5 -6 -40 -40
-1.75 3.25 6.5 0.3125 -6.5 4 -0.5625 -5 -6 12 12
-5 -4.5 -9 -1.75 -0.0351562 -0.171875 3.5 6.5 -4 -48 -48
5.5 -4 7 6.5 -2.75 2.5 3.25 -2.5 -7.5 -26 -26
3.25 -1.25 0.5 9 4.5 5.5 2.5 5 -0.625 52 52
-3 0.75 5.5 7 5.5 9 -1.75 -5.5 -2.5 -60 -64
0.75 -5.5 4 3.25 -7.5 -3 5 -1.875 -4.5 20 20
2.5 -4 -2.5 6.5 2.75 8 1.125 -8 6.5 -72 -72
-0.078125 -5 5 6.5 3.75 6 9 -5 -5 -24 -24
8 1.5 -7.5 -5 -10 8 -6 -2.75 8 -1.25 2
3 0.0390625 -4.5 5.5 -7.5 6 -7 9 -8 52 48
-9 -2.75 -2.25 4 -7 -7 -2.25 -2.5 1.625 80 80
-7 -3.25 6.5 -0.5 1.375 -1.375 5 -2.5 -7.5 20 20
4.5 -8 -9 -7.5 3.25 -7.5 -10 0.00195312 3 176 160
-1.75 5.5 9 3 3.5 2 -2.5 4.5 9 5.5 7
4 1.875 4 1.5 5.5 8 6 9 3.25 80 72
-1.375 -7.5 -6.5 -5 -5.5 -7 0.6875 8 8 24 24
-4.5 7 8 8 8 -7 7.5 9 -10 36 40
1.875 -6 6.5 1.25 -5 -10 0.5625 -0.8125 3.75 60 60
-9 -2.25 5.5 -8 9 3.75 -4 4.5 -9 -160 -160
-4 2.5 5 3.5 -1.625 -3 6 5.5 -4.5 44 44
-7 8 -6.5 -5 -7.5 -0.078125 6 -3.75 -3.5 28 26
3.5 1.375 3 -9 7 -0.8125 -8 7 0.101562 -64 -64
-2.75 7.5 6.5 -9 -5.5 8 -2.5 -9 -0.34375 144 128
8 -9 5.5 -10 2 -3 -1.625 -5.5 9 96 104
-3.25 -9 -5 -10 -7.5 8 -9 2.5 7.5 -20 -20
-8 -4.5 -0.5 -5.5 2.75 0.125 2.75 -2.75 5.5 -3 -3.5
1.5 7.5 -7 9 -8 -0.015625 -7 6.5 -1.375 96 96
-1.5 2.25 -8 6 -2.75 -0.09375 -8 -2.25 8 64 56
2 1.5 -2 -3 3.25 -9 -2.25 -3.25 6 13 13
6 -2.5 2 -6.5 3.75 9 -3 6 3.75 -40 -44
6.5 -1.5 3.75 4.5 -8 3.5 -7 3 0.34375 -64 -64
-0.0859375 -9 2.5 6 -6 -10 -3.25 8 -4.5 128 120
3 -8 5 2.25 -9 -1.375 2.5 -7 -9 -28 -28
-8 6 8 -7 7.5 8 -2 6.5 7 -64 -64
-2.5 3.75 9 -4 8 6 6.5 2.5 1.5 56 56
6 -0.75 5.5 0.9375 8 -5.5 10 3.75 -0.25 104 112
0.8125 -3 -5 -1.5 -2.5 -6.5 -5 9 9 40 36
7.5 2.75 5.5 -2.5 7 -3.25 -10 -9 6 20 16
1.5 -2.5 3.5 4 -2.5 1 2.75 -3 -1.75 -10 -10
1.375 -0.875 -8 6.5 -9 -9 5.5 -9 1.125 -104 -112
8 3.25 -3 -7.5 -0.140625 0.4375 0.3125 -10 -5 72 64
6.5 -5 4.5 0.875 5 -0.101562 -9 5.5 9 4.5 6
6 -9 -4.5 -6 0.0859375 4.5 -10 8 2.5 -40 -40
-1.75 -2.5 8 9 -5 4 -8 -7 5 -120 -120
6 -0.234375 -6.5 1.25 2 3 -7 4 -7 52 52
2.25 -4.5 -9 0.625 -10 -9 -7 1.375 -4 80 80
9 7 -9 -10 3.75 -0.5625 -7 3.25 -2.25 56 60
-1.125 4.5 -3.5 2.5 -1.875 -7.5 -8 -1 5 -0.5 0.5
-9 -5 -10 -8 -9 1.375 -8 4 5 128 128
-10 6.5 6.5 6.5 -6 -7 3.75 -1.375 -4.5 28 28
3.5 6 -8 1.125 -4 -7 3.75 0.875 -7.5 -96 -96
-5 -7.5 -0.875 5 6.5 -4 -3 2.25 -6 3.75 6
3.25 -8 -3.25 -1.125 -9 -4.5 -9 -8 9 52 52
-9 -9 -2.5 7 -1.5 8 -5 -6.5 -6.5 -96 -96
9 -6.5 -6 8 -9 7 3.25 -2.5 -9 -160 -176
-1.75 4.5 -2.5 3.75 -6.5 -4.5 -7 8 -9 30 32
-0.46875 4.5 7.5 4.5 9 4.5 0.4375 -3 -0.625 4.5 5.5
-0.625 -7.5 0.375 -7 -6.5 4.5 0.875 -4 -6 -8 -6
7 -1.625 7.5 4 5.5 1.375 10 9 -6.5 144 144
5 -1.125 5.5 9 -3 9 -2.5 -0.5625 3 -40 -40
-1.25 0.171875 -6 3.75 3 -10 2 -5.5 -5 -44 -44
3.75 8 -5 4.5 -8 0.375 -6 -5 -7.5 -24 -28
7.5 9 9 -7.5 9 -9 9 -4.5 -5 96 88
-2.25 5 -0.125 -1.375 3 5.5 10 0.101562 8 26 26
2.5 9 -9 3.5 -5.5 -7.5 -5.5 7 0.046875 -5.5 -8
-0.8125 1.75 9 7.5 9 2 3.75 2.5 1.875 52 48
-3 3 -7.5 6.5 -2 1.125 0.625 9 -6.5 56 56
-7.5 -9 5 -10 3.75 -6.5 -5 5.5 9 -40 -40
4 -9 -2.75 -1.25 5.5 -1.25 -4.5 -3.25 5 56 52
9 -1.25 -3.5 -9 3.5 10 -5.5 -1.25 -9 40 44
-5.5 -0.109375 -2 1 -9 -9 0.46875 7.5 -9 48 48
-4.5 10 7.5 -0.21875 7 3.5 1 7 10 18 20
0.46875 10 -5 0.34375 7.5 -6.5 5.5 -5.5 -1.375 -88 -88
-9 2.75 5.5 5 1.125 -6 -7.5 2.75 1.25 -52 -48
-8 -1.625 5 -8 -5 -10 1.125 -7.5 -2 120 120
-8 -4.5 1.125 9 4.5 8 -5 -9 2.75 -160 -160
-2.75 3.25 8 -2.5 0.0351562 1.875 7 -2.5 4 72 80
2.75 -10 9 4 -8 -3 1 -7.5 6.5 -6 -7.5
3.75 -8 -10 3.75 -2.25 -3 0.40625 -5 4.5 -2.75 -1.5
-5.5 -8 -5 8 -5.5 8 -6 -0.40625 9 2.75 4
3.75 -3.75 7 -10 1.25 9 -9 3.5 5.5 -120 -120
1.25 1.625 -5.5 -2.75 0.875 3.75 8 9 1.75 -60 -60
2.75 -5 9 3.75 10 -0.625 6 -10 -0.109375 52 52
-1.75 -7 -10 2.25 6.5 9 -3.25 -8 4 -56 -52
-6 3.5 -7.5 -4.5 4.5 -3 2.75 -2.75 3.25 -44 -44
1.875 8 10 -8 -3.25 -2.25 5 -10 -0.25 104 104
10 -4 -4.5 -9 -7 10 2.5 6 -4 -176 -176
-1.125 -3.25 -4.5 -0.6875 -6.5 -3.5 -2.25 6 -8 18 16
5.5 0.34375 1.375 4.5 8 5.5 -10 -8 -7.5 -14 -14
6 -6 -9 -0.9375 5 3.75 -7 4 -7.5 60 64
-2.25 -0.1875 -7.5 -7 -4.5 6 5.5 -2.5 -9 -22 -24
