vector_id,golden,golden_kind,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
51,3C27,Normal,288,144,144,19,125,13.194444,86.805556
52,39AA,Normal,288,144,144,20,124,13.888889,86.111111
53,3689,Normal,288,144,144,7,137,4.861111,95.138889
54,B9C4,Normal,288,144,144,14,130,9.722222,90.277778
55,3769,Normal,288,144,144,10,134,6.944444,93.055556
56,3F00,Normal,288,144,144,19,125,13.194444,86.805556
57,BC1A,Normal,288,144,144,17,127,11.805556,88.194444
58,BDD7,Normal,288,144,144,14,130,9.722222,90.277778
59,B8CA,Normal,288,144,144,12,132,8.333333,91.666667
60,9973,Normal,288,144,144,1,143,0.694444,99.305556
61,3DB5,Normal,288,144,144,16,128,11.111111,88.888889
62,BB9E,Normal,288,144,144,25,119,17.361111,82.638889
63,3C2F,Normal,288,144,144,17,127,11.805556,88.194444
64,3396,Normal,288,144,144,17,127,11.805556,88.194444
65,3C1C,Normal,288,144,144,20,124,13.888889,86.111111
66,370F,Normal,288,144,144,6,138,4.166667,95.833333
67,B885,Normal,288,144,144,15,129,10.416667,89.583333
68,B4E3,Normal,288,144,144,20,124,13.888889,86.111111
69,3AF1,Normal,288,144,144,17,127,11.805556,88.194444
70,381B,Normal,288,144,144,10,134,6.944444,93.055556
71,3DE8,Normal,288,144,144,31,113,21.527778,78.472222
72,BC84,Normal,288,144,144,26,118,18.055556,81.944444
73,B164,Normal,288,144,144,6,138,4.166667,95.833333
74,B063,Normal,288,144,144,9,135,6.250000,93.750000
75,BC39,Normal,288,144,144,13,131,9.027778,90.972222
76,3BDD,Normal,288,144,144,20,124,13.888889,86.111111
77,3E55,Normal,288,144,144,21,123,14.583333,85.416667
78,3C9F,Normal,288,144,144,15,129,10.416667,89.583333
79,BE94,Normal,288,144,144,43,101,29.861111,70.138889
80,B892,Normal,288,144,144,10,134,6.944444,93.055556
81,BC58,Normal,288,144,144,36,108,25.000000,75.000000
82,3C60,Normal,288,144,144,17,127,11.805556,88.194444
83,2C8F,Normal,288,144,144,22,122,15.277778,84.722222
84,AC02,Normal,288,144,144,2,142,1.388889,98.611111
85,3CC8,Normal,288,144,144,18,126,12.500000,87.500000
86,3ECB,Normal,288,144,144,35,109,24.305556,75.694444
87,38EC,Normal,288,144,144,24,120,16.666667,83.333333
88,36F1,Normal,288,144,144,14,130,9.722222,90.277778
89,2C9B,Normal,288,144,144,19,125,13.194444,86.805556
90,A8C5,Normal,288,144,144,13,131,9.027778,90.972222
91,3886,Normal,288,144,144,27,117,18.750000,81.250000
92,38E0,Normal,288,144,144,24,120,16.666667,83.333333
93,3AEE,Normal,288,144,144,19,125,13.194444,86.805556
94,3A19,Normal,288,144,144,14,130,9.722222,90.277778
95,3C94,Normal,288,144,144,22,122,15.277778,84.722222
96,B1C4,Normal,288,144,144,6,138,4.166667,95.833333
97,BDE9,Normal,288,144,144,21,123,14.583333,85.416667
98,398B,Normal,288,144,144,12,132,8.333333,91.666667
99,B3F0,Normal,288,144,144,11,133,7.638889,92.361111
