#SET 0 results
#STEP0_D00
68CE 8F57 A48E 96F0
4CD0 6E64 9E92 71EB
9FD5 7277 6EA2 700A
6FB1 7136 6CFC 4438
6D8E 9150 8D54 5724
#STEP1_D33
6686 E1C0 ABE4 950F
6A11 AE54 71F7 62BB
A021 73EC 8E0F 645D
9F8C 8F3C 8EC2 8F7B

#SET 2 results
#STEP0_D00
9F4E 9743 8E1E 8E9C
7214 91BA 7102 6BA4
8BEA 6E5A 70C2 94E6
57C6 A060 64E4 628A
#STEP0_D10
A740 8FF9 71DA 59B8
69A8 8CCB 6AD3 8A32
6DE4 73CA 5000 71CE
6AB8 6F47 6639 48B0
#STEP1_D01
8E67 EA00 4FE8 6F98
706A 99F7 91E8 8D01
700A 99B1 8D36 9C10
6CE6 7576 97E4 9143
#STEP1_D11
8CE4 69C5 6660 9EAD
6F95 9DC9 49F0 71E8
9FC7 6CCB 8F09 8CBB
94CC 719F 7043 6988
#STEP0_D20
A840 7004 6438 7508
7397 9B84 6CD0 8B2F
8E2D 740E 73A6 8BF6
94B6 A544 6F7E 6D42
#STEP0_D30
8A49 7446 7136 713A
8D60 D380 97FF 6D06
8FFB 7501 BCA0 6FE2
9C68 6828 8B0B 6CDE
#STEP1_D21
6380 B57A 99D4 93E6
6AE2 B218 8F1C 2200
739E 7183 A98C 72E1
6907 6D35 7525 728A
#STEP1_D31
64C6 744A 6D14 6F7A
3EC0 8AD9 945C 9D77
8E67 9357 9FF0 8E0E
8C70 7196 62F6 A7F8
#STEP0_D02
75FC 94B0 7074 8FEC
7591 9BF0 8DEC 626F
8FBD 7502 48A8 7474
70DE B826 6282 B235
#STEP0_D12
9F9B 60BB 9279 610C
7001 93CE 64A2 6154
9E26 6F32 1A80 6059
8D24 9B54 60D5 8F76
#STEP1_D03
9311 8E27 73B2 AA00
746A 9E30 6E79 710C
9000 6BD6 6A00 931F
6CEE BEF0 9A48 8DCE
#STEP1_D13
706C 8A5F 99D9 8EE1
41B0 9038 6ECE 952B
5DC4 74A6 9AA8 66A7
6D15 7032 8E7E 5018
#STEP0_D22
8A2E 6838 8BCB 66A8
6805 8D00 BF80 4EA0
8DF2 97BC 9D50 4092
92E2 6EDD 63EE 8F74
#STEP0_D32
8A25 7516 6A7C 6910
705A 68E2 52A0 6D5A
8AC6 A1F8 8C5D 6756
6B92 8D3E B210 8BC9
#STEP1_D23
69ED 678D 9584 720E
9F23 72AE 688A 6B00
636E 73BB 9D18 96E6
7221 8E7E 89FA 9C39
#STEP1_D33
63C0 5AE8 8CE7 8E6B
4A20 EE40 7598 70EC
927A 750E 9AA8 6C95
9167 9491 A860 94E2

#SET 3 results
#STEP0_D00
9D61 9E90 8E5D 9785
73E6 90D8 7348 63A3
8B1E 7143 6D76 659C
A3DA AF1D C7D0 680C
#STEP0_D10
5028 91AF 7332 522A
6B2F 8D79 68FB 89EA
733E 73ED 7104 723B
7294 6BFF 71AC 97CF
#STEP1_D01
8C75 969A 94FE 6D14
68B6 6A98 6400 8DA2
6DE4 8F5A 8A98 94B9
7079 75CC 9D68 8F34
#STEP1_D11
8BF8 7139 70C9 B510
725A 1DA0 6732 731B
8E8E 6E52 8F11 8EC9
8F9D 720B 70F1 716F
#STEP0_D20
9CFD 6882 683F 7453
745C 9877 70E8 8AC5
95CC 74D3 7582 8E62
8EC5 917A 6AC6 669A
#STEP0_D30
8C0A 7466 7336 6390
8E0B BA87 9D26 648B
96CE 7620 59CC 731C
9D6F 6B55 8A73 67D2
#STEP1_D21
9BBC B1A9 9D0E 8F21
4B10 6840 9814 30D0
711C 7078 952E 74B1
3960 C760 731E 6DD2
#STEP1_D31
70E4 7655 741A 7409
33A8 8D57 6348 A03B
8ECA 8F42 9155 90CA
9258 73A8 6F4C 5838
#STEP0_D02
757A 8DD2 7096 8D9F
73CC 3340 8B8D 6C54
90F0 72E0 60A0 7345
7280 6034 64D8 649F
#STEP0_D12
9226 659E 8E72 66BD
7021 98CC 5750 653B
8D11 3E00 9612 94C6
8AAC 937B B310 8C28
#STEP1_D03
91CB 8FC0 7583 9373
7462 95DF AF08 7452
8FC7 6CFC 7276 8E0C
6E61 939F 97A4 8ED0
#STEP1_D13
701C 8A25 8F6D 939E
CD6C 8FEF 620C 9981
DB00 7722 993A 5C46
6976 74BC 8CDC D3E0
#STEP0_D22
8A6C 6BB1 8CC3 6D06
BD10 8DBD 98F1 63EC
8A70 8D02 9118 8F1D
4F20 7029 71A3 917A
#STEP0_D32
88EB 7645 B9E0 688C
6CEA 70C7 9F22 71C9
8970 8F09 8B67 96D3
6F66 8FA7 9D18 8CF6
#STEP1_D23
6E26 4198 9E4A 72D9
9FDE 71E3 2F00 70DE
CF00 76D6 AD0F 8F22
73C7 8CFA 8CFC 9404
#STEP1_D33
4360 6C71 88F8 941C
5172 973E 735F 7418
8F1D 7750 A577 4520
8FEC 90DF 8F7F 9EE6

#FINAL_16x16_RESULT
9D61 9E90 8E5D 9785 8C75 969A 94FE 6D14 757A 8DD2 7096 8D9F 91CB 8FC0 7583 9373
73E6 90D8 7348 63A3 68B6 6A98 6400 8DA2 73CC 3340 8B8D 6C54 7462 95DF AF08 7452
8B1E 7143 6D76 659C 6DE4 8F5A 8A98 94B9 90F0 72E0 60A0 7345 8FC7 6CFC 7276 8E0C
A3DA AF1D C7D0 680C 7079 75CC 9D68 8F34 7280 6034 64D8 649F 6E61 939F 97A4 8ED0
5028 91AF 7332 522A 8BF8 7139 70C9 B510 9226 659E 8E72 66BD 701C 8A25 8F6D 939E
6B2F 8D79 68FB 89EA 725A 1DA0 6732 731B 7021 98CC 5750 653B CD6C 8FEF 620C 9981
733E 73ED 7104 723B 8E8E 6E52 8F11 8EC9 8D11 3E00 9612 94C6 DB00 7722 993A 5C46
7294 6BFF 71AC 97CF 8F9D 720B 70F1 716F 8AAC 937B B310 8C28 6976 74BC 8CDC D3E0
9CFD 6882 683F 7453 9BBC B1A9 9D0E 8F21 8A6C 6BB1 8CC3 6D06 6E26 4198 9E4A 72D9
745C 9877 70E8 8AC5 4B10 6840 9814 30D0 BD10 8DBD 98F1 63EC 9FDE 71E3 2F00 70DE
95CC 74D3 7582 8E62 711C 7078 952E 74B1 8A70 8D02 9118 8F1D CF00 76D6 AD0F 8F22
8EC5 917A 6AC6 669A 3960 C760 731E 6DD2 4F20 7029 71A3 917A 73C7 8CFA 8CFC 9404
8C0A 7466 7336 6390 70E4 7655 741A 7409 88EB 7645 B9E0 688C 4360 6C71 88F8 941C
8E0B BA87 9D26 648B 33A8 8D57 6348 A03B 6CEA 70C7 9F22 71C9 5172 973E 735F 7418
96CE 7620 59CC 731C 8ECA 8F42 9155 90CA 8970 8F09 8B67 96D3 8F1D 7750 A577 4520
9D6F 6B55 8A73 67D2 9258 73A8 6F4C 5838 6F66 8FA7 9D18 8CF6 8FEC 90DF 8F7F 9EE6

