#SET 0 results
#STEP0_D00
443EA38B C488DDCA C31156D8 C3D8CBD7
4460AA75 C40D8EB7 C44DA076 433D151C
C4470B02 C363881C C47D7B61 C4E19849
C442BD39 432164F7 4364DAF9 C3A4AE07
#STEP0_D20
442838C8 43852268 C3681468 44508EC3
44699F3A 44021794 445B8FC9 C447E5A6
C4DB88A0 44DFC6B0 44A5CA2A C413B803
C3D31624 C3AD8EE9 C3828801 430F1F32
#STEP0_D30
C4FBEEDB 44A15F9E C3810B6E 447D9321
C4B9AAC5 4481D5E3 44467E19 C306EB08
C344A3E5 44211EAF 4409E1EF C131829C
C3E3AB7B 43640E8F C4C0BB43 449C9690
#STEP1_D21
43744123 C3B020E1 43F3CA11 442DC8F2
44201FB1 C417D1DA C4E4816B C49AC1AF
443240F1 440F426E 424400ED 44028455
437A2F09 4241C855 4521F3D8 44E6554E
#STEP1_D31
C41F69DF 44877747 449A7809 445C78CB
BFFF2FB4 C3FC3A0B 4353B401 442150CE
C3F2F74D C41FA3E8 C1CD864F C2964F3C
C4B3DDA7 44E2E0BC 43F86019 C33810FD

#SET 2 results
#STEP0_D00
C29FEDEA C3E69823 C4B2E81C C49A543A
44B35966 C44F47DD 4495BDBE 44233D74
C4F17DDC 446B69D8 449E4A59 C4028DBF
43BC3593 C30A6792 43811B13 438A062B
#STEP0_D10
C3BEF9FE C485B591 44A7AE46 438AEF19
4430110E C4EC32A1 44645EC8 C5339A35
44444116 44FCBE16 42D0F97D 44B11351
43EC0FBE 447E6FC6 43A1D288 438E5158
#STEP1_D01
C4A89F00 C2E7F170 43AC86BE 4454E430
449393A3 C40022DA C42AAB86 C4CF96F5
4465D8F5 C3D62972 C4D79DC2 C361B3B6
443DB952 4529ECD3 C41F2DC7 C43A2F7D
#STEP1_D11
C4E36061 4418BF8B 441F4475 C37CE72B
44627DF5 C3C15EC6 C2E03C4B 44B64400
C3EC5D0D 4416632B C492F188 C4F5ADFB
C4397D08 44A2DA6C 44612D09 43E8BD3D
#STEP0_D20
C394815A 445F34B4 44143EC6 452872A9
44DF1E37 C39AB088 4442C458 C5173634
C4D6255C 44F83919 44EF644E C4FCA8AA
C450DC3E C3687C6E 4487FAD0 4427B4E4
#STEP0_D30
C530CCEF 4507077E 44965931 449753C5
C4D4B107 3FABEAB4 C3981D2F 441CE7E8
C4603600 4525AA4E C1F424A2 4483BD2E
C37F6BE5 4404CE01 C523B76D 446C43D5
#STEP1_D21
439CD492 C38520DC C3671C92 C443356D
4447623E C392829B C48AFE41 434C2A26
44DC7B31 44B06E2F C17DC97E 44E3C641
442E187B 4466A651 451918A5 44CF920C
#STEP1_D31
43DA7C44 4509ED8C 4419B00C 446418BF
436F998A C5180C7A C41DDAFD C30E4E2C
C4972D43 C41F4152 C3D23B80 C4A23858
C4E8913C 449AADB0 440A4053 C32ECFF9

#SET 3 results
#STEP0_D00
C30D948B C34BE10A C4AB0DCF C3C6CE85
44EDAB43 C45D7487 44DE721E 438C27E9
C5123568 44AB46DA 44637930 441BF72E
C21BB73A C1A403D4 C34AC8CA 43E2E692
#STEP0_D10
C25A81D5 C46EBC54 44D2BDB7 43596057
444883D9 C4D678DC 4446E22A C53C9883
44DAC97F 45008A09 449DA141 44BEB6F7
44B7C266 4449F075 44A5127E C3A94102
#STEP1_D01
C4E6E56F C4319559 C3F369CB 442C9E42
44181A00 4419ACEA 4416F71B C4BB836E
44419694 C49104F6 C52C1815 C40D544F
4486C149 45349F45 C3E46DC4 C480AB64
#STEP1_D11
C500E7B7 44A564C1 44AF45D3 C2796F7F
44BFD277 C238B953 4387352F 44DCB156
C4C86F46 442EDA69 C491EF30 C4B3F28C
C48F8426 44B052E7 448652B4 449BC799
#STEP0_D20
C3E5AEEE 43CCBFC3 44366EFB 4511D09C
4501ACF4 C3CB8350 4497EC01 C5247FE5
C45AD79D 4514B5A0 452D98CE C4ADD796
C4B583EA C46D0CED 44447722 4390CC19
#STEP0_D30
C4F292F4 450B1381 44D64384 43731D91
C4BF5987 C2601A6C C30B372E 43438BC1
C3E430B2 454980C8 437D5F00 44E82DD3
C35E97C3 44379E24 C536AD6E 441CE888
#STEP1_D21
C3DF6F15 C38CC30A C2FFA927 C49CB306
435147A9 43B153B4 C3B8BF1F 435BBBFB
448C5278 448F1D65 C4041F78 4519E96C
432912D3 41E0B444 44CCA5F2 4459BE7A
#STEP1_D31
44A01D0B 454B49C9 44EAE8C7 44F87077
43596C7E C4BB7F7B 43ED3CF4 C26D68F8
C48AC57E C48221F8 C4899B51 C43B5F2B
C4478407 44DCFD28 4493AD2D 435345F8

#FINAL_16x8_RESULT
C30D948B C34BE10A C4AB0DCF C3C6CE85 C4E6E56F C4319559 C3F369CB 442C9E42
44EDAB43 C45D7487 44DE721E 438C27E9 44181A00 4419ACEA 4416F71B C4BB836E
C5123568 44AB46DA 44637930 441BF72E 44419694 C49104F6 C52C1815 C40D544F
C21BB73A C1A403D4 C34AC8CA 43E2E692 4486C149 45349F45 C3E46DC4 C480AB64
C25A81D5 C46EBC54 44D2BDB7 43596057 C500E7B7 44A564C1 44AF45D3 C2796F7F
444883D9 C4D678DC 4446E22A C53C9883 44BFD277 C238B953 4387352F 44DCB156
44DAC97F 45008A09 449DA141 44BEB6F7 C4C86F46 442EDA69 C491EF30 C4B3F28C
44B7C266 4449F075 44A5127E C3A94102 C48F8426 44B052E7 448652B4 449BC799
C3E5AEEE 43CCBFC3 44366EFB 4511D09C C3DF6F15 C38CC30A C2FFA927 C49CB306
4501ACF4 C3CB8350 4497EC01 C5247FE5 435147A9 43B153B4 C3B8BF1F 435BBBFB
C45AD79D 4514B5A0 452D98CE C4ADD796 448C5278 448F1D65 C4041F78 4519E96C
C4B583EA C46D0CED 44447722 4390CC19 432912D3 41E0B444 44CCA5F2 4459BE7A
C4F292F4 450B1381 44D64384 43731D91 44A01D0B 454B49C9 44EAE8C7 44F87077
C4BF5987 C2601A6C C30B372E 43438BC1 43596C7E C4BB7F7B 43ED3CF4 C26D68F8
C3E430B2 454980C8 437D5F00 44E82DD3 C48AC57E C48221F8 C4899B51 C43B5F2B
C35E97C3 44379E24 C536AD6E 441CE888 C4478407 44DCFD28 4493AD2D 435345F8

