#FlexGrip INT16_32 experiment.
#Format: A/B signed int16, C/D signed int32.
#Golden math: D = A @ B + C, saturated to signed int32.
#Only B is transposed by the global_mem generator for hardware feeding.

#FULL_A_16x16
-211 140 79 -32 -35 183 -212 101 -153 -208 13 243 120 133 111 146
1115 -3317 998 1849 661 -3404 190 3571 1830 -2971 3767 3759 -2709 2464 -765 767
-450 2315 4068 2417 3533 3653 -3358 -2021 1817 737 -3686 -3318 168 951 -2723 -2693
-3037 532 -4032 593 -198 -279 1468 185 1865 2162 3441 2451 145 -65 -2166 815
-2957 3532 2826 -3116 2342 -3137 1812 -3378 -97 1293 1874 -667 3453 2247 -2390 1402
1888 -1363 1951 3263 2597 2150 1101 -1880 2418 -1113 263 -1521 -1532 -2805 3778 -2886
-3390 3572 450 -509 1945 -956 -3049 1881 -2655 434 3678 3572 -1141 2296 923 -170
#FULL_C_16x16 encoded
00000AE8 00000A21 00000EB1 FFFFF35E 00000C36 FFFFF221 FFFFFF36 00000305 FFFFFB73 FFFFF4AD FFFFF627 00000A63 FFFFFA32 FFFFF9EE 00000D8C FFFFF49A
00000D49 00000D78 00000327 FFFFF54C FFFFF4FC FFFFF91C 0000027A FFFFF4EA FFFFFE94 FFFFF3B2 0000014A FFFFF0AD 000006B0 FFFFF1C5 FFFFF63B FFFFF596
00000A97 FFFFF1B5 FFFFFDBC 000002EA 00000083 000005C8 000009B3 FFFFFC98 00000A80 FFFFFA2C 00000F80 00000025 0000078D 00000C00 0000095D 00000B3C
0000012B FFFFF164 FFFFFFC7 FFFFF5CE 00000C73 FFFFF793 FFFFF74C FFFFF7FA 0000048F 00000247 00000E5C FFFFFD52 FFFFF908 FFFFF193 FFFFF039 FFFFFBF4
00000DA0 000000C2 00000C97 FFFFF340 FFFFF2FC 00000AAB FFFFF36A FFFFF1A9 FFFFFCEE 00000D98 0000060F FFFFF32B 00000AC9 00000AFE 0000099F 00000CE2
FFFFF7AD 00000F58 FFFFFA43 000009AA 0000028A 000008F1 00000417 0000048F 000003B8 000008ED 000007A6 FFFFF44E 00000A6F 00000127 FFFFFA56 00000074
00000EF1 00000B71 00000AAD FFFFFECF 00000917 FFFFFC52 000005F5 00000477 FFFFF7FE FFFFF886 FFFFF1F4 FFFFF478 FFFFFDE0 FFFFFF4A FFFFF548 FFFFFD57
00000355 FFFFF771 FFFFFAD2 FFFFFBC2 00000029 FFFFFBB9 00000795 FFFFFA7A FFFFFDE2 FFFFFC24 FFFFF5DA 000005F1 FFFFF788 FFFFF980 0000095E 00000E5D
00000577 00000D52 00000B55 FFFFFF63 000008A6 FFFFFA81 FFFFFEBC 00000122 00000EBC 00000B27 FFFFFFA7 000004E1 FFFFF679 000009BD 000001B2 0000010C
00000885 00000440 FFFFF251 FFFFF938 FFFFF5A7 00000784 FFFFF11F FFFFF67A 0000031E 0000063B 0000001B 00000B8B 00000D67 FFFFF43A 00000E7A 000003A8
0000045B FFFFF30B 000003E6 00000739 00000295 FFFFF2B4 000000BE 00000DF3 00000726 FFFFF465 00000EB7 00000EAF FFFFF56B 000009A0 FFFFFD03 000002FF
FFFFFE3E 0000090B 00000FE4 00000971 00000DCD 00000E45 FFFFF2E2 FFFFF81B 00000719 000002E1 FFFFF19A FFFFF30A 000000A8 000003B7 FFFFF55D FFFFF57B
FFFFF423 00000214 FFFFF040 00000251 FFFFFF3A FFFFFEE9 000005BC 000000B9 00000749 00000872 00000D71 00000993 00000091 FFFFFFBF FFFFF78A 0000032F
FFFFF473 00000DCC 00000B0A FFFFF3D4 00000926 FFFFF3BF 00000714 FFFFF2CE FFFFFF9F 0000050D 00000752 FFFFFD65 00000D7D 000008C7 FFFFF6AA 0000057A
00000760 FFFFFAAD 0000079F 00000CBF 00000A25 00000866 0000044D FFFFF8A8 00000972 FFFFFBA7 00000107 FFFFFA0F FFFFFA04 FFFFF50B 00000EC2 FFFFF4BA
FFFFF2C2 00000DF4 000001C2 FFFFFE03 00000799 FFFFFC44 FFFFF417 00000759 FFFFF5A1 000001B2 00000E5E 00000DF4 FFFFFB8B 000008F8 0000039B FFFFFF56
#FULL_D_16x16_one_shot_reference
-42195 73600 25710 -113626 -44357 65606 54372 -11305 -36223 -39228 110728 -17920 53673 28630 98458 59742
26093 -41695 -65602 -45807 114843 -93492 57572 -106209 101061 -17016 -81777 -109155 -37740 30785 -39283 35877
-15636 154975 10723 -15396 15783 148544 98780 -59745 38593 -96621 44419 -43240 -100785 -17408 -46100 67202
-32043 -71097 119063 -82007 21309 80615 3182 137955 -61762 7202 100316 -46817 35219 -79839 -47563 28978
48860 -47162 123959 -125954 -5813 67771 1918 140363 59209 38499 -6061 35259 -22862 28559 -52877 54822
131024 -125088 -182197 119234 95219 -200027 -50927 -35709 35555 -86185 72895 29454 97190 -72922 -53881 -33331
-26774 -29048 102916 22519 49609 166060 -63393 -41557 -60520 -37903 -31801 -223 -96849 -72144 -166438 143782
84480 -28979 76737 -119389 -53838 36574 86232 117625 -103778 -75121 -43424 -121262 94476 -129305 19450 75365
-7242 -74804 131789 -22812 -31666 -48710 -33613 94331 -46166 99828 29674 -94 37338 -16510 55043 -62676
-186117 -59234 -34759 616 -8809 119730 -147040 10155 -31039 106046 -27944 92412 -36326 35109 -44686 -40085
-59066 37305 -16121 25241 -28628 -113916 -25784 152069 -43224 75327 165536 29308 193521 -79969 68994 -210062
-98606 -34870 68104 -20109 70624 -104036 -13483 -17946 39188 76285 -114805 -130419 -3775 119867 10292 62051
-18930 84471 77208 -74633 12985 16079 53350 -35475 169897 -6682 -97274 -222046 -80565 60882 -67665 111040
6087 17316 13429 -93380 -49615 136575 -206098 -21682 -29037 24248 -44302 126965 96802 178860 -5043 95954
68019 -12582 106307 -64298 -8437 4259 8301 20170 81318 -21441 -164360 -225599 11212 85877 37396 101214
-177214 30012 -5515 -39466 -59742 33422 -114070 -72897 -135930 130786 -34971 148699 55538 99883 59635 9876
#FULL_D_16x16_one_shot_reference encoded
FFFF5B2D 00011F80 0000646E FFFE4426 FFFF52BB 00010046 0000D464 FFFFD3D7 FFFF7281 FFFF66C4 0001B088 FFFFBA00 0000D1A9 00006FD6 0001809A 0000E95E
000065ED FFFF5D21 FFFEFFBE FFFF4D11 0001C09B FFFE92CC 0000E0E4 FFFE611F 00018AC5 FFFFBD88 FFFEC08F FFFE559D FFFF6C94 00007841 FFFF668D 00008C25
FFFFC2EC 00025D5F 000029E3 FFFFC3DC 00003DA7 00024440 000181DC FFFF169F 000096C1 FFFE8693 0000AD83 FFFF5718 FFFE764F FFFFBC00 FFFF4BEC 00010682
FFFF82D5 FFFEEA47 0001D117 FFFEBFA9 0000533D 00013AE7 00000C6E 00021AE3 FFFF0EBE 00001C22 000187DC FFFF491F 00008993 FFFEC821 FFFF4635 00007132
0000BEDC FFFF47C6 0001E437 FFFE13FE FFFFE94B 000108BB 0000077E 0002244B 0000E749 00009663 FFFFE853 000089BB FFFFA6B2 00006F8F FFFF3173 0000D626
0001FFD0 FFFE1760 FFFD384B 0001D1C2 000173F3 FFFCF2A5 FFFF3911 FFFF7483 00008AE3 FFFEAF57 00011CBF 0000730E 00017BA6 FFFEE326 FFFF2D87 FFFF7DCD
FFFF976A FFFF8E88 00019204 000057F7 0000C1C9 000288AC FFFF085F FFFF5DAB FFFF1398 FFFF6BF1 FFFF83C7 FFFFFF21 FFFE85AF FFFEE630 FFFD75DA 000231A6
00014A00 FFFF8ECD 00012BC1 FFFE2DA3 FFFF2DB2 00008EDE 000150D8 0001CB79 FFFE6A9E FFFEDA8F FFFF5660 FFFE2652 0001710C FFFE06E7 00004BFA 00012665
FFFFE3B6 FFFEDBCC 000202CD FFFFA6E4 FFFF844E FFFF41BA FFFF7CB3 0001707B FFFF4BAA 000185F4 000073EA FFFFFFA2 000091DA FFFFBF82 0000D703 FFFF0B2C
FFFD28FB FFFF189E FFFF7839 00000268 FFFFDD97 0001D3B2 FFFDC1A0 000027AB FFFF86C1 00019E3E FFFF92D8 000168FC FFFF721A 00008925 FFFF5172 FFFF636B
FFFF1946 000091B9 FFFFC107 00006299 FFFF902C FFFE4304 FFFF9B48 00025205 FFFF5728 0001263F 000286A0 0000727C 0002F3F1 FFFEC79F 00010D82 FFFCCB72
FFFE7ED2 FFFF77CA 00010A08 FFFFB173 000113E0 FFFE699C FFFFCB55 FFFFB9E6 00009914 000129FD FFFE3F8B FFFE028D FFFFF141 0001D43B 00002834 0000F263
FFFFB60E 000149F7 00012D98 FFFEDC77 000032B9 00003ECF 0000D066 FFFF756D 000297A9 FFFFE5E6 FFFE8406 FFFC9CA2 FFFEC54B 0000EDD2 FFFEF7AF 0001B1C0
000017C7 000043A4 00003475 FFFE933C FFFF3E31 0002157F FFFCDAEE FFFFAB4E FFFF8E93 00005EB8 FFFF52F2 0001EFF5 00017A22 0002BAAC FFFFEC4D 000176D2
000109B3 FFFFCEDA 00019F43 FFFF04D6 FFFFDF0B 000010A3 0000206D 00004ECA 00013DA6 FFFFAC3F FFFD7DF8 FFFC8EC1 00002BCC 00014F75 00009214 00018B5E
FFFD4BC2 0000753C FFFFEA75 FFFF65D6 FFFF16A2 0000828E FFFE426A FFFEE33F FFFDED06 0001FEE2 FFFF7765 000244DB 0000D8F2 0001862B 0000E8F3 00002694
