vector_id,golden,golden_kind,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
63,3F85D7E5,Normal,576,288,288,16,272,5.555556,94.444444
64,3E732F37,Normal,576,288,288,13,275,4.513889,95.486111
65,3F839307,Normal,576,288,288,20,268,6.944444,93.055556
66,3EE1E527,Normal,576,288,288,9,279,3.125000,96.875000
67,BF109C04,Normal,576,288,288,18,270,6.250000,93.750000
68,BE9C6BE6,Normal,576,288,288,22,266,7.638889,92.361111
69,3F5E29A3,Normal,576,288,288,16,272,5.555556,94.444444
70,3F034AAC,Normal,576,288,288,13,275,4.513889,95.486111
71,3FBD0BC9,Normal,576,288,288,26,262,9.027778,90.972222
72,BF90840C,Normal,576,288,288,29,259,10.069444,89.930556
73,BE2D0D08,Normal,576,288,288,8,280,2.777778,97.222222
74,BE0C4572,Normal,576,288,288,8,280,2.777778,97.222222
75,BF871289,Normal,576,288,288,12,276,4.166667,95.833333
76,3F7B8684,Normal,576,288,288,18,270,6.250000,93.750000
77,3FCAAEC2,Normal,576,288,288,27,261,9.375000,90.625000
78,3F93E8C3,Normal,576,288,288,16,272,5.555556,94.444444
79,BFD28DD3,Normal,576,288,288,46,242,15.972222,84.027778
80,BF123B10,Normal,576,288,288,9,279,3.125000,96.875000
81,BF8B0789,Normal,576,288,288,33,255,11.458333,88.541667
82,3F8C15F2,Normal,576,288,288,19,269,6.597222,93.402778
83,3D91596F,Normal,576,288,288,21,267,7.291667,92.708333
84,BD7F8F0E,Normal,576,288,288,5,283,1.736111,98.263889
85,3F98EC72,Normal,576,288,288,15,273,5.208333,94.791667
86,3FD975E5,Normal,576,288,288,35,253,12.152778,87.847222
87,3F1D8EBC,Normal,576,288,288,25,263,8.680556,91.319444
88,3EDE21E0,Normal,576,288,288,14,274,4.861111,95.138889
89,3D93E118,Normal,576,288,288,19,269,6.597222,93.402778
90,BD182A47,Normal,576,288,288,10,278,3.472222,96.527778
91,3F10D861,Normal,576,288,288,24,264,8.333333,91.666667
92,3F1C1348,Normal,576,288,288,23,265,7.986111,92.013889
93,3F5DDC82,Normal,576,288,288,20,268,6.944444,93.055556
94,3F431240,Normal,576,288,288,12,276,4.166667,95.833333
95,3F926E55,Normal,576,288,288,21,267,7.291667,92.708333
96,BE38B8EF,Normal,576,288,288,6,282,2.083333,97.916667
97,BFBD2024,Normal,576,288,288,16,272,5.555556,94.444444
98,3F31439E,Normal,576,288,288,14,274,4.861111,95.138889
99,BE7E2508,Normal,576,288,288,8,280,2.777778,97.222222
