#Compact FlexGrip FXP16_32 experiment.
#RTL-derived fixed-point interpretation:
#  X,Y : signed_6_M10  -> 16-bit with 10 fractional bits
#  A,R : signed_11_M20 -> 32-bit with 20 fractional bits
#Raw-domain fixed-point reference: D_raw = C_raw + A_raw @ B_raw, saturated to signed 32-bit.
#DPU-like error reference uses original random real operands before fixed-point quantization.
#Only B is transposed by the global_mem generator for hardware feeding.

#FULL_A_16x16 decoded_real_signed_6_M10
1.09570312 -0.24414062 1.43457031 0.78906250 -1.62304688 1.90234375 1.04492188 1.14453125 -1.48730469 -0.19824219 -0.51660156 1.70703125 0.57519531 1.29101562 -0.22656250 -1.09082031
0511 F9AF F911 0183 FA57 0532 FCF7 FA4D 06BC FAA6 FC8E FA75 F9D9 F857 F8E3 FACB
F8DB 0175 02E4 FE4C FD16 0013 0600 059E F8B2 FAE7 FBCA FBFD 0124 FEA9 F8CA FDFA
0061 F9A0 0556 F8D5 06CC F996 057F 0671 07AC 04D5 0479 0248 0477 FA27 0094 003A
05B9 FF68 FE29 023C FC43 FA3C FFA5 FEAC FBB9 FDE1 FDDD FD3D FE12 02F9 FCC0 072F
06A9 FFB2 FD41 0091 0594 0271 04DF 0086 0220 FC9C 03C2 FB3D 031E 05C6 FA1D 01D4
F986 039D F95A 06FA FA33 0758 04D0 0180 0486 04B9 0723 FC0E 0171 F985 01DC FABE
010A 0129 FF75 005D 0439 04CA FFE0 0198 06E6 F9EA F9E0 F967 0287 FEB3 0464 02BD
FD57 0660 0433 FC54 FDD4 FD08 FA86 FA5D 06FA FF02 FE22 03AD 00D9 06FA 047C FFAB
FE06 07C9 037C 0738 F9E5 059C 0231 F9F3 016A 02FA F832 FF45 0535 FCBA FF56 FF14
FCD5 06B2 0480 F9C5 07F4 0611 FC8B 0564 F9B4 07FC 02A7 0267 F972 065A F877 FBDA
FA4A 046E FB2C 0692 0280 F894 F816 F8D4 01B2 04D3 FBD1 0597 F8EA 04D1 06D8 045B
032C 0568 F8A4 FB3A FA00 0013 03EC 0215 059E FA7C 03C1 FB17 FC55 035C 07AF 01C9
F8DF 01DC F8AD 0625 035A FAC5 F978 FAF0 07AE FF56 048C 022F 0129 FA52 0723 FCD2
0140 0332 0263 070D FA60 0022 FE77 FF96 F9E8 FA25 FC73 FCE0 FED9 01C7 0227 FE97
FE8A FB7B 016A FD13 F894 FEB2 FF96 FB9C 0129 010D 033B 025E 0270 FD0F 0499 00C9
FEE7 0204 FDC5 0034 03CA 062F 06BD 000F 0053 04CC FD08 0566 FFE8 F9DB F927 0579
#FULL_C_16x16 decoded_real_signed_11_M20
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000 0.00000000
#FULL_C_16x16 encoded
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000 00000000
#FULL_D_16x16_one_shot_reference decoded_real_signed_11_M20
-0.44012451 -0.73989964 -5.30335808 -1.47096539 -7.16677380 -2.83339214 -1.78050041 2.61717129 10.23353481 -5.92453194 5.27816677 -6.58180428 -2.78987217 -3.98247051 10.10425472 -4.12808228
7.35801601 -3.41453743 6.90583515 1.04734135 2.40617466 2.36530781 2.48026848 -5.79108047 7.74776745 0.82238102 -8.22797966 2.41004848 7.79341412 -2.64414406 -1.20700741 7.65594673
-9.04733658 5.36513233 3.58173561 2.54095459 2.96056271 -4.51599979 -10.74978542 -2.12357426 -3.13059616 6.07042408 1.98739433 7.80917645 -3.80715942 3.26308060 6.28146744 -5.94056606
-0.05002308 -0.01449585 -0.87685204 1.73962307 4.17646885 11.24596500 -1.85109997 -3.91395664 6.75929832 0.94640350 1.92724895 0.88982677 3.62806988 -3.63106251 -2.78762627 -5.20118141
-0.31596375 -3.75487041 6.49633789 0.89033508 -8.05744648 5.16100121 5.57601357 -0.22234154 -4.29289055 1.44220924 -4.90938568 2.16391659 4.72509670 -10.76242256 -5.42821693 -2.99040890
3.17930794 -6.72724342 3.23214436 -11.73072815 5.94205284 -0.21162319 0.93869019 6.86515999 4.17312908 -2.42368126 -0.08136654 1.21308708 -1.06971359 -4.63592911 0.52271366 -1.04187393
6.78125381 8.05299282 4.91043663 5.92578602 -6.38095760 2.60797691 -4.50873280 -5.68518162 -7.43148041 0.54238605 -1.73281193 -1.88896275 -0.63720989 14.28397846 -2.81765270 0.95469666
5.62654495 3.17853642 5.08420658 -1.21859741 -4.49649334 5.43412971 4.09101868 4.78865910 -9.72835350 -2.87315750 0.45073795 -7.05994129 2.01314831 9.04821873 -7.68714237 -0.84171104
-1.85475826 1.52416706 2.96377087 9.17971897 -1.77715683 -1.18821239 -0.37511444 -4.89731121 -11.49947166 3.86223888 -7.03842449 2.46050358 3.19067860 0.79974270 -1.92467213 7.15517044
8.01360321 -1.54037285 4.72483063 -10.25407887 0.87504673 1.28553391 -1.36303902 0.96136951 0.01611996 -6.69739914 -2.49501419 0.49347305 -0.60844517 6.07159138 0.84642220 4.71477699
-3.54166031 9.24659538 10.82599735 -5.40768528 4.28230000 4.47254562 -1.97070312 9.65184784 -10.26099873 -6.39933109 -2.76092529 -4.79416370 -0.39942360 13.99042988 -0.42897320 -5.78903389
-5.73825455 -3.71331882 3.12223911 1.03524685 0.72451496 0.15398502 6.29146481 3.39355469 0.00396156 3.97512627 5.33420372 -3.23110390 8.29483604 -6.66706467 -6.32839966 -3.74561691
-7.52495861 8.67815781 6.62407112 0.87736893 5.02156067 12.71357155 7.21625328 7.72021770 -14.79222488 11.73592186 -0.92108536 2.76733017 0.17684174 3.90521812 -14.36617279 -3.88007545
-5.98552132 -0.20077229 -0.42640686 0.65023899 0.94976044 -5.74377060 1.91684341 -0.12142849 3.31654835 4.74741077 -0.73293686 6.68278885 1.32308292 -1.96081543 8.24586201 7.79404545
-1.70646954 12.64450932 1.01412487 7.27350140 -4.21495247 -3.97105026 -4.39044571 -2.80315399 -13.13725471 -4.94407558 -8.86142254 -2.16080093 -5.44755554 13.94434738 -0.35116768 0.68729019
-0.80344296 2.87512684 -11.46156979 2.51834393 -3.07419586 6.80009079 4.72888756 0.83722878 3.42366886 -3.64586926 -0.45936584 -6.31694221 -4.91410255 -2.79818153 -3.88092327 -0.20010185
#FULL_D_16x16_one_shot_reference encoded
FFF8F540 FFF4295F FFAB2572 FFE876ED FF8D54E5 FFD2AA6D FFE38312 0029DFEF 00A3BC8F FFA1351E 0054735F FF96B0EE FFD35CAF FFC047CD 00A1AB07 FFBDF360
0075BA6F FFC95E0E 006E7E4D 0010C1E9 00267FB1 0025D84D 0027AF2E FFA357BC 007BF6DB 000D2879 FF7C5A32 00268F8F 007CB1D3 FFD5B196 FFECB019 007A7EC2
FF6F3E1C 0055D795 00394ECA 0028A7C0 002F5E77 FFB7BE77 FF5400E1 FFDE05D7 FFCDE914 00612075 001FCC5E 007CF263 FFC315E0 00343594 006480E4 FFA0F371
FFFF331B FFFFC4A0 FFF1F86A 001BD57F 0042D2D1 00B3EF79 FFE261E5 FFC1606F 006C2616 000F2478 001ED603 000E3CBB 003A0C93 FFC5E72B FFD365E2 FFACC7F6
FFFAF1D0 FFC3EC0D 0067F100 000E3ED0 FF7F14B3 00529376 0059375A FFFC714A FFBB5052 0017134A FFB17328 00229F67 004B99FF FF53CD1E FFA92606 FFD02749
0032DE72 FF945D36 0033B6DD FF444EF0 005F12A6 FFFC9D31 000F04E0 006DD7B2 0042C523 FFD9389A FFFEB2B9 001368CE FFEEE274 FFB5D33C 00085D09 FFEF547C
006C8004 0080D90F 004E9126 005ED005 FF99E799 0029BA46 FFB7DC3B FFA5097F FF8918A8 0008AD9D FFE44667 FFE1C6CF FFF5CDFD 00E48B2D FFD2EAE5 000F4670
005A0654 0032DB49 005158E9 FFEC80A0 FFB80E5D 0056F232 004174D0 004C9E59 FF6458AA FFD2078C 00073639 FF8F0A7B 002035DB 0090C581 FF850177 FFF2885A
FFE252E9 001862FD 002F6B9B 0092E021 FFE390C4 FFECFD15 FFF9FF88 FFB1A49D FF48022A 003DCBBB FF8F629D 00275E39 00330D05 000CCBBF FFE1348B 00727B94
008037B8 FFE75AA2 004B98E8 FF5BEF4B 000E0031 0014918C FFEA30FE 000F61C5 00004207 FF94D774 FFD8146C 0007E544 FFF643CF 0061253D 000D8AF2 004B6FBA
FFC7555C 0093F20E 00AD3749 FFA97A1F 0044844D 00478F8C FFE07800 009A6DF8 FF5BD2F3 FF999C57 FFD3D340 FFB34B1B FFF99BF6 00DFD8CD FFF922ED FFA3601E
FFA4301C FFC4963F 0031F4B1 0010905F 000B979D 000276B9 0064A9D7 00364C00 0000103A 003F9A1E 005558E6 FFCC4D66 0084B7A6 FF9553B4 FF9ABEE0 FFC411F4
FF8799C5 008AD9BC 0069FC32 000E09B4 00505850 00CB6ACA 007375C6 007B8603 FF13530C 00BBC656 FFF1433C 002C46FC 0002D458 003E7BC6 FF1A2428 FFC1EB36
FFA03B4E FFFCC9A3 FFF92D70 000A6761 000F3238 FFA41984 001EAB64 FFFE0EA1 00351095 004BF565 FFF445E4 006AECB4 00152B59 FFE0A080 0083EF0D 007CB469
FFE4B24D 00CA4FE9 001039DB 00746043 FFBC8F8E FFC07694 FFB9C0BC FFD32648 FF2DCDCE FFB0E511 FF72379D FFDD6D5C FFA8D6D0 00DF1C0C FFFA619E 000AFF24
FFF32519 002E0085 FF489D69 00284B23 FFCED018 006CCD2C 004BA986 000D654A 0036C759 FFC5AA85 FFF8A670 FF9AEDCE FFB15FD6 FFD33AA6 FFC1E7BD FFFCCC62

#FULL_A_16x16_original_real_before_fxp_quantization
1.09582419422 -0.244486240992 1.43439167965 0.789472116237 -1.62329060845 1.90248940655 1.04455880796 1.14425722111 -1.4875454693 -0.198456248418 -0.51680790307 1.70705995539 0.575460480323 1.29104645308 -0.226343204691 -1.09104511286
0.218339148063 -1.74473097558 1.31052468797 0.526657596488 1.03235096034 -0.581896127481 1.88279209758 1.57248448529 1.1135339883 -1.22144516859 -0.133115985092 -1.82478493685 -1.38284203173 0.73219581297 0.979048623631 1.87003892974
-0.696698567447 -0.518161175861 -0.121776754897 -1.24211456366 -1.48031397866 -0.0971802950963 -1.0923626038 0.67925597873 -0.251392324511 1.33071278423 0.801060408009 -0.750533434472 1.32903920558 1.21905742999 -0.450086483879 -0.846687584279
0.7299820159 -1.44099006556 -1.2003671901 -1.970550921 1.14769751001 0.659403426368 0.820661514505 1.12291612409 -0.164336897847 0.274964783812 -1.44081200749 -1.54187970586 0.673611847162 -0.115615175427 0.260944425925 1.05999542966
0.538873280002 0.214317602632 0.236828642982 -0.78419960775 -1.87672866173 -0.253130443071 -1.14166130872 -0.365885425101 1.41361229307 -1.06424205654 -1.76678903324 -0.874464431912 -0.825624968933 0.647666058908 0.228128609365 1.13559283643
0.65725416131 -0.37445255424 1.25608153866 -1.33210832037 -1.90915170746 -1.6398085569 0.889437402386 -0.152491078994 -1.35491288387 0.00417910041345 -1.39075158915 0.785281500311 -0.215374897704 -0.475915095614 -0.793951643408 0.521130372476
-0.552749557786 -1.64940032274 -1.52797639152 1.8475906582 1.63432276283 0.798828535243 -0.936520154162 1.87670550939 1.11500361586 0.867560756636 -0.202553991425 -0.911033752619 -1.61443615139 1.61040958618 -0.176894840666 -1.19054654082
-0.776173503397 0.316878275768 -1.29290886824 1.42645713637 1.03407811934 0.877851823804 -0.2716278409 0.50923536281 0.336391875651 0.599386406219 -1.66222271544 -0.336770391318 -1.83354330455 -0.0240367230219 -0.680555150669 -1.42190324454
-1.58638812911 0.350578288711 -1.31762812585 1.70048047351 0.324244558802 -0.612520781861 0.363661965926 -1.90878451588 1.83423685297 -0.0707862522284 1.130940909 -1.66908000031 -0.0533666766474 -0.0371720225819 1.7513058199 0.286912209504
-0.106042395772 -0.932097347632 -0.67372401063 0.0826896098862 -0.24435415878 -1.91355168048 1.30516769678 1.58464308736 -1.43900364401 0.216144574156 -1.56569703546 0.688960372159 -0.875064864644 0.637690538768 0.907978457148 1.07458996767
-1.56903621618 1.66404738055 -1.07914403642 -1.8503497753 0.219409877566 -0.51631086455 1.31915897253 1.23300588826 -0.731444428709 1.81159758028 -0.83632864744 0.0602285169269 -0.97613963773 1.7441742802 -1.34156872967 -1.82035752243
-0.259611759988 1.96950225622 1.56670906502 0.994432077828 1.56316996351 1.57378655879 0.0754334415458 -0.736283792677 1.08804972844 0.646645052671 -0.505369084505 -1.62213332775 0.987158445396 -0.950157936309 1.74725260214 -1.03611769998
-1.50896827035 1.3244506885 -1.3868627335 -1.28292676737 0.397531166083 1.49824816335 -1.21426133714 -0.7587053084 1.10961935296 1.88730570424 0.00296474480937 -1.42440998979 -1.94425484917 -1.08137588 -1.47271112885 0.710634694451
-1.51266998149 0.0253197264825 0.777049742572 0.324466436884 -1.20089739336 1.21649810473 0.861628518463 0.955936015662 -1.47576899377 -1.5049847854 1.71025020403 -0.4096872247 -0.796205232876 -0.0456638185939 0.651456851054 1.82249302819
-0.854215092472 1.69923371725 -1.90056203445 0.220792169307 0.535900446724 -1.576410385 -1.43864161174 -0.323542722735 1.86492764857 0.384170212937 1.7320928864 1.21744366245 -0.130473593779 1.13905379701 -1.92865286409 -1.56342401294
1.31771445953 1.1872683533 -1.06943703213 0.123078362396 0.4240632828 1.4709558151 0.412428629355 -0.349713722905 -0.503263826371 -0.296471654506 0.60772410232 1.46996252701 -0.184412471695 -1.00864174819 -1.05335054801 0.984057120974
#FULL_B_16x16_original_real_before_fxp_quantization
1.2662750537 -1.57888768058 -1.73376457218 0.377734655026 -1.41530702323 1.29865676183 -0.758661304304 -1.42451226812 1.68388188995 -1.33787310906 -0.861119670648 -1.38554641923 -1.53803974534 -1.91540793465 -1.77841836334 -1.30143411626
