#SET 0 results
#STEP0_D00
443EA38B C488DDCA C31156D8 C3D8CBD7
438568E0 C478E2AE 435C8BBA C4454C80
C4095FF4 44A6E0AD 4416D348 4498CABD
C34D7F56 448C46D7 C2EFA4B9 445B7269
#STEP0_D22
C4F3A418 C36F52C2 C3B46BA5 40AD6120
41D34CC8 4306A9D8 42B46563 4343D450
C4BC26DB C2D64078 C33D3E6F 4393F4A1
C4020363 C345FD8A C3178EE6 C3BAA0D7
#STEP0_D32
C4C56759 C310413A C3635C4C 43477793
C3BB0562 4430CA03 43F650AE 440B576F
C506BDC2 C45C037D C455A3E6 C3E2E30B
C40515AB C4970B43 C47099F0 C473408A
#STEP1_D23
4295B46A 44C17146 4334A505 449A7ACC
C371F403 43C4F064 43CE9667 433CF280
4426F737 44272318 438F1932 C4045A6E
440A8BA4 C3E10B8C C4707892 43A7B95F
#STEP1_D33
43E46E12 445AF5F1 43968B69 C3796631
443CA22A 43FB8C08 4418850E 44287531
C2B7F9BD 448306CC C403B6F6 42FE4006
C435898B C3B1DDE6 C49A1EFE C4116B57

#SET 1 results
#STEP0_D00
C452F28A C29E72B2 C3C722B5 42E03DD5
44CE3288 C33F5E74 43C88721 C454764D
C49C1898 44045D72 44504E02 C3DCBC08
4345827D 443FE906 C46EEA4C 441527B4
#STEP0_D10
C45DD13C C400AD6A 43BB8014 C3A1DF51
C3062050 C488BA9A 44904C56 C4B1AB9B
44979DDD 44B76960 C45D6847 4483CB73
42C1FA20 44939DF1 C415126F 44711593
#STEP1_D01
C488589D 4371A673 C3346462 C2F0D1A5
44C2B849 C3F65B87 C433A148 C41C9A3D
C388473C C3EB6BE1 C44843C9 C39D34C9
434119FA 44F93AA6 C45FD765 C4A9EDC0
#STEP1_D11
C4428E7B C39F2492 C3EC07E1 C204C5C8
4460AA75 C40D8EB7 C44DA076 433D151C
C4470B02 C363881C C47D7B61 C4E19849
C442BD39 432164F7 4364DAF9 C3A4AE07
#STEP0_D20
442838C8 43852268 C3681468 44508EC3
44699F3A 44021794 445B8FC9 C447E5A6
C4DB88A0 44DFC6B0 44A5CA2A C413B803
C3D31624 C3AD8EE9 C3828801 430F1F32
#STEP0_D30
C4FBEEDB 44A15F9E C3810B6E 447D9321
C4B9AAC5 4481D5E3 44467E19 C306EB08
C344A3E5 44211EAF 4409E1EF C131829C
C3E3AB7B 43640E8F C4C0BB43 449C9690
#STEP1_D21
43744123 C3B020E1 43F3CA11 442DC8F2
44201FB1 C417D1DA C4E4816B C49AC1AF
443240F1 440F426E 424400ED 44028455
437A2F09 4241C855 4521F3D8 44E6554E
#STEP1_D31
C41F69DF 44877747 449A7809 445C78CB
BFFF2FB4 C3FC3A0B 4353B401 442150CE
C3F2F74D C41FA3E8 C1CD864F C2964F3C
C4B3DDA7 44E2E0BC 43F86019 C33810FD
#STEP0_D02
4515FA1D 43F029BC 42137177 C3CBA732
453647CC C3D52A53 C36FBD2D C2CD6023
C34ECBD2 449ACE1C 43ACF45A 44CFA75A
4505CDBA C3A109B1 438446EC C39261CF
#STEP0_D12
C3FD2F7B 4436FF51 C2C3A2E2 446D1991
448099D2 4281D158 C47DC5B6 445C0C63
432AABCF 42FCD9FB 443C5197 4331AB7C
C4817450 C3A258EB 433AF4FD C40F7FA5
#STEP1_D03
C29D5470 C4EA8546 4477F041 C4136060
44275A90 444DF6DC 449491EF 44846910
C2CC783C 42A54EC5 449C3F3E C41B1FC3
C12017B7 43DC67D8 4465EF5F C46CBE34
#STEP1_D13
C4237C13 C496E9FD 42D44A21 C45FA8D7
C301C0D0 C4915FC2 446DB2A1 C396D610
C3475D54 451DBA80 43B31D0C 446B40F0
4282F023 44ADC73E C3A78CB6 44214248
#STEP0_D22
C52D620E C400BFE5 C3EE90E9 C4074BC4
4434D94B C479E565 C4C0F41B 440FCDBC
C3F5CCB1 C461B4B1 C4819A83 42B902F9
C31356A7 C230310C 447A6807 C4B5823C
#STEP0_D32
C4F5D1B4 4439D606 448BE99F 4208A56E
441B7DFE 446ABF7C 4399ABE5 43EE9767
C54F6EBA C45EFB2B C452BB73 439C25AE
C1B7C85A C4788BC3 C39A3F8A C4D84284
#STEP1_D23
4218F56C 4481D07D C3E60B86 44C60273
C32A3935 44D40172 4489624F 4479F307
446C0A34 44AF8D4D 4458A5AF C2F9577B
4475D942 C4571A46 C4C236B0 418CA86F
#STEP1_D33
43DA724A 4323C342 C3654FCE C46201BA
444C9682 C2B3A2F5 44D7739D 437E96FD
C3BE4E2E 44EA6841 C4B0A825 43ED8B99
C3E51840 C479E74B C49648C1 C46CDB40

#SET 2 results
#STEP0_D00
C29FEDEA C3E69823 C4B2E81C C49A543A
44B35966 C44F47DD 4495BDBE 44233D74
C4F17DDC 446B69D8 449E4A59 C4028DBF
43BC3593 C30A6792 43811B13 438A062B
#STEP0_D10
C3BEF9FE C485B591 44A7AE46 438AEF19
4430110E C4EC32A1 44645EC8 C5339A35
44444116 44FCBE16 42D0F97D 44B11351
43EC0FBE 447E6FC6 43A1D288 438E5158
#STEP1_D01
C4A89F00 C2E7F170 43AC86BE 4454E430
449393A3 C40022DA C42AAB86 C4CF96F5
4465D8F5 C3D62972 C4D79DC2 C361B3B6
443DB952 4529ECD3 C41F2DC7 C43A2F7D
#STEP1_D11
C4E36061 4418BF8B 441F4475 C37CE72B
44627DF5 C3C15EC6 C2E03C4B 44B64400
C3EC5D0D 4416632B C492F188 C4F5ADFB
C4397D08 44A2DA6C 44612D09 43E8BD3D
#STEP0_D20
C394815A 445F34B4 44143EC6 452872A9
44DF1E37 C39AB088 4442C458 C5173634
C4D6255C 44F83919 44EF644E C4FCA8AA
C450DC3E C3687C6E 4487FAD0 4427B4E4
#STEP0_D30
C530CCEF 4507077E 44965931 449753C5
C4D4B107 3FABEAB4 C3981D2F 441CE7E8
C4603600 4525AA4E C1F424A2 4483BD2E
C37F6BE5 4404CE01 C523B76D 446C43D5
#STEP1_D21
439CD492 C38520DC C3671C92 C443356D
4447623E C392829B C48AFE41 434C2A26
44DC7B31 44B06E2F C17DC97E 44E3C641
442E187B 4466A651 451918A5 44CF920C
#STEP1_D31
43DA7C44 4509ED8C 4419B00C 446418BF
436F998A C5180C7A C41DDAFD C30E4E2C
C4972D43 C41F4152 C3D23B80 C4A23858
C4E8913C 449AADB0 440A4053 C32ECFF9
#STEP0_D02
45356E84 C426B455 44A1D1E4 C48836D1
45316D80 C36B39DB C4AFBAF2 4337669B
C46D3333 4514EED1 43973927 4516015A
44A3105B C2E292FB 43CC4945 C388D5B8
#STEP0_D12
C3E3E0D0 435CC1A0 C4345B16 43B4B1A8
44818592 C4607036 435F4425 4347C779
C3D5DFE5 44822D68 4332FB4A 43EC6260
C4C185FD C3AE4164 43F26117 C4769DDF
#STEP1_D03
C424600E C4B3AF84 44DC7427 C3C6FE8E
44FF2D97 C3A9AA05 4441B27F 448604C3
C468C674 443E79FE 44162C5F C44D54EA
4450C7B3 C33C6A84 C414D04E C4C67A34
#STEP1_D13
449EB7EE C526CADF C421222D C4A0FC15
C308C162 C48E2610 4443CC9E C4022464
42E407D6 451507A4 C4210F95 43F23459
443DB843 4474B0B2 C4BF871D C20E2292
#STEP0_D22
C53F14A3 4438329B C503CF0E 4391B491
4412080F C4EC3E17 C34B9EC0 C2C9FFBE
C4A99C4F C3C5E494 C2FB9FED 42AE196B
C46CEBFC 44639EC1 439CC509 C4865000
#STEP0_D32
C5442BDB 451772FC 44079624 44344B47
448DAAF8 440C4E33 4368B535 4483F1AB
C527796B C36B4D3F C4EB0A65 44024B1E
44215F11 C4C49F68 42A5FD8A C4F99702
#STEP1_D23
440B89D4 4419C9C7 C44F47B3 44CA5FD3
C340361F 44DAE0E0 44313424 4427776A
4398DC3A 450016B2 C39C6D40 C44519BE
44D29539 C4A63DA1 C5372CEB C408199F
#STEP1_D33
43AE11DF 43C4A5A5 C4EBB965 C4CC0A39
438B44F6 423A5258 453F3DB5 44925D86
C477DB29 4518422C C3A02449 445D2A2A
C48C44B3 C3FFB812 C24381A1 C3FAE3F5

#SET 3 results
#STEP0_D00
C30D948B C34BE10A C4AB0DCF C3C6CE85
44EDAB43 C45D7487 44DE721E 438C27E9
C5123568 44AB46DA 44637930 441BF72E
C21BB73A C1A403D4 C34AC8CA 43E2E692
#STEP0_D10
C25A81D5 C46EBC54 44D2BDB7 43596057
444883D9 C4D678DC 4446E22A C53C9883
44DAC97F 45008A09 449DA141 44BEB6F7
44B7C266 4449F075 44A5127E C3A94102
#STEP1_D01
C4E6E56F C4319559 C3F369CB 442C9E42
44181A00 4419ACEA 4416F71B C4BB836E
44419694 C49104F6 C52C1815 C40D544F
4486C149 45349F45 C3E46DC4 C480AB64
#STEP1_D11
C500E7B7 44A564C1 44AF45D3 C2796F7F
44BFD277 C238B953 4387352F 44DCB156
C4C86F46 442EDA69 C491EF30 C4B3F28C
C48F8426 44B052E7 448652B4 449BC799
#STEP0_D20
C3E5AEEE 43CCBFC3 44366EFB 4511D09C
4501ACF4 C3CB8350 4497EC01 C5247FE5
C45AD79D 4514B5A0 452D98CE C4ADD796
C4B583EA C46D0CED 44447722 4390CC19
#STEP0_D30
C4F292F4 450B1381 44D64384 43731D91
C4BF5987 C2601A6C C30B372E 43438BC1
C3E430B2 454980C8 437D5F00 44E82DD3
C35E97C3 44379E24 C536AD6E 441CE888
#STEP1_D21
C3DF6F15 C38CC30A C2FFA927 C49CB306
435147A9 43B153B4 C3B8BF1F 435BBBFB
448C5278 448F1D65 C4041F78 4519E96C
432912D3 41E0B444 44CCA5F2 4459BE7A
#STEP1_D31
44A01D0B 454B49C9 44EAE8C7 44F87077
43596C7E C4BB7F7B 43ED3CF4 C26D68F8
C48AC57E C48221F8 C4899B51 C43B5F2B
C4478407 44DCFD28 4493AD2D 435345F8
#STEP0_D02
45252EBE C4BEA7CD 44A621A2 C4D1D7C5
44F8228D 433D46B3 C504F4C0 441F8CE5
C44D74B9 44C56EC1 43EFE6D0 44F7A792
44D74256 4374835B 43F1AFD3 43794851
#STEP0_D12
C4863408 43BC97E5 C49FAB66 4407DB4B
44857931 C416EFB9 40B0A9BD 43A25036
C4EBE31F 430108C1 C3E980DC C40039BA
C51D81B0 C43A09FA 42AC7981 C4E503B0
#STEP1_D03
C438BB78 C480831A 45237EE9 C48023B8
44FD4DD7 C4285DB7 C38F94DB 44F8EFB9
C476EE78 4450D08C 44C9CA2A C4BE1DEF
4467FE8A C4641A2C C42CCEF3 C4A64210
#STEP1_D13
4494B042 C52E0AEF C4AA5A2D C4404FC6
C374A542 C49212CE 431D2B7C C3919DC0
C3110EF9 45647C66 C42C7C92 4371906A
4403BFB7 45119B75 C4F3C5D6 C3409311
#STEP0_D22
C5375213 446FC248 C4E208C5 4423F55E
C09F5B01 C4D493C7 C41ADCD1 431E0CAE
C525E20F C4CF26C4 C438710C C499C7E7
41815070 448003F7 44ABDD29 C451F62F
#STEP0_D32
C56B74D0 453D5E44 C3592532 442C0FFE
44537CC2 4497F3E3 C3480DF1 44D23987
C55236C7 C49E50D5 C50E704A C40B4A65
445E99DC C46F0030 C3124B79 C4CD0C16
#STEP1_D23
444F2555 433BDECE C3EA7130 44E3BA23
C328E55F 44C17D01 43416857 449789BF
C2BBD4E0 455F2E6D C2E6CAAF C4B58AFF
4503AF4D C4D6BC7A C4CD53F8 C4699518
#STEP1_D33
4246A935 4473A219 C5653BDF C47119BF
439CCFEA C3FE6413 45023049 44FB0131
C4AC1B81 45606F63 C2D2CA94 4323C47A
C499F5B7 C43AFA6A C47D5A70 C2A324A7

#FINAL_16x16_RESULT
C30D948B C34BE10A C4AB0DCF C3C6CE85 C4E6E56F C4319559 C3F369CB 442C9E42 45252EBE C4BEA7CD 44A621A2 C4D1D7C5 C438BB78 C480831A 45237EE9 C48023B8
44EDAB43 C45D7487 44DE721E 438C27E9 44181A00 4419ACEA 4416F71B C4BB836E 44F8228D 433D46B3 C504F4C0 441F8CE5 44FD4DD7 C4285DB7 C38F94DB 44F8EFB9
C5123568 44AB46DA 44637930 441BF72E 44419694 C49104F6 C52C1815 C40D544F C44D74B9 44C56EC1 43EFE6D0 44F7A792 C476EE78 4450D08C 44C9CA2A C4BE1DEF
C21BB73A C1A403D4 C34AC8CA 43E2E692 4486C149 45349F45 C3E46DC4 C480AB64 44D74256 4374835B 43F1AFD3 43794851 4467FE8A C4641A2C C42CCEF3 C4A64210
C25A81D5 C46EBC54 44D2BDB7 43596057 C500E7B7 44A564C1 44AF45D3 C2796F7F C4863408 43BC97E5 C49FAB66 4407DB4B 4494B042 C52E0AEF C4AA5A2D C4404FC6
444883D9 C4D678DC 4446E22A C53C9883 44BFD277 C238B953 4387352F 44DCB156 44857931 C416EFB9 40B0A9BD 43A25036 C374A542 C49212CE 431D2B7C C3919DC0
44DAC97F 45008A09 449DA141 44BEB6F7 C4C86F46 442EDA69 C491EF30 C4B3F28C C4EBE31F 430108C1 C3E980DC C40039BA C3110EF9 45647C66 C42C7C92 4371906A
44B7C266 4449F075 44A5127E C3A94102 C48F8426 44B052E7 448652B4 449BC799 C51D81B0 C43A09FA 42AC7981 C4E503B0 4403BFB7 45119B75 C4F3C5D6 C3409311
C3E5AEEE 43CCBFC3 44366EFB 4511D09C C3DF6F15 C38CC30A C2FFA927 C49CB306 C5375213 446FC248 C4E208C5 4423F55E 444F2555 433BDECE C3EA7130 44E3BA23
4501ACF4 C3CB8350 4497EC01 C5247FE5 435147A9 43B153B4 C3B8BF1F 435BBBFB C09F5B01 C4D493C7 C41ADCD1 431E0CAE C328E55F 44C17D01 43416857 449789BF
C45AD79D 4514B5A0 452D98CE C4ADD796 448C5278 448F1D65 C4041F78 4519E96C C525E20F C4CF26C4 C438710C C499C7E7 C2BBD4E0 455F2E6D C2E6CAAF C4B58AFF
C4B583EA C46D0CED 44447722 4390CC19 432912D3 41E0B444 44CCA5F2 4459BE7A 41815070 448003F7 44ABDD29 C451F62F 4503AF4D C4D6BC7A C4CD53F8 C4699518
C4F292F4 450B1381 44D64384 43731D91 44A01D0B 454B49C9 44EAE8C7 44F87077 C56B74D0 453D5E44 C3592532 442C0FFE 4246A935 4473A219 C5653BDF C47119BF
C4BF5987 C2601A6C C30B372E 43438BC1 43596C7E C4BB7F7B 43ED3CF4 C26D68F8 44537CC2 4497F3E3 C3480DF1 44D23987 439CCFEA C3FE6413 45023049 44FB0131
C3E430B2 454980C8 437D5F00 44E82DD3 C48AC57E C48221F8 C4899B51 C43B5F2B C55236C7 C49E50D5 C50E704A C40B4A65 C4AC1B81 45606F63 C2D2CA94 4323C47A
C35E97C3 44379E24 C536AD6E 441CE888 C4478407 44DCFD28 4493AD2D 435345F8 445E99DC C46F0030 C3124B79 C4CD0C16 C499F5B7 C43AFA6A C47D5A70 C2A324A7

