vector_id,golden,golden_kind,total_cases,not_activated,activated_cases,activated_masked,activated_sdc,activated_masked_percent,activated_sdc_percent
73,D52F2F72,Finite,576,288,288,10,278,3.472222,96.527778
74,D73BA8CB,Finite,576,288,288,13,275,4.513889,95.486111
75,BF8ED762,Finite,576,288,288,17,271,5.902778,94.097222
76,3FB86851,Finite,576,288,288,22,266,7.638889,92.361111
77,44AAEC2A,Finite,576,288,288,31,257,10.763889,89.236111
78,413E8C26,Finite,576,288,288,15,273,5.208333,94.791667
79,BAD722D2,Finite,576,288,288,46,242,15.972222,84.027778
80,C6DC4EFE,Finite,576,288,288,11,277,3.819444,96.180556
81,BF4F8772,Finite,576,288,288,34,254,11.805556,88.194444
82,40C15F1E,Finite,576,288,288,27,261,9.375000,90.625000
83,2115970A,Finite,576,288,288,13,275,4.513889,95.486111
84,E003879E,Finite,576,288,288,3,285,1.041667,98.958333
85,418EC721,Finite,576,288,288,13,275,4.513889,95.486111
86,45975E3E,Finite,576,288,288,37,251,12.847222,87.152778
87,39D8EBBD,Finite,576,288,288,25,263,8.680556,91.319444
88,35E21DDE,Finite,576,288,288,22,266,7.638889,92.361111
89,213E114C,Finite,576,288,288,22,266,7.638889,92.361111
90,E33EADA0,Finite,576,288,288,18,270,6.250000,93.750000
91,390D8609,Finite,576,288,288,20,268,6.944444,93.055556
92,39C13479,Finite,576,288,288,21,267,7.291667,92.708333
93,3DDDC822,Finite,576,288,288,20,268,6.944444,93.055556
94,3C312407,Finite,576,288,288,5,283,1.736111,98.263889
95,4126E54E,Finite,576,288,288,21,267,7.291667,92.708333
96,D4747114,Finite,576,288,288,13,275,4.513889,95.486111
97,BC2DFDC8,Finite,576,288,288,22,266,7.638889,92.361111
98,3B1439F0,Finite,576,288,288,18,270,6.250000,93.750000
99,D01DAF81,Finite,576,288,288,20,268,6.944444,93.055556
